go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
organic acid transmembrane transporter activity	GO:0005342	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside phosphate binding	GO:1901265	103	103	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular function regulator	GO:0098772	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
enzyme regulator activity	GO:0030234	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecular complex binding	GO:0044877	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific DNA binding	GO:0043565	20	20	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endopeptidase activity	GO:0004175	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside binding	GO:0001882	62	62	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleoside binding	GO:0001883	60	60	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
magnesium ion binding	GO:0000287	46	46	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carboxylic acid binding	GO:0031406	19	19	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside-triphosphatase activity	GO:0017111	50	50	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleotide binding	GO:0017076	63	63	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific double-stranded DNA binding	GO:1990837	18	18	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
rRNA binding	GO:0019843	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
vitamin binding	GO:0019842	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cation-transporting ATPase activity	GO:0019829	10	10	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
coenzyme binding	GO:0050662	34	34	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
flavin adenine dinucleotide binding	GO:0050660	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular transducer activity	GO:0060089	10	10	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate derivative binding	GO:0097367	81	81	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transporter activity	GO:0005215	58	58	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
enzyme binding	GO:0019899	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
structural molecule activity	GO:0005198	45	45	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
manganese ion binding	GO:0030145	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
serine hydrolase activity	GO:0017171	7	7	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATPase activity, coupled to movement of substances	GO:0043492	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
