go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
phospholipid metabolic process	GO:0006644	3	3	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
fatty acid metabolic process	GO:0006631	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
lipid metabolic process	GO:0006629	25	25	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
dicarboxylic acid metabolic process	GO:0043648	26	26	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
dicarboxylic acid biosynthetic process	GO:0043650	11	11	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate biosynthetic process	GO:0016051	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate catabolic process	GO:0016052	20	20	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organic acid biosynthetic process	GO:0016053	93	93	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organic acid catabolic process	GO:0016054	17	17	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular response to extracellular stimulus	GO:0031668	9	9	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular response to nutrient levels	GO:0031669	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular component organization	GO:0016043	107	107	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
response to nutrient levels	GO:0031667	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
amide biosynthetic process	GO:0043604	57	57	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular amide metabolic process	GO:0043603	69	69	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
coenzyme metabolic process	GO:0006732	42	42	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
