go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
phospholipid metabolic process	GO:0006644	21	21	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
fatty acid metabolic process	GO:0006631	28	28	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
lipid metabolic process	GO:0006629	70	70	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
dicarboxylic acid metabolic process	GO:0043648	45	45	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
dicarboxylic acid biosynthetic process	GO:0043650	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate biosynthetic process	GO:0016051	47	47	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate catabolic process	GO:0016052	52	52	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organic acid biosynthetic process	GO:0016053	136	136	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organic acid catabolic process	GO:0016054	55	55	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular response to extracellular stimulus	GO:0031668	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular response to nutrient levels	GO:0031669	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
lipid catabolic process	GO:0016042	11	11	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular component organization	GO:0016043	173	173	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
response to nutrient levels	GO:0031667	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
amide biosynthetic process	GO:0043604	76	76	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular amide metabolic process	GO:0043603	96	96	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
coenzyme metabolic process	GO:0006732	95	95	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oxidoreduction coenzyme metabolic process	GO:0006733	42	42	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
vitamin metabolic process	GO:0006766	37	37	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
water-soluble vitamin metabolic process	GO:0006767	37	37	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside phosphate metabolic process	GO:0006753	99	99	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sulfur compound metabolic process	GO:0006790	63	63	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
phosphorus metabolic process	GO:0006793	168	168	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
phosphate-containing compound metabolic process	GO:0006796	158	158	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulation of biological quality	GO:0065008	53	53	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecular complex assembly	GO:0065003	104	104	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulation of molecular function	GO:0065009	28	28	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
RNA metabolic process	GO:0016070	148	148	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
rRNA metabolic process	GO:0016072	33	33	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
tRNA modification	GO:0006400	36	36	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
RNA catabolic process	GO:0006401	10	10	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
translation	GO:0006412	50	50	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
protein folding	GO:0006457	29	29	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulation of translation	GO:0006417	26	26	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
tRNA aminoacylation for protein translation	GO:0006418	21	21	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecule modification	GO:0043412	107	107	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecule methylation	GO:0043414	32	32	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
protein complex assembly	GO:0006461	48	48	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular protein modification process	GO:0006464	47	47	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
protein phosphorylation	GO:0006468	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
tRNA metabolic process	GO:0006399	65	65	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
RNA processing	GO:0006396	77	77	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
negative regulation of cellular biosynthetic process	GO:0031327	67	67	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
positive regulation of cellular biosynthetic process	GO:0031328	33	33	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
positive regulation of cellular metabolic process	GO:0031325	41	41	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulation of cellular biosynthetic process	GO:0031326	118	118	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulation of cellular metabolic process	GO:0031323	138	138	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
negative regulation of cellular metabolic process	GO:0031324	73	73	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organelle assembly	GO:0070925	53	53	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular amino acid metabolic process	GO:0006520	153	153	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
peptide metabolic process	GO:0006518	70	70	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
proteolysis	GO:0006508	28	28	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular modified amino acid metabolic process	GO:0006575	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular biogenic amine metabolic process	GO:0006576	20	20	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oxoacid metabolic process	GO:0043436	261	261	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleic acid metabolic process	GO:0090304	186	186	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carboxylic acid transmembrane transport	GO:1905039	7	7	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
organophosphate biosynthetic process	GO:0090407	85	85	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
anion transport	GO:0006820	47	47	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ion transport	GO:0006811	81	81	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cation transport	GO:0006812	54	54	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
iron ion transport	GO:0006826	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
amino acid transport	GO:0006865	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oligopeptide transport	GO:0006857	9	9	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
drug transmembrane transport	GO:0006855	4	4	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular metal ion homeostasis	GO:0006875	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular ion homeostasis	GO:0006873	17	17	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
lipid transport	GO:0006869	17	17	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transport	GO:0006810	153	153	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
xenobiotic metabolic process	GO:0006805	3	3	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
response to osmotic stress	GO:0006970	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cellular response to DNA damage stimulus	GO:0006974	103	103	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecular complex subunit organization	GO:0043933	111	111	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
response to stress	GO:0006950	242	242	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
response to oxidative stress	GO:0006979	59	59	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
