go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
organic acid transmembrane transporter activity	GO:0005342	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside phosphate binding	GO:1901265	159	159	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular function regulator	GO:0098772	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
enzyme regulator activity	GO:0030234	23	23	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecular complex binding	GO:0044877	30	30	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific DNA binding	GO:0043565	46	46	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endopeptidase activity	GO:0004175	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside binding	GO:0001882	92	92	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleoside binding	GO:0001883	90	90	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
magnesium ion binding	GO:0000287	85	85	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carboxylic acid binding	GO:0031406	26	26	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside-triphosphatase activity	GO:0017111	92	92	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleotide binding	GO:0017076	93	93	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific double-stranded DNA binding	GO:1990837	34	34	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
rRNA binding	GO:0019843	25	25	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
vitamin binding	GO:0019842	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cation-transporting ATPase activity	GO:0019829	14	14	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
coenzyme binding	GO:0050662	58	58	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
flavin adenine dinucleotide binding	GO:0050660	27	27	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular transducer activity	GO:0060089	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate derivative binding	GO:0097367	120	120	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transporter activity	GO:0005215	118	118	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
enzyme binding	GO:0019899	17	17	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
structural molecule activity	GO:0005198	49	49	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
manganese ion binding	GO:0030145	24	24	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
serine hydrolase activity	GO:0017171	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATPase activity, coupled to movement of substances	GO:0043492	26	26	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
pyridoxal phosphate binding	GO:0030170	36	36	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
acetyltransferase activity	GO:0016407	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sulfur compound transmembrane transporter activity	GO:1901682	5	5	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sulfur compound binding	GO:1901681	19	19	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oxidoreductase activity	GO:0016491	187	187	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
monosaccharide transmembrane transporter activity	GO:0015145	7	7	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate transmembrane transporter activity	GO:0015144	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
pyrophosphatase activity	GO:0016462	112	112	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oligopeptide transporter activity	GO:0015198	3	3	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
peptide transporter activity	GO:0015197	15	15	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
L-amino acid transmembrane transporter activity	GO:0015179	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
neutral amino acid transmembrane transporter activity	GO:0015175	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
amino acid transmembrane transporter activity	GO:0015171	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ribonuclease activity	GO:0004540	11	11	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
deoxyribonuclease activity	GO:0004536	10	10	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
hydrolase activity, hydrolyzing O-glycosyl compounds	GO:0004553	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endodeoxyribonuclease activity	GO:0004520	5	5	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endoribonuclease activity	GO:0004521	4	4	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endonuclease activity	GO:0004519	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nuclease activity	GO:0004518	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
exonuclease activity	GO:0004527	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
drug transmembrane transporter activity	GO:0015238	7	7	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
identical protein binding	GO:0042802	271	271	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
peptidase activity, acting on L-amino acid peptides	GO:0070011	46	46	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
porin activity	GO:0015288	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
channel activity	GO:0015267	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
antiporter activity	GO:0015297	3	3	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
solute:proton symporter activity	GO:0015295	4	4	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
solute:cation symporter activity	GO:0015294	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
symporter activity	GO:0015293	6	6	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
secondary active transmembrane transporter activity	GO:0015291	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
amide transmembrane transporter activity	GO:0042887	11	11	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
transcription regulatory region sequence-specific DNA binding	GO:0000976	32	32	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
regulatory region DNA binding	GO:0000975	33	33	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
core promoter proximal region sequence-specific DNA binding	GO:0000987	9	9	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	GO:0000986	9	9	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
bacterial-type RNA polymerase regulatory region sequence-specific DNA binding	GO:0000984	12	12	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine ribonucleoside triphosphate binding	GO:0035639	84	84	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate derivative transporter activity	GO:1901505	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
oligopeptide transmembrane transporter activity	GO:0035673	3	3	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
phosphoric diester hydrolase activity	GO:0008081	8	8	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
DNA-dependent ATPase activity	GO:0008094	13	13	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
drug transporter activity	GO:0090484	9	9	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
iron ion binding	GO:0005506	27	27	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate transporter activity	GO:1901476	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
ATP binding	GO:0005524	74	74	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
