go-name	term	setsize	num.sig	fdr	pval	direction	median_z_target	median_z_bg	expected	target_dist	background_dist
organic acid transmembrane transporter activity	GO:0005342	27	27	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside phosphate binding	GO:1901265	176	176	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular function regulator	GO:0098772	27	27	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
enzyme regulator activity	GO:0030234	26	26	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
macromolecular complex binding	GO:0044877	32	32	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific DNA binding	GO:0043565	60	60	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
endopeptidase activity	GO:0004175	28	28	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside binding	GO:0001882	107	107	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleoside binding	GO:0001883	105	105	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
magnesium ion binding	GO:0000287	94	94	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carboxylic acid binding	GO:0031406	34	34	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
nucleoside-triphosphatase activity	GO:0017111	104	104	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
purine nucleotide binding	GO:0017076	108	108	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
sequence-specific double-stranded DNA binding	GO:1990837	45	45	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
rRNA binding	GO:0019843	25	25	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
vitamin binding	GO:0019842	16	16	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
cation-transporting ATPase activity	GO:0019829	14	14	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
coenzyme binding	GO:0050662	63	63	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
flavin adenine dinucleotide binding	GO:0050660	28	28	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
molecular transducer activity	GO:0060089	22	22	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
carbohydrate derivative binding	GO:0097367	136	136	1.000	1.000	0.000e+00	0.000e+00	0.000e+00	0.000e+00	null	null
