protein	log2FC	p-val
P0AAH6	0.697	0.299
B7LWH0	0.297	0.071
B7LUZ7	-0.204	0.525
B7LR46	-0.275	0.129
P0AAV5	0.078	0.944
P0ABX7	-3.381	1.838e-08
P64484	0.159	0.751
P0ACP3	0.441	0.274
P0AG81	4.215	5.933e-13
B7LR39	-0.62	0.238
P76422	-0.163	0.196
Q1R9D6	-0.606	0.002
Q8FB69	-0.042	0.565
Q8XE68	-0.0008432	0.868
Q8FKZ1	0.024	0.675
P0C0V1	-0.044	0.532
P0ADE8	0.307	0.034
Q8FF72	-0.445	0.0003728
P0ACQ6	-0.45	0.023
P0AES4	-0.087	0.134
P0AEE1	0.357	0.332
P15288	0.157	0.509
P0A9R9	-0.547	0.017
Q8FL65	0.081	0.715
P15031	-0.235	0.23
P37330	2.226	0.0
P0A822	0.171	0.372
Q1R7I6	-0.176	0.101
B7LK80	-0.144	0.42
P0AFG5	-0.166	0.017
P76014	0.604	0.0003181
P67653	-0.015	0.9
P07648	0.538	0.219
A7ZQ54	0.164	0.434
P06959	0.07	0.597
A1ACN7	-0.485	0.002
P62587	-0.135	0.084
P0ADV7	0.285	0.23
P09053	0.053	0.874
Q1R6B0	-0.848	2.358e-05
P76177	-1.905	1.106e-12
P09169	0.398	0.0003792
P77348	1.086	8.562e-05
Q8XD88	0.087	0.482
P09030	0.649	0.0006894
P67082	0.58	0.008
Q1R8L9	-0.134	0.074
B7LS47	-0.163	0.284
B7LUW4	-0.375	0.132
P0ACL3	0.509	0.16
Q1RA54	0.221	0.311
P0A6J0	0.738	0.012
B7LVQ1	-0.206	0.692
Q1R382	-0.161	0.196
B1IUS8	-3.12	0.0
P39298	0.756	0.184
P69829	0.332	0.764
P25524	-0.201	0.138
P0AFW6	-0.055	1.0
Q8XCV1	-0.034	0.447
P0AFY9	0.019	0.917
B7M6S2	0.723	0.002
B1IUF7	0.335	0.124
P0AG25	0.02	0.923
P00509	-0.047	0.26
P63884	-0.735	0.224
P0A9D8	0.212	0.096
Q1RDU1	-0.252	0.237
P24175	-0.009	0.847
P39285	0.358	0.447
P63388	-0.000771	0.855
P77376	0.29	0.033
P76502	-2.673	3.592e-08
P08839	-0.038	0.345
B7LWP4	0.057	0.754
P0ABC5	0.095	0.743
B7LRR7	-1.239	4.685e-05
P76049	0.498	0.08
B7LR52	-1.276	0.005
P0A9J9	0.023	0.866
P30125	-0.426	0.0009332
Q1R7N6	0.84	0.000102
P0A9G0	-0.547	0.007
P0AC04	0.217	0.209
P0ACI1	1.424	3.15e-05
P64431	0.518	0.118
P58422	0.138	0.495
B7LWE0	-0.906	4.885e-15
P0A7F7	-0.687	2.532e-07
Q47334	-0.488	0.007
P45464	0.278	0.272
B7LLS4	-0.075	0.894
P0AF94	0.287	0.181
P00909	-0.32	0.046
Q1RFC8	-0.097	0.392
Q1R4F9	0.035	0.937
P66818	-0.043	0.738
P31224	0.147	0.267
P0AA92	1.93	3.524e-08
B7LV14	0.239	0.499
P10378	2.164	4.072e-10
P13009	-0.508	7.971e-14
P78067	0.571	0.06
P0AB82	-0.395	0.0003175
A7ZHJ5	-0.202	0.547
P61321	0.224	0.316
P76270	-0.25	0.676
P0AAJ0	0.35	0.01
P0ACR6	0.549	0.027
P0AB39	0.666	0.009
Q57261	0.334	0.087
P0A744	1.392	8.913e-06
P0AG22	-0.069	0.652
Q1RG18	-0.244	0.382
P00893	0.069	0.325
P77775	1.856	1.391e-06
