protein	log2FC	p-val
sspA	0.069	0.859
yfgD	0.066	1.0
fadE	0.197	0.632
rplK	-0.41	0.0001256
ecnB	0.907	0.00046
iscS	-0.05	0.525
yfiO	0.216	0.325
yrbB	0.061	0.834
yfbU	0.105	0.749
rpsU	-0.187	0.208
rplB	-0.004	0.881
psd	-0.149	0.555
ftsZ	0.082	0.473
aroC	-0.083	1.0
bcp	0.135	0.143
ackA	0.02	0.898
cueO	0.304	0.155
prlC	0.162	0.661
fabG	0.107	0.466
hisC	0.166	0.095
ilvN	0.008	1.0
yohN	0.454	0.047
manZ	0.066	0.853
serA	0.185	0.018
rof	0.358	0.109
pifC	-0.098	0.859
arnC	0.355	0.317
fliF	-0.261	0.556
galM	0.027	0.716
atpD	-0.12	0.016
glpK	0.129	0.402
actP	0.135	0.868
ahpF	-0.194	0.489
yagU	0.187	0.629
pnp	0.083	0.668
ybeZ	0.147	0.721
fadL	0.177	0.537
rpmG	0.025	1.0
metC	0.016	0.969
rplD	-0.121	0.226
ycgK	0.057	0.917
purR	-0.123	0.628
cysN	-0.286	0.041
putP	-0.058	1.0
flgK	-1.096	0.205
frmA	0.051	1.0
yecJ	0.058	1.0
pyrH	-0.114	0.519
purF	-0.049	0.552
efp	-0.102	0.835
tpiA	0.003	0.994
thiH	0.085	0.963
hslU	-0.047	0.941
guaA	-0.271	0.016
groS	0.172	0.491
rplA	-0.228	0.008
lepA	-1.001	0.044
gpt	-0.148	0.946
kdgR	-0.078	1.0
acrB	-0.241	0.231
yjcZ	-0.592	0.084
rpmF	-0.276	0.466
leuA	0.086	0.377
trmJ	0.026	1.0
spr	0.151	1.0
erpA	0.098	0.77
cusC	0.166	0.314
rpmI	-0.11	0.616
yaiE	-0.416	0.488
metQ	-0.087	0.216
nlpA	-0.016	0.801
metE	-0.255	4.79e-10
flu	0.195	0.595
wrbA	0.895	0.011
livK	-0.358	0.009
infC	0.128	0.268
iscR	0.097	0.746
ppsA	0.084	0.418
stpA	-0.308	0.122
uspG	0.889	0.071
cspE	-0.121	0.33
nuoG	-0.659	0.457
yraM	-0.306	0.296
lptB	-0.036	0.945
pheA	0.301	0.496
leuC	0.08	0.134
aroA	0.171	0.462
tyrS	0.128	0.666
yrbF	0.192	0.654
fabI	-0.019	0.735
nlpD	0.029	1.0
mglB	-0.002	0.755
yeeX	-0.25	0.307
ftsA	0.012	1.0
coaBC	0.041	1.0
thrA	0.055	0.33
glcB	-0.086	0.981
nagE	-0.445	0.234
uspA	0.144	0.393
gltL	0.44	0.288
btuB	-0.163	0.267
ispF	0.034	1.0
acrA	-0.102	0.921
arcA	0.072	0.514
luxS	0.248	0.162
flgE	-0.777	0.005
ycfP	0.189	0.525
ompR	0.356	0.14
crp	0.069	0.493
kdsA	-0.04	0.732
surA	0.208	0.162
mdoG	2.342	0.003
borD	-0.493	0.01
yjgF	0.117	0.696
gcvT	-0.046	1.0
rplF	-0.197	0.009
cmk	-0.007	1.0
cysA	0.081	0.833
ftnA	-0.013	1.0
yibN	-0.064	0.858
nrdA	-0.105	0.131
maeB	-0.098	0.621
argA	0.361	0.067
rpsK	-0.14	0.235
accC	-0.054	0.733
metN	-0.075	0.637
minD	0.118	0.445
gapA	-0.021	0.74
guaC	0.047	1.0
kdpB	-0.149	0.379
rpoA	0.016	0.704
rpoZ	0.093	0.947
qor	0.303	0.182
yfdH	0.055	0.996
rnr	0.429	0.182
lrp	0.181	0.454
sucB	-0.006	1.0
rplE	-0.14	0.328
dcp	0.782	0.149
katE	0.424	0.032
ychN	0.473	0.552
ydgH	0.119	0.44
pckA	0.136	0.618
yaeT	0.016	0.85
sohB	0.3	0.397
rpsI	-0.168	0.21
mqo	0.435	0.385
pssA	-0.283	0.364
deoB	0.18	0.473
pdxJ	-0.172	0.851
rbsB	0.001	0.586
panB	-0.184	0.337
accD	-0.51	0.301
yedD	0.196	0.888
pifA	0.151	0.957
ygiC	-0.141	0.756
pyrC	-0.475	0.26
fliC	-1.756	0.0
flgL	-0.358	0.78
rpiA	-0.019	0.853
pgk	-0.101	0.357
murE	0.073	0.596
clpP	0.046	1.0
ptsI	-0.043	0.626
rraA	0.554	0.058
livF	-0.536	0.202
yjgD	-0.16	0.424
yceD	-0.165	0.479
yfcB	0.24	0.442
lpxA	0.014	1.0
modC	-0.33	0.357
hns	0.019	0.903
yibL	0.045	1.0
polA	-0.067	1.0
ybiT	0.111	0.779
gnsB	-0.552	0.299
ygiF	0.172	0.764
yeaD	0.042	1.0
aroG	-0.051	0.241
grpE	0.016	0.878
gpmA	-0.028	0.753
hslV	0.008	1.0
manA	0.08	0.714
guaB	-0.142	0.098
ftsE	-0.027	1.0
dcyD	0.014	0.83
rpoB	-0.027	0.632
rplI	-0.18	0.019
fliG	-0.611	0.106
ybbO	-0.455	0.614
hisJ	-0.079	0.212
ptsG	-0.25	0.126
btuE	0.04	1.0
lysS	0.029	0.974
aspC	0.034	0.771
groL	-0.111	0.035
tsr	-0.483	2.503e-05
melA	0.317	0.796
cysB	-2.021	0.022
pdxK	-1.42	0.463
oppA	0.06	0.546
ispG	-0.202	0.455
infB	-0.072	0.505
zipA	0.066	0.968
metA	0.231	0.008
purD	0.024	0.724
fdx	-0.027	0.949
rho	-0.065	0.529
mreB	-0.172	0.347
ybcJ	0.013	0.962
tktB	1.018	0.047
ybbN	-0.21	0.33
hflX	-0.143	0.734
asd	0.257	6.575e-05
fbaA	0.041	0.652
hupA	-0.035	0.782
yajG	-0.067	0.636
prfC	-0.391	0.219
glnG	-0.079	1.0
fur	0.02	1.0
thiC	-0.084	0.702
yggX	0.055	0.861
pncB	-0.055	1.0
pykA	0.006	0.779
cysH	-0.023	1.0
fliZ	-0.469	0.162
codA	-0.216	0.249
hflK	0.089	0.515
rpsC	-0.102	0.097
mscS	0.77	0.003
gdhA	0.182	0.721
fklB	-0.009	0.507
ilvH	-0.063	0.608
infA	-0.08	0.572
yggE	0.251	0.444
glnS	-0.168	0.126
cysM	-0.025	1.0
zwf	-0.019	0.83
lgt	-0.085	0.919
proS	-0.006	0.65
oxyR	0.231	0.187
asnA	0.394	0.037
hisF	0.181	0.148
dppA	-0.109	0.323
nusA	-0.04	0.654
ivy	0.381	0.147
metB	-0.467	0.118
yggL	-0.027	1.0
mtnN	0.071	0.72
apt	-0.066	0.737
fbaB	0.886	0.11
cysP	-0.064	0.534
ilvA	0.038	0.533
rpsF	-0.273	0.154
solA	0.081	0.558
kdpC	0.02	0.771
nmpC	-0.433	1.919e-07
mtfA	-0.084	0.829
sdhB	-0.115	0.318
osmC	0.603	0.021
ghrB	0.253	0.065
thiB	-0.084	0.811
nfsA	1.834	0.038
purA	0.089	0.697
arnA	0.164	0.612
cydA	0.366	0.039
tolQ	0.098	1.0
fabH	0.12	0.315
dapB	0.175	0.156
ppiB	-0.1	0.738
glnA	-0.052	0.365
glk	-0.414	0.227
ompC	1.321	0.0
thrB	-0.015	1.0
pdxH	-0.052	0.92
pepQ	-0.048	0.625
frr	-0.091	0.428
yraP	-0.076	0.968
ldcA	0.527	0.366
hisS	-0.133	0.35
fusA	-0.116	0.018
aroB	0.108	0.496
sufA	0.384	0.697
carB	0.096	0.169
ycdY	-0.102	1.0
atpG	-0.001	0.897
rpsN	-0.31	0.063
iscX	0.204	1.0
yliJ	1.899	0.003
degP	0.09	0.651
dnaK	-0.075	0.145
argT	-0.002	1.0
glyS	-0.033	0.74
argD	0.082	0.187
serC	0.068	0.376
msbA	0.128	0.846
nagD	0.172	0.576
yhfA	0.45	0.132
rpsG	-0.141	0.029
yuaX	-1.299	0.088
hisA	0.815	0.46
asnS	-0.023	0.981
yebF	0.203	0.78
folE	0.067	0.714
osmY	0.983	0.0001377
yaeH	-0.399	0.76
yraL	0.154	0.673
orn	-0.221	0.481
thiD	0.327	0.246
acs	-0.096	0.314
moaC	0.274	0.556
ybgI	0.182	0.303
trpS	-0.175	0.428
ompX	0.16	0.116
ydhR	-0.254	0.419
yidA	-0.048	1.0
argB	0.334	0.01
engD	-0.134	0.212
pntA	0.048	0.445
fliH	-1.64	0.08
elbB	-0.087	0.761
yeeZ	0.252	0.264
thrS	-0.054	0.76
traT	-0.065	1.0
leuD	-0.009	0.876
pyrG	-0.208	0.037
rnb	-0.183	0.178
usg	-0.028	1.0
ybeD	-0.065	1.0
moaB	-0.02	1.0
folD	0.681	0.459
trxA	0.153	0.353
dnaJ	-4.13	0.003
lacZ	-0.106	0.399
gltX	-0.09	0.737
