protein	log2FC	p-val
suhB	0.61	1.0
yfbU	1.008	0.032
lgt	0.003	1.0
flgG	0.917	0.075
ilvN	0.913	0.007
mglA	2.628	0.001
fabH	-1.0	0.039
pfkA	-0.089	0.586
zipA	0.167	0.681
pepQ	0.56	0.002
pdxB	0.65	0.065
fliG	1.229	7.914e-05
fliZ	1.061	9.98e-05
pheS	0.04	0.726
rho	-0.282	0.014
rplJ	-0.52	2.592e-07
fdx	0.178	0.356
secA	0.34	0.067
yuaX	1.788	0.0003237
trpS	0.181	0.276
orn	0.444	0.112
cysE	0.736	0.033
yfeX	0.166	0.367
purD	-0.496	0.003
ilvA	-0.02	0.916
fklB	-0.214	0.371
secD	0.16	0.862
rpsL	-0.336	0.167
ptsG	-2.066	0.00042
pntA	-0.357	7.162e-05
hemL	0.041	1.0
acnA	1.205	0.0008184
mdoG	-0.392	0.38
deoD	0.304	0.034
metK	-0.206	0.0006091
dcyD	0.745	0.034
grxD	-0.118	0.542
mgsA	-0.115	1.0
yajQ	-0.001	0.85
gapA	-0.287	2.158e-06
motB	1.062	0.14
groL	0.205	7.877e-06
engA	1.761	0.495
fur	0.101	0.098
yiaF	0.419	0.315
yggX	0.725	0.002
proQ	-0.317	0.08
argS	-0.177	0.143
rpsR	-0.234	0.23
copA	-0.008	1.0
fabA	0.109	1.0
katG	0.933	4.321e-13
ynfB	0.21	0.836
rpsA	-0.38	7.283e-14
hisF	0.215	0.49
yncE	-1.129	1.12e-06
ribH	-0.325	0.071
yfgL	0.187	0.341
yuaY	1.59	0.005
gyrA	0.074	0.593
metA	0.906	2.951e-06
mipA	-0.308	0.157
yhgF	-0.142	0.48
cysM	0.053	0.793
kdsD	0.784	0.067
rpsK	-0.4	0.0005628
tktA	0.186	0.02
dacA	0.04	1.0
argB	-0.244	0.024
rplX	-0.63	0.0003582
luxS	0.044	1.0
adhE	-0.135	0.034
pnp	0.158	0.161
atpG	0.347	0.011
aceF	-0.367	0.0001609
tig	-0.258	1.671e-05
fumA	1.256	8.559e-11
cysP	0.214	0.159
rpoZ	-0.888	0.038
lpxD	0.57	0.299
ppiD	0.167	0.51
ilvB	0.934	2.075e-06
cheW	1.024	5.745e-06
solA	0.555	0.033
hisD	0.308	0.225
valS	-0.262	0.005
clpB	0.427	0.002
talB	0.089	0.157
kdpB	-0.069	0.835
pdxH	0.443	0.122
ppiC	0.218	0.717
tar	1.326	0.0
pyrH	0.222	0.611
ftsE	-0.595	0.375
pgi	-0.141	0.212
eda	-0.308	0.299
atpD	0.289	4.584e-08
tpiA	0.108	0.25
fliD	1.495	2.351e-11
manX	-0.559	0.035
rpsT	-0.594	0.001
frr	-0.018	0.618
nmpC	0.553	2.685e-11
glcB	0.438	0.177
fbp	0.167	0.645
rplT	-0.423	0.0001689
mprA	0.895	0.027
tpx	0.5	3.245e-09
rpsD	-0.544	9.754e-11
tyrS	-0.093	0.178
nrdA	0.269	0.084
speB	0.117	0.607
exbB	-1.963	0.003
fabF	-0.131	0.634
metN	0.111	0.511
flgL	0.926	3.103e-05
tufA	0.012	0.786
cyoA	0.057	0.866
galU	0.118	0.582
metC	0.007	1.0
infA	-0.48	0.027
mglB	3.485	0.0
hflK	0.195	0.363
iscS	0.158	0.448
panB	-0.311	0.779
thrC	0.002	0.922
udp	0.915	0.082
fadL	1.728	8.5e-05
rpoD	0.409	0.034
purM	-0.218	0.166
yrbD	-0.204	0.389
hisB	0.351	0.018
rpmE	-0.643	2.303e-06
fnr	0.439	0.224
pepD	0.281	0.06
dhaK	2.625	0.008
guaB	-0.798	4.366e-06
osmC	2.034	0.0002042
hupB	0.794	0.054
ispF	0.915	0.047
sucC	0.901	0.0
yliJ	0.826	0.009
