protein	log2FC	p-val
murE	0.331	0.194
rplK	0.257	0.128
lpp	0.336	0.017
rplS	0.242	0.155
degP	0.029	0.806
argB	0.088	0.665
gltJ	0.409	0.339
mdoG	0.449	0.248
cysP	-0.704	1.552e-05
phoP	-0.008	1.0
rpsO	-0.146	0.472
deaD	-0.664	0.071
proQ	0.21	0.464
ydfG	-0.065	0.399
galM	-0.672	0.053
accB	-0.036	1.0
aspS	-0.057	0.381
rpmD	0.292	0.089
yceD	0.02	1.0
yecJ	-3.313	0.035
rpsT	0.068	0.367
rpmG	0.536	0.005
rplP	0.393	0.002
gmhA	0.004	1.0
uspF	0.659	0.133
dacA	-0.112	0.671
rpmI	0.309	0.021
argC	0.658	0.229
thrC	-0.545	2.55e-11
yajC	-0.343	0.352
fliG	0.33	0.681
stpA	-0.115	0.73
cheY	0.56	0.005
cpxR	-0.087	1.0
rpsQ	0.55	0.008
tar	1.235	7.484e-11
aroF	-0.539	1.0
deoD	0.53	0.068
gnd	-0.491	3.205e-08
ftnA	-0.475	0.251
trxB	-0.004	0.901
rbsB	-0.658	0.002
hisD	-0.2	0.562
accA	-0.117	0.319
rplA	0.15	0.032
ghrB	0.187	0.872
carB	0.095	0.272
asnB	-0.111	0.197
tig	0.09	0.061
cysS	0.084	1.0
nuoC	0.226	0.317
serC	-0.407	4.993e-08
hflX	0.118	1.0
rplC	0.201	0.055
asd	0.043	0.697
nifU	-0.216	0.166
argG	0.152	0.218
hupB	0.38	0.956
pal	-0.258	0.015
glnH	-0.523	0.027
aroG	0.213	0.033
frr	-0.932	2.809e-05
thiD	-0.263	0.46
panB	-0.085	0.869
kdpB	0.114	0.53
nusG	-0.037	1.0
mgsA	0.148	0.806
ydgH	-0.17	0.429
rbsK	0.52	0.169
iscR	-0.091	0.694
rplT	0.424	0.009
speD	0.202	0.623
rnb	-0.123	0.867
ydgA	-0.258	0.528
aroK	0.016	0.913
rpoA	0.079	0.437
panC	-0.224	0.505
hupA	-0.219	0.01
acs	0.821	5.495e-09
cheA	1.31	1.91e-13
rplY	0.409	0.0003404
hisC	-0.259	0.032
fabB	-0.142	0.616
skp	0.012	0.743
rpiA	-0.533	0.037
serA	-0.347	0.0002368
grcA	-0.576	0.032
rpsP	0.119	0.43
sucD	0.4	2.202e-05
rplM	0.213	0.071
plsB	0.1	1.0
yhjE	0.197	0.944
pepQ	-0.228	0.853
fbp	-2.52	0.016
ppc	-0.123	0.068
pckA	0.241	0.158
fbaA	-0.253	0.004
pntB	-0.327	0.003
slyA	-0.004	1.0
cysJ	0.137	0.138
gltL	0.403	0.198
cusR	0.808	0.075
metF	0.385	0.033
eda	-0.164	0.388
cysH	-0.257	0.269
map	-0.136	0.733
pntA	-0.269	0.002
fliC	1.915	0.0
atpH	-0.076	0.87
gltI	-0.442	0.001
prs	0.086	0.738
livK	-0.471	0.000801
rpsI	0.238	0.179
tpx	-0.455	9.167e-07
lptB	0.263	0.944
yjjK	0.223	0.158
fabI	0.024	0.496
yfcB	-0.632	0.109
ppsA	0.034	0.462
accC	0.176	0.463
asnS	0.042	0.488
greA	0.344	0.146
secD	0.43	0.991
rpsG	0.219	1.848e-05
yidA	0.244	0.526
ahpC	0.033	0.766
purB	-0.1	0.5
aceE	-0.137	0.012
grxD	-0.344	0.066
trpD	0.447	0.012
cspD	0.852	0.012
pfkA	-0.261	0.137
yhbY	0.157	0.598
ycaO	0.472	0.249
rne	0.15	0.211
ecnB	-1.249	0.012
yfgL	-0.087	0.94
sstT	-0.155	1.0
mrp	0.148	0.868
ghrA	-0.115	0.867
gltA	0.26	0.006
tolB	-0.268	0.697
yfcD	0.008	1.0
pepP	-0.169	0.979
carA	0.094	0.361
atpA	-0.066	0.248
folE	0.024	0.845
trpS	-0.334	0.002
atpF	0.102	0.667
mglB	-0.53	0.062
purC	-0.364	0.006
cysK	-0.08	0.516
icd	-0.153	0.0006006
fliZ	0.734	0.12
yajQ	-0.824	0.0001056
infA	0.137	0.316
nuoA	-0.597	0.164
rplE	0.236	0.025
thiB	-0.14	0.346
moaC	-0.52	0.224
gyrB	0.26	0.277
ilvC	0.169	0.003
pmbA	-0.099	0.392
metK	-0.197	0.0004519
gdhA	1.788	0.0
gpmI	-0.235	0.307
rplO	0.387	0.004
dksA	-0.032	0.85
lrp	0.517	0.182
purD	-0.431	0.027
fliD	1.276	1.575e-07
fklB	0.084	0.736
pyrG	0.531	0.002
fis	-0.217	0.304
metA	-0.61	0.021
glmS	0.012	0.957
yncE	0.523	0.143
trpB	0.239	0.033
tpiA	-0.325	0.008
solA	-0.45	0.055
leuA	0.061	0.521
arcA	0.195	0.148
sdhB	0.256	0.005
thiC	-0.158	0.194
ybiC	-0.494	0.004
proC	-0.647	0.026
ybeZ	0.339	0.338
ftsA	-0.184	0.755
hisS	0.113	0.583
deoB	0.332	0.492
rpmF	0.144	0.55
thrA	-0.345	3.17e-06
ycgR	1.603	0.00054
gltD	0.149	0.09
dapD	-0.105	0.082
ndh	-0.701	0.094
ilvA	-0.172	0.173
rplQ	0.317	0.036
crr	-0.396	2.935e-06
apt	-0.081	0.646
rpsN	-0.029	0.85
manX	0.085	0.973
livJ	-0.893	0.0
hslO	0.055	1.0
hisH	-0.726	0.011
pheT	-0.064	0.797
thrS	0.239	0.139
glyA	-0.25	0.0003742
leuD	-0.224	0.103
sucB	0.143	0.154
ybgF	-0.049	1.0
nmpC	-0.201	0.177
yfgM	-0.142	0.742
atpD	0.001	0.878
cysC	0.266	0.318
hisB	-0.127	0.384
rpmA	0.36	0.162
kdsD	-0.622	0.134
proB	-0.125	0.657
manZ	0.149	1.0
rcsB	-0.096	0.653
purU	-0.03	0.941
pheS	-2.136	1.0
dut	-0.268	0.482
hslU	0.127	0.616
atpC	-0.265	0.47
galE	-1.129	0.0004368
cyoA	-0.104	0.364
rho	0.162	0.281
metG	-0.049	0.817
murA	0.318	0.662
rplW	0.2	0.279
groL	0.29	9.922e-07
glgC	-0.073	1.0
artJ	-0.422	0.013
fkpA	-0.066	0.242
ilvE	-0.268	0.012
engD	-0.066	0.679
yfiO	0.518	0.394
argD	-0.004	0.832
ybdH	0.062	1.0
nuoF	-0.069	0.429
ilvD	-0.241	0.005
gshB	0.705	0.078
tyrB	0.139	0.91
secA	0.519	0.566
pykF	-0.228	0.014
yeiP	-0.423	0.257
ygfZ	0.241	0.435
can	-0.243	0.144
cysI	0.188	0.188
ilvB	-0.095	0.395
zapB	-0.219	0.14
fur	0.408	0.324
katG	0.213	0.147
guaC	0.272	0.933
purL	-0.012	0.855
rplX	0.665	0.003
pykA	0.414	0.021
yhgF	-0.381	0.107
cydA	0.246	0.464
rpmC	0.238	0.093
yiaF	0.153	0.893
iscS	-0.082	0.429
glnS	-0.093	0.69
yfeX	-0.229	0.432
rplB	0.227	0.002
dnaK	0.347	6.038e-09
kdpC	0.073	0.518
argA	0.044	0.798
cheZ	1.323	1.507e-09
rbsA	0.711	0.011
rpsD	0.259	0.008
gltX	-0.467	0.014
fadA	0.243	0.617
lysS	0.008	0.925
atpG	-0.088	0.824
thiG	-0.218	0.312
rplV	0.265	2.261e-05
nrdA	-0.643	0.043
secB	0.178	0.136
fdx	-0.63	0.081
cysD	0.832	0.002
lpdA	0.043	0.434
nfuA	0.257	0.497
melA	-2.35	0.011
rpoD	-0.121	0.25
aspC	0.024	0.917
cheW	1.562	7.053e-08
rplI	0.106	0.05
proS	0.198	0.021
flgL	0.751	0.043
ahpF	-1.344	0.002
dppA	-0.056	0.186
elbB	-0.323	0.182
infC	0.044	0.683
usg	-0.375	0.382
rpsU	0.081	0.585
ybbN	-0.129	0.508
fabF	-0.094	0.108
kdsA	-0.321	0.255
trpA	-0.324	0.164
hisG	-0.159	0.344
thiE	-0.27	0.27
secY	0.752	0.092
aroB	-0.568	0.023
mdh	-0.318	8.066e-08
rpsE	0.313	0.0004244
pyrD	1.243	0.001
gapA	-0.252	0.001
purH	-0.059	0.394
azoR	-0.487	0.233
orn	-0.889	0.008
pifC	0.372	0.241
nlpB	-0.13	0.499
groS	0.085	0.636
ompA	-0.443	2.6e-07
ilvG	0.003	0.976
metL	-0.991	0.195
yrbB	-0.046	1.0
rpmE	0.354	0.005
degQ	-0.576	0.17
aroA	-0.475	0.097
pgk	-0.415	2.193e-09
serS	-0.042	0.736
oppA	0.067	0.699
dcp	0.452	0.243
rplL	0.279	0.188
modC	1.288	0.015
ftsZ	0.116	0.193
yibN	0.096	0.205
arnA	0.411	0.202
kdsB	-0.427	0.28
fliA	0.23	0.669
ileS	-0.24	0.451
tyrS	-0.066	0.691
rpsF	0.125	0.149
cysA	0.286	0.136
rbsD	-0.647	0.063
trpC	1.206	0.01
leuB	0.099	0.214
pepD	0.082	0.8
ftsE	0.021	1.0
nlpA	-0.093	0.516
guaA	0.096	0.501
damX	-0.128	0.788
suhB	0.562	0.081
tap	1.017	6.339e-05
metE	0.121	0.02
ydjN	-0.233	0.042
htpG	0.273	0.026
wzzB	-0.203	0.784
sodB	-1.341	5.287e-07
nadE	-0.351	0.096
pgm	0.161	0.675
yagU	0.151	0.673
ybiS	-0.399	0.082
grpE	0.242	0.204
acrA	-0.112	0.184
fusA	0.043	0.159
hisJ	-1.164	0.0
hisF	-0.656	0.001
dapB	-0.447	0.004
livG	0.32	0.345
ptsI	-0.16	0.197
pgi	-0.182	0.236
allR	-0.358	0.691
yjgF	-0.29	0.342
yajG	-0.003	0.531
leuC	0.076	0.804
ndpA	-0.938	0.127
lysC	-0.233	0.001
uspA	-0.563	0.003
nfnB	-0.45	0.082
folD	0.102	0.822
crp	0.921	0.064
thiM	-1.31	1.0
ygiF	-0.104	1.0
luxS	-0.337	0.118
fabG	-0.233	0.13
valS	0.075	0.749
metN	0.381	0.122
tsf	0.074	0.04
hinT	-0.748	0.026
recA	-0.311	0.265
nusA	-0.044	0.957
thiF	0.009	1.0
rpsS	0.318	0.32
guaB	0.176	0.276
sdhA	0.208	0.015
leuS	0.012	0.978
hisP	-0.028	1.0
crl	-0.607	0.095
minE	-0.645	0.064
acnA	0.087	1.0
pepN	0.215	0.484
zipA	-0.024	1.0
pgl	-0.536	0.156
engA	-0.184	0.338
yeaD	-0.079	1.0
cysM	-0.023	0.997
rplU	0.328	0.054
ilvI	-2.566	0.009
rpsL	0.061	0.576
rraA	-7.686	0.015
bcp	-1.183	2.684e-05
erpA	0.088	0.469
argI	-0.007	1.0
livF	0.074	1.0
rpsC	0.175	0.077
rpsB	0.148	0.027
tufA	-0.056	0.408
clpP	-0.15	0.542
xthA	0.044	1.0
yaeT	0.061	0.905
tsr	1.54	1.332e-15
ompF	-0.273	0.362
aldA	0.528	1.901e-07
ftsY	0.055	1.0
nrdB	-0.553	0.264
pta	0.215	0.374
typA	0.101	0.505
minD	-0.15	0.326
hemL	-0.11	0.675
cspC	-0.446	0.011
argE	0.099	0.231
metB	0.358	0.288
ssb	0.609	0.13
rplJ	0.17	0.089
dnaN	0.046	1.0
lacZ	-3.558	0.0
purM	-0.207	0.04
fabD	-0.541	8.077e-07
dnaJ	3.224	0.00098
galU	-0.246	0.232
accD	-0.278	0.179
rpsJ	0.185	0.074
lon	-0.012	0.995
ffh	-0.151	0.876
frmA	0.014	1.0
clpB	0.105	0.39
trxA	-1.266	1.993e-09
adhE	-0.364	5.519e-06
thiH	0.258	0.496
gpmA	-0.104	0.341
mglA	0.392	0.472
nuoE	0.619	0.073
yifE	0.004	1.0
mreB	0.002	0.96
ppiD	0.161	0.241
rpoC	0.06	0.025
cspE	-0.061	0.64
btuR	0.032	1.0
rplD	0.258	0.017
cysN	-0.04	0.223
ptsG	0.11	0.334
purA	-0.067	0.723
yicC	-0.52	0.207
surA	-0.21	0.382
tktA	-0.023	0.852
yraP	-0.389	0.207
yfcZ	0.499	0.134
ybeD	-0.375	0.426
nuoG	0.077	0.634
rpoB	0.066	0.363
yhcB	0.132	0.933
sucC	0.474	4.557e-06
glyQ	0.115	0.823
talB	0.035	0.817
flgN	1.328	2.513e-05
mtnN	-0.0001205	0.635
fabH	0.261	0.11
rpsH	0.113	0.806
rplF	0.103	0.305
glyS	0.039	0.974
hflK	0.214	0.169
speA	0.334	0.249
gltB	-0.001	0.926
purF	0.303	0.121
rplN	0.157	0.501
pflB	0.05	0.684
metQ	0.572	0.057
purR	0.021	0.47
hemB	-0.056	1.0
upp	-0.012	0.911
rpsR	0.133	0.443
secG	0.222	0.561
trg	0.57	0.271
rpsK	0.044	0.433
yraL	-0.001	1.0
trmJ	0.759	0.352
glcB	0.685	0.09
rpsM	0.196	0.049
ytfQ	-2.048	0.006
metH	-0.034	0.428
hflC	0.741	0.109
ubiE	-0.515	0.053
yeeX	-0.225	0.109
argH	0.1	0.353
zwf	0.456	0.091
gcvP	-0.786	0.002
yqjD	0.134	0.669
purT	-0.064	0.891
argS	-0.345	0.169
ydjA	0.782	1.0
sthA	0.198	0.703
fliH	2.664	0.001
ackA	0.217	0.053
gyrA	0.023	0.586
fliF	1.153	0.013
fadB	0.407	0.144
pnp	0.149	0.057
glnA	-0.103	0.443
yjcZ	1.676	1.487e-05
yfgD	1.395	0.008
prlC	-0.302	0.142
infB	-0.031	0.919
yuaX	-0.482	0.365
alaS	-0.363	0.004
clpX	0.2	0.15
ribH	0.282	0.126
aer	1.211	0.003
fumA	0.008	0.882
sspA	-0.19	0.182
mukE	0.055	1.0
efp	-0.174	0.207
yuaY	0.612	0.157
yfdH	-0.074	1.0
lysA	0.13	0.919
hns	0.181	0.084
arnB	0.057	1.0
aceF	-0.054	0.326
ndk	0.419	1.36e-05
acnB	0.092	0.065
eno	-0.272	5.548e-05
sucA	0.337	4.279e-07
rpsA	0.117	0.004
