protein	log2FC	p-val
ydcL	1.196	0.022
flgL	1.911	0.00086
gyrB	0.079	0.476
ybeZ	0.645	0.017
gyrA	0.435	0.014
grpE	0.251	0.231
yjcZ	3.604	2.165e-08
lrp	1.066	0.002
rplF	-0.081	0.619
gltL	2.209	4e-05
fadB	3.425	6.014e-09
folE	-0.296	0.153
yifE	0.435	0.015
purD	-0.132	0.19
pgl	0.592	0.781
atpF	0.578	0.0001865
ppsA	1.318	1.297e-10
engD	-0.208	0.32
thiE	0.271	0.25
fliD	2.896	1.44e-06
talB	0.182	0.171
rraA	-6.202	0.002
rplD	-0.287	0.016
nuoE	1.011	0.007
asnS	-0.278	0.012
rpsN	-0.339	0.159
atpC	0.269	0.216
accC	0.081	0.791
yhcB	0.611	0.015
cpxR	1.074	0.004
mglB	3.572	0.0
nfnB	-0.345	0.129
nuoC	0.897	0.002
purU	-0.299	0.044
gdhA	1.22	0.0
hns	1.271	1.674e-13
cysC	-0.6	0.046
hisG	-0.02	0.871
yfeX	0.203	0.48
serC	-0.424	1.83e-05
hisB	0.376	0.072
clpX	0.324	0.124
yicC	0.292	0.41
ubiE	0.351	1.0
livG	0.496	0.123
nlpB	0.703	3.039e-06
leuB	0.495	0.024
yajG	0.673	9.881e-05
arcA	1.391	1.049e-06
icd	0.762	0.0
glcB	1.512	0.001
rpmG	0.248	0.109
argB	-0.226	0.128
rpsH	-0.318	0.155
purH	-0.177	0.038
gapA	-0.424	4.492e-08
secB	0.963	5.645e-08
yfiO	1.15	0.011
dacA	0.025	0.994
engA	0.059	1.0
hinT	0.191	0.567
btuR	1.205	0.017
rpmC	-0.407	0.089
ilvD	-0.117	0.062
aspS	0.103	0.169
mrp	0.194	0.763
rpsS	-0.299	0.043
rplC	-0.202	0.018
ptsI	-0.773	4.915e-11
gnd	-0.089	0.345
pifC	0.618	0.283
rplP	-0.034	0.9
bcp	-0.645	0.001
ilvC	-0.023	0.831
rpoD	0.658	0.007
ytfQ	0.966	0.011
cheZ	2.295	5.385e-11
rpsO	0.255	0.663
oppD	2.373	3.912e-05
glyA	-0.137	0.118
zipA	0.46	0.087
recA	0.586	0.0007919
rplL	-0.027	0.753
rbsA	3.32	5.446e-09
fabI	-0.074	0.795
pykF	-1.08	7.405e-07
ndk	1.177	0.0
cysH	-0.247	0.224
trpS	0.064	0.673
rpsL	-0.205	0.295
fliF	1.621	0.001
carB	-0.348	1.028e-08
guaA	-0.315	0.04
ghrB	0.52	0.007
yeeX	-0.204	1.0
zwf	0.646	0.000884
valS	-0.117	0.484
dcp	0.4	0.348
atpG	0.513	0.062
guaB	-0.609	0.0001834
rplE	-0.172	0.004
luxS	0.922	0.019
gpmI	-0.936	0.189
maeB	1.21	0.147
nadE	-0.108	0.944
purC	0.219	0.124
ahpC	0.952	0.0
aspC	0.575	4.441e-14
purA	-0.377	0.002
ybgF	-0.234	0.501
pflB	1.061	0.0
ycgR	2.493	0.00012
hslO	0.47	0.139
livJ	0.274	0.001
mtnN	0.311	0.95
ghrA	0.495	0.079
ybiC	-0.357	0.263
ybdH	1.089	0.013
pheS	0.069	1.0
tar	2.734	0.0
metK	-0.319	6.134e-05
rplS	-0.186	0.101
speA	0.436	0.279
solA	0.149	0.363
rplW	-0.239	0.227
argS	0.032	0.912
melA	2.658	0.00064
pal	-0.542	0.000429
atpB	0.535	0.066
tgt	-0.458	0.346
ssb	1.019	0.042
sdhB	1.18	2.22e-15
pntA	-0.392	0.0008126
iscS	0.393	0.0009909
cysK	0.038	0.97
tig	-0.112	0.051
ftsY	0.401	0.076
rplQ	-0.153	0.344
eda	-0.072	0.555
leuC	0.144	0.084
fbp	-0.728	0.208
pgk	-0.13	0.007
crr	-0.295	0.057
iscR	0.49	0.032
cysN	-0.639	1.994e-05
rpoA	0.266	0.003
pheT	-0.179	0.216
ilvI	1.205	0.021
lpdA	0.714	0.0
mreB	0.24	0.067
rpsC	-0.101	0.096
rcsB	0.306	0.158
rpsU	-0.397	0.025
cheW	2.654	1.327e-06
uspF	2.68	2e-05
fliI	1.941	0.003
acnB	1.564	0.0
ppiD	0.443	0.001
fabD	-0.173	0.034
metF	0.296	0.087
yraL	0.111	0.926
yagU	-0.389	0.349
hflK	0.78	0.008
kdsA	0.214	0.336
hisH	-0.426	0.192
azoR	0.086	1.0
infC	0.118	0.402
dksA	0.612	0.0006441
