protein	log2FC	p-val
ygfZ	-0.042	1.0
thiB	-0.02	1.0
fumC	0.224	0.446
nifU	0.068	0.791
fadA	0.391	0.055
nrdA	-0.024	0.889
gshB	0.374	0.299
rbsK	0.168	0.184
aroK	-0.032	1.0
ppsA	0.102	0.247
gyrA	0.007	0.996
pheS	-0.109	0.915
sucB	-0.016	0.935
rpsC	-0.086	0.152
sopB	0.135	0.859
cpxR	-0.172	0.716
artI	0.229	0.319
rpsT	-0.137	0.268
def	0.641	0.302
rbsA	0.158	0.073
trpD	-0.06	0.96
acrB	-0.051	0.931
trpC	0.299	0.666
purT	-0.087	0.712
ychN	0.131	0.684
fabA	0.117	0.924
accA	-0.016	0.767
zwf	-0.082	0.64
nuoC	0.157	0.307
pyrE	-0.078	1.0
nagB	-4.279	0.046
engD	-0.088	0.678
flgE	0.011	0.881
gabT	0.494	0.132
yeaD	-0.192	0.412
melA	-0.224	0.683
fkpA	0.176	0.19
lysS	-0.228	0.098
kdsB	0.269	0.388
fliL	0.091	1.0
mreB	-0.067	0.534
hsdR	-0.15	0.913
yajG	0.029	0.961
zapB	0.122	0.384
serA	-0.198	0.015
potD	-0.021	0.786
purR	0.264	0.273
rpoB	-0.045	0.656
purH	0.032	0.63
livJ	0.157	0.047
rplV	-0.098	0.157
ftnA	0.094	0.895
lpdA	-0.13	0.018
argB	0.082	0.922
nfuA	0.316	0.121
flgN	-0.127	0.437
rbsB	0.392	1.658e-12
fldA	-0.29	0.509
yfdI	-0.041	1.0
pspA	0.93	0.031
aspS	-0.02	0.896
suhB	0.305	0.399
rplP	-0.171	0.082
rpiA	0.027	1.0
yibN	-0.109	0.557
tktA	-0.021	0.73
btuR	0.168	0.529
acnA	0.234	0.301
pmbA	0.087	0.756
asnS	-0.033	0.468
agp	0.641	0.116
argH	-0.068	0.465
rplS	-0.161	0.206
pntA	-0.139	0.081
nusA	-0.048	0.529
rpsP	0.12	0.348
fliC	-0.226	1.19e-05
ybjQ	0.565	0.08
grxD	0.005	1.0
btuB	0.082	0.701
purL	-0.005	0.964
cysH	-0.228	0.198
cvrA	-0.129	0.974
ydgH	0.079	0.367
yajQ	-0.158	0.324
hisB	0.354	0.046
cysS	-0.075	0.668
seqA	0.312	0.229
hemL	0.025	0.989
icd	0.012	0.882
frr	-0.032	0.885
hns	0.185	0.024
rihC	0.326	0.514
thiJ	0.13	0.958
rlmN	-2.229	0.005
gnd	0.046	0.408
yicC	0.008	1.0
dapD	-0.093	0.277
flgL	-0.037	0.826
mglA	0.273	0.065
ydjN	-0.118	0.181
ygfY	-0.108	0.903
moaB	-4.429	0.632
rplA	-0.071	0.319
talB	0.048	0.958
rpsJ	-0.151	0.076
cstA	0.383	0.014
fbp	0.012	0.617
trxB	0.052	0.532
hupB	0.14	0.357
lrp	-0.002	0.941
glcB	0.145	0.263
sspA	0.061	0.687
cysN	-0.299	0.008
argA	0.172	0.638
cpdB	-0.622	0.477
yjcZ	0.014	0.933
infB	0.038	0.817
yrbD	0.016	1.0
cysI	-0.159	0.075
rne	0.117	0.741
cheZ	-0.135	0.192
tyrB	-0.02	0.992
ppa	-0.103	0.107
cyoA	0.032	0.907
rplO	-0.222	0.019
greA	-0.021	0.915
sstT	0.12	1.0
rpsS	-0.063	0.365
thrC	-0.024	0.612
deoD	-0.026	0.59
atpA	0.008	0.486
hflC	0.03	1.0
degP	0.258	0.026
exbB	-0.318	0.633
carA	-0.093	0.229
arcA	0.134	0.211
fbaA	-0.174	0.033
ilvB	0.265	0.085
fadE	-0.457	0.357
yfgD	0.079	1.0
ubiE	-0.265	0.319
qor	0.038	1.0
adk	0.066	0.97
ackA	0.077	0.312
infA	-0.102	0.321
secG	-0.19	0.564
ilvD	-0.152	0.085
yfgL	-0.104	0.52
lpp	0.075	0.326
ilvG	-0.072	0.704
oppA	0.39	2.172e-07
yhbJ	0.455	0.056
basR	0.169	0.561
rbfA	-0.135	0.659
gsiB	0.024	1.0
ghrA	-0.178	0.643
argD	-0.017	0.846
ecnB	0.698	0.005
galK	-0.142	0.245
