protein	log2FC	p-val
rraA	-0.101	0.387
pheA	0.219	0.169
solA	0.151	0.191
fliA	0.439	0.068
yajG	-0.044	0.507
ydjN	-0.608	0.0001724
cheY	0.452	0.0001156
cheW	1.216	2e-05
kdpA	-0.05	1.0
leuA	-0.032	0.669
infC	0.216	0.00095
tyrS	0.241	0.003
yjjK	0.223	0.01
pgk	0.699	0.0
thiB	0.203	0.124
yaeT	-0.088	0.257
cysC	0.358	0.111
hisD	0.688	0.0001719
thiC	0.352	2.114e-06
thrC	0.096	0.063
yraL	0.274	0.431
cysA	0.332	0.078
traT	-0.106	0.359
mprA	0.139	0.553
fumA	0.274	0.0001802
grpE	-0.154	0.057
cmk	-2.378	0.172
nuoA	-0.632	0.339
zapB	-0.361	0.011
argB	0.413	1.577e-05
stpA	0.357	1.907e-06
argS	-0.066	0.722
hisF	0.87	0.008
hupA	0.183	0.014
nusG	-0.217	0.002
pepP	-0.018	1.0
yfeX	0.47	0.086
ybgF	-0.908	0.012
pepA	-0.045	1.0
pdxJ	0.086	1.0
dnaJ	-0.359	1.0
asnB	0.488	0.045
luxS	0.362	0.002
cueO	0.426	0.012
htpG	-0.113	0.099
lpp	0.456	0.0003214
iscA	-0.011	1.0
ygdK	-0.304	0.165
ilvD	-0.55	0.0
dapD	0.561	5.871e-13
def	-0.237	0.083
purM	0.291	0.0002567
nlpD	-0.495	0.294
maeB	0.302	0.015
slyB	-0.057	0.614
rimM	0.033	1.0
fliL	0.827	0.003
rpsB	-0.075	0.178
ybgI	0.277	0.573
metA	0.268	0.005
rpsM	-0.235	8.166e-06
aceF	0.328	4.486e-08
rpsN	-0.22	0.146
ppiB	-0.396	0.018
kdsB	-0.224	0.048
sucD	1.072	0.0
hupB	0.076	0.123
ptsN	-0.292	0.164
panB	0.112	0.475
adhE	0.335	0.0002994
sodA	0.461	1.365e-05
cysI	0.134	0.018
usg	0.085	0.659
ybiT	-0.407	0.17
hisC	0.65	9.865e-05
rpsC	0.045	0.55
hemY	0.419	0.087
gmk	0.032	1.0
gnd	0.489	6.661e-16
guaA	-0.043	0.248
clpX	-0.289	0.0005962
nrdA	0.241	0.003
yfgM	-0.053	1.0
glyQ	-0.078	0.551
trmJ	-0.431	0.021
thiF	0.355	0.01
hinT	-0.375	0.016
gpmI	-0.155	0.135
murE	-0.054	1.0
atpH	0.237	0.005
dcyD	-0.2	0.727
fadL	-0.006	1.0
glmS	0.443	4.646e-08
can	0.485	5.358e-05
pgm	0.343	0.045
oppA	0.445	0.0007156
tar	0.639	0.0
rplD	-0.249	0.0006851
atpD	0.205	2.619e-09
uspA	0.896	2e-05
yfcL	-0.521	0.3
thrS	-0.617	2.503e-05
ahpF	-0.248	0.031
grxD	-0.453	0.004
metE	0.403	0.0
nlpB	0.087	0.519
hslO	-0.621	0.167
serS	0.444	9.762e-05
deaD	-1.955	2.887e-15
suhB	-0.113	0.221
glnH	-0.022	0.423
zwf	-0.076	0.312
nmpC	1.229	0.0
asd	1.484	0.0
cheA	0.892	1.484e-12
ybcJ	-0.19	0.301
fbaA	0.654	4.441e-16
glnS	0.287	0.0005523
tktA	0.162	0.026
ilvE	0.199	0.000189
tpiA	0.819	1.222e-09
pfkA	-0.023	1.0
aceE	-0.04	0.26
ompT	-0.019	0.937
cusR	-0.232	0.502
pntA	0.511	7.772e-15
secB	-0.119	0.341
ribE	0.085	0.621
sucC	0.796	0.0
rpsF	-0.281	0.0001358
cspE	-0.18	0.133
guaB	0.09	0.05
pspB	-0.693	0.011
surA	-0.227	0.012
kdsC	-0.044	0.852
smpA	-0.175	0.137
metL	-0.042	0.945
rpmD	-0.3	0.018
kdpC	-0.094	0.709
nusA	-0.158	0.000426
rnc	-0.389	0.018
hisJ	0.838	0.0
nuoB	-0.081	1.0
dapB	0.862	2.677e-05
kdsA	0.518	1.772e-05
ydiJ	-0.13	0.211
proS	0.013	0.543
pflB	0.526	0.0
pepN	0.179	0.038
ppc	0.62	4.796e-14
glmU	0.136	0.333
purU	-0.281	0.0005492
yciT	-0.844	0.005
