protein	z-value
efp	-1.5228014777688585
surA	-3.363317869552557
cspD	2.2716117074212625
der	-3.7751536251840423
pepB	-2.918302306895025
accB	0.8489804164855677
alaA	2.3228195318251323
thrS	-7.3487
yfgM	0.3523666671093557
rpmC	-4.895428807595579
nuoF	-1.6746412302314402
purR	-4.146490652771329
yfeX	2.0454318961011597
arcA	-6.797985505332039
grpE	-1.423925766145252
yceD	-4.4530491924491615
trpA	4.757680269547929
guaA	1.7701314666628762
gnsA	-3.2179247252835665
crl	-0.22696333719168812
rpsO	-4.346392943760416
prmB	-1.6180550259819328
hemY	2.1211971575021455
carA	6.979966207544094
ydgH	4.4765342825196415
secD	-1.2139372015827294
hisB	7.175975686493495
trxB	2.5980759236660735
fumA	6.4801658547492815
gyrA	-0.45972494855872964
rplY	-6.4459215133407985
fkpA	2.716233602358651
crp	2.813251086070793
csdE	-2.833765267854772
rpsH	-6.439180480779973
acnB	5.599575096256047
frmA	-3.2014467031589984
atpH	4.385968303849976
cusR	-2.892787029765594
mtnN	-0.6641605263045997
glnH	0.43550261352378034
pykF	5.408072344268772
metJ	-2.388920939222116
fnr	-0.7923597579185327
slyB	-3.0657307215660397
ribE	4.347853472871417
hldD	0.21485366828618174
panB	0.4017538251310378
yibN	-6.745556416556938
manA	-0.758924376407036
rne	-7.3487
nusA	-6.095068357685291
mprA	0.7305131029878924
rnb	-1.5102954987302561
ndk	7.3487
rplT	-4.360452352125066
groL	7.3487
sdhA	7.3487
msrB	0.6823779417884336
rhlE	-2.771386803581708
tyrS	1.4694155000245157
hisG	5.614225736480723
nlpA	-3.089674991618349
ydfG	0.8070344342912119
mioC	-2.044643396917341
ilvE	6.901785617488608
ybhC	-0.40473638349256746
ilvA	4.515890450521233
crr	0.7959293406428297
nuoC	-3.007683711591444
thiC	2.444161363682108
atpA	7.050244478583405
cysI	2.351257332850256
thrB	-1.0820865650813298
dapB	4.6707822165870585
sucD	7.3487
corC	-0.21297661982541582
ridA	2.537752367648029
nuoG	-0.9795358418331037
ihfA	-1.5888871523688872
ilvC	7.3487
pntB	7.3487
kdsC	-1.743425276523302
aspS	-2.777124435604331
ppiC	0.9258882344386935
ycgR	5.476503808755256
gpmI	-3.3227930116184408
oppA	5.087060076283789
potF	-0.9158608397594833
ydgA	-1.014544557152679
yqjI	-1.097898178108056
rpsC	-1.836658908134092
bamE	-3.1878628934277407
aroK	-5.632237439314533
lpp	3.758145363746939
cysS	-1.73165250239469
rpsS	-4.258362755459887
leuS	0.8713194868059172
pcnB	-0.30871449661674427
hslO	-0.2866316992042102
gmk	0.4225526019847225
argA	1.7707231904704974
ptsN	-1.888880538857161
cusC	-2.1624831540692377
livK	-6.601590901462431
aroF	4.672592794612194
ybeZ	0.4481854082382367
bamA	0.6001334681085526
rplK	-7.3487
tap	5.671780912814492
purA	7.3487
rsmI	1.03941827895012
ppiD	-2.079967780274948
katG	4.392664714238102
argG	7.3487
ompC	-5.8684139893209135
aroH	-3.5821621412365454
rplB	-4.00192579208371
guaB	4.789634128769642
mdh	6.226093806016631
speA	1.8806798806457221
prfB	-3.0169953672936636
sucB	5.452165747529837
rplD	-5.005204969257052
nuoI	-3.967493815707927
erpA	-1.1202700133709864
nusG	-5.069811355185527
fis	-0.6417950080393107
leuC	7.3487
talB	5.907597254389865
yhcB	-1.0950545598737
rpsB	-4.435659219653597
kdgR	-0.5967593825304511
nuoA	-0.5640911862307096
gnd	6.259192647524844
hisP	2.0731729722981735
bamD	1.2262172991207647
nrdA	1.5218556547243687
nagZ	0.0
mreB	-5.324717298003832
slyD	-0.6214832782432943
rraB	-0.4227928455817813
apt	-1.2326477108861802
bamB	-0.7905194423938842
prc	0.0
tonB	1.3895506067218337
pyrH	1.9664828052317966
ptsG	6.441885083544624
atpC	2.6637210050086013
yggS	-0.9708655832932419
rpsN	-2.662824472188335
hcxB	4.267836708446838
rpmF	-3.9739717814721978
copA	0.5366417138560083
argH	4.213069566614827
rplO	-5.08936402381962
bamC	1.2432507286909285
purT	3.6031691599450384
secG	-0.4448625734926678
gpmA	2.9363439954086803
ghrA	-2.1810372521872847
rpsM	-7.3487
rplU	-3.6607413836416334
def	-2.007400743181387
ycfP	-2.178145330973004
pyrG	1.3957127745327615
hisS	3.148861644467831
folB	-1.1915994368550646
typA	-4.647069551097164
lysS	-1.2803377627459356
fur	-4.244208783368409
cysJ	2.4287752432394805
luxS	3.7021215554347067
sspB	-1.679339894366863
cysM	-3.973835710407339
ssb	0.96014998774952
pth	-0.23201603481211708
ndpA	-2.7395455527454127
rpsD	-7.3487
rho	-7.3487
yajQ	-3.259736732798535
nadE	1.7383910212785791
ispG	-3.879515437725433
upp	-6.782057286348109
lpoB	-1.316382494232924
metK	5.466861499840315
tolB	-0.14415409798235165
fliG	3.7435057442311033
thiD	0.5178138428582703
argE	3.892739880994486
lrp	2.3226109484010102
gcvT	0.44256561834585584
stpA	7.189142830714619
yebC	-0.3008658367728727
yfdH	1.493475951755765
dnaN	-1.8537664468383863
atpE	2.6539724920065297
rpmD	-3.4776792456376353
pepD	3.30069156858477
speD	3.1479355773534228
menI	-0.2114048673923484
