Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
A14-07016	MG1665 LB rep1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5575	49193	0	54167	43997	0	10170	15825	15461	0	364	29.22	35.14	NaN	3.58	10332	921771	42702	4.63	3950	9.25	153970	37146	36155	24.13	29.49	5531	14.89	+	0.34814	0.52071	0.24145	0.37231	
A14-07017	MG1665 LB rep2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5511	49730	0	54793	44467	0	10326	16336	15984	0	352	29.81	35.95	NaN	3.41	10701	909699	42996	4.73	4085	9.5	151558	37304	36334	24.61	30.11	5850	15.68	+	0.33779	0.50032	0.23563	0.36107	
A14-07018	MG1665 LB rep3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5386	49005	0	54329	43517	0	10812	15341	14980	0	361	28.24	34.42	NaN	3.34	10207	890288	42273	4.75	3906	9.24	149720	36806	35793	24.58	30.01	5510	14.97	+	0.34448	0.51075	0.23908	0.36485	
A14-07020	NCM3722 LB rep1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5473	49134	0	54245	43853	0	10392	15836	15437	0	399	29.19	35.2	NaN	3.84	10374	890452	42605	4.78	3922	9.21	149598	37023	36070	24.75	30.17	5605	15.14	+	0.34726	0.51744	0.23939	0.36743	
A14-07021	NCM3722 LB rep2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5537	50754	0	56143	45141	0	11002	16095	15748	0	347	28.67	34.89	NaN	3.15	10475	893359	43547	4.87	4263	9.79	149075	37744	36692	25.32	30.71	5988	15.86	+	0.33841	0.51262	0.23411	0.35965	
A14-07022	NCM3722 LB rep3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5499	49990	0	55339	44397	0	10942	15983	15599	0	384	28.88	35.14	NaN	3.51	10326	888301	42945	4.83	4095	9.54	148482	37168	36158	25.03	30.36	5858	15.76	+	0.3427	0.51595	0.23668	0.3655	
A14-07024	MG1665 glucose rep1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5514	49772	0	54627	44727	0	9900	16556	16215	0	341	30.31	36.25	NaN	3.44	11040	928190	43389	4.67	3870	8.92	155123	37901	36996	24.43	29.69	5657	14.93	+	0.33552	0.51251	0.2352	0.37266	
A14-07025	MG1665 glucose rep2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5350	47958	0	52866	42918	0	9948	15835	15495	0	340	29.95	36.1	NaN	3.42	10873	895619	41890	4.68	3571	8.52	151308	36773	35838	24.3	29.26	5189	14.11	+	0.33567	0.51024	0.23047	0.3593	
A14-07026	MG1665 glucose rep3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5415	49281	0	54173	44217	0	9956	15875	15517	0	358	29.3	35.09	NaN	3.6	10547	900727	42805	4.75	3891	9.09	151253	37388	36471	24.72	30.09	5663	15.15	+	0.33058	0.49626	0.22952	0.35874	
A14-07028	NCM3722 glucose rep1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5484	49587	0	54419	44585	0	9834	16580	16235	0	345	30.47	36.41	NaN	3.51	10865	900833	42906	4.76	3971	9.26	151459	37552	36635	24.79	30.35	5787	15.41	+	0.33315	0.50392	0.23315	0.36498	
