protein	log2FC	p-val
sp|P0ADS2|ZAPA_ECOLI	0.037	0.983
sp|P24203|YJIA_ECOLI	0.532	0.005
sp|P0AC86|PHSG_ECOLI	0.739	1.471e-05
sp|P11880|MURF_ECOLI	0.736	2.612e-05
sp|P25894|LOIP_ECOLI	0.382	0.194
sp|P08506|DACC_ECOLI	0.331	5.872e-05
sp|P0A8D0|NRDR_ECOLI	0.152	0.16
sp|P0A9Y6|CSPC_ECOLI	0.079	0.585
sp|P64540|YFCL_ECOLI	-0.427	0.108
sp|P12994|YBHB_ECOLI	1.331	1.792e-05
sp|P0AEE1|DCRB_ECOLI	0.136	0.693
sp|P68699|ATPL_ECOLI	-0.294	0.19
sp|P05825|FEPA_ECOLI	-0.331	0.003
sp|P39452|RIR3_ECOLI	-0.436	0.226
sp|P0AG84|YGHA_ECOLI	1.643	5.545e-07
sp|P09980|REP_ECOLI	-0.805	0.01
sp|P62707|GPMA_ECOLI	0.767	0.0
sp|P76007|NHAP2_ECOLI	0.157	0.378
sp|P05852|TSAD_ECOLI	-0.256	0.087
sp|P0A6C8|ARGB_ECOLI	-0.07	0.063
sp|P08373|MURB_ECOLI	0.102	0.823
sp|P0ABZ6|SURA_ECOLI	0.094	0.525
sp|P76038|PUUD_ECOLI	-0.306	0.108
sp|P0AF67|TSAE_ECOLI	-0.05	0.461
sp|P0ACX3|YDHR_ECOLI	1.033	2.467e-09
sp|P0ACU7|YJDC_ECOLI	0.44	0.009
sp|P36979|RLMN_ECOLI	-0.017	0.936
sp|P0AF03|MOG_ECOLI	0.851	3.441e-05
sp|P36938|PGM_ECOLI	0.73	0.0
sp|P0ABQ4|DYR_ECOLI	0.448	0.067
sp|P0AGG8|TLDD_ECOLI	0.862	3.377e-05
sp|P0AFC7|NUOB_ECOLI	0.779	1.495e-07
sp|P0A6E1|AROL_ECOLI	0.206	0.306
sp|P39406|RSMC_ECOLI	-0.222	0.095
sp|P39831|YDFG_ECOLI	0.782	6.566e-10
sp|P0A9R7|FTSE_ECOLI	0.415	0.025
sp|P75957|LOLD_ECOLI	-0.291	0.069
sp|P0A8A2|YEEN_ECOLI	0.063	0.599
sp|P64604|MLAD_ECOLI	-0.103	0.333
sp|P22634|MURI_ECOLI	0.505	0.251
sp|P0A6X7|IHFA_ECOLI	0.327	0.0001777
sp|P22731|LIVF_ECOLI	-0.01	0.73
sp|P0A921|PA1_ECOLI	0.249	0.737
sp|P0AFX0|HPF_ECOLI	0.475	0.717
sp|P0AEQ6|GLNP_ECOLI	-0.554	0.0005539
sp|P0AE52|BCP_ECOLI	-0.242	0.0007534
sp|P0A749|MURA_ECOLI	-0.53	2.243e-06
sp|P0AEG6|DSBC_ECOLI	0.192	0.243
sp|P0A6V8|GLK_ECOLI	-0.021	0.714
sp|P77554|YAHJ_ECOLI	-0.174	0.472
sp|P25437|FRMA_ECOLI	1.214	0.0
sp|P69831|PTKC_ECOLI	1.125	8.882e-16
sp|P0AB89|PUR8_ECOLI	-0.849	0.0
sp|P0A7T3|RS16_ECOLI	-0.407	0.022
sp|P0A6P9|ENO_ECOLI	-0.53	1.27e-13
sp|P0C0K3|SRKA_ECOLI	-0.54	0.011
sp|P10384|FADL_ECOLI	2.681	0.0
sp|P21513|RNE_ECOLI	-0.266	0.0005356
sp|P45748|TSAC_ECOLI	0.768	2.067e-06
sp|P61517|CAN_ECOLI	0.257	0.094
sp|P16703|CYSM_ECOLI	0.292	0.177
sp|P46837|YHGF_ECOLI	-0.777	6.661e-16
sp|P27306|STHA_ECOLI	1.486	0.0
sp|P0A867|TALA_ECOLI	1.431	0.0
sp|P0AGB0|SERB_ECOLI	-0.353	0.038
sp|P37339|LHGD_ECOLI	-0.684	0.0009998
sp|P00561|AK1H_ECOLI	-1.571	0.0
sp|P00935|METB_ECOLI	0.124	0.246
sp|P37177|PT1P_ECOLI	-0.067	0.402
sp|P06149|DLD_ECOLI	0.78	0.0
sp|P0A7F9|QUEA_ECOLI	0.307	0.082
sp|P0AG24|SPOT_ECOLI	0.966	0.0003578
sp|P0AFQ7|YCFH_ECOLI	-0.486	0.011
sp|P0ABQ0|COABC_ECOLI	0.32	0.001
sp|P52061|IXTPA_ECOLI	0.28	0.071
sp|P02943|LAMB_ECOLI	0.789	1.289e-07
sp|P0AGK8|ISCR_ECOLI	-0.087	0.03
sp|P0AAI5|FABF_ECOLI	0.307	0.013
sp|P0AD96|LIVJ_ECOLI	0.369	3.646e-05
sp|P32132|TYPA_ECOLI	-0.923	0.0
sp|P60906|SYH_ECOLI	-0.084	0.161
sp|P0AFF6|NUSA_ECOLI	-0.075	0.147
sp|P45523|FKBA_ECOLI	-0.165	0.014
sp|P31678|OTSB_ECOLI	0.956	0.0007503
sp|P0ACI0|ROB_ECOLI	0.672	0.086
sp|P75867|LONH_ECOLI	0.196	0.417
sp|P0A7I0|RF1_ECOLI	-0.731	3.968e-05
sp|P46130|YBHC_ECOLI	-0.262	0.0006036
sp|P0AFR4|YCIO_ECOLI	0.671	7.215e-06
sp|P09099|XYLB_ECOLI	1.028	5.404e-05
sp|P39325|YTFQ_ECOLI	2.767	1.625e-09
sp|P27431|ROXA_ECOLI	0.345	0.065
sp|P21499|RNR_ECOLI	-0.024	0.285
sp|P30871|3PASE_ECOLI	-0.206	0.048
sp|P0A7M6|RL29_ECOLI	-0.419	0.155
sp|P25745|MNMA_ECOLI	0.402	2.756e-05
sp|P24183|FDNG_ECOLI	1.222	0.0002515
sp|Q46845|YGHU_ECOLI	1.015	1.25e-11
sp|P76316|DCYD_ECOLI	0.507	7.947e-06
sp|P31133|POTF_ECOLI	0.306	0.0001808
sp|P09158|SPEE_ECOLI	-0.292	0.067
sp|P0A9W3|ETTA_ECOLI	-0.233	0.0004548
