protein	log2FC	p-val
sp|P37613|PANZ_ECOLI	0.235	0.465
sp|P0AB52|YCHN_ECOLI	0.567	0.017
sp|P64448|YNBE_ECOLI	-0.077	0.742
sp|P0AEH5|ELAB_ECOLI	1.416	1.52e-10
sp|P0A731|MGSA_ECOLI	0.45	0.053
sp|P63417|YHBS_ECOLI	0.332	0.07
sp|P76270|MSRC_ECOLI	-0.068	0.793
sp|P76272|YEBT_ECOLI	-0.213	0.389
sp|P37595|IAAA_ECOLI	0.23	0.25
sp|P0A6Y1|IHFB_ECOLI	0.399	0.002
sp|P20099|BISC_ECOLI	-0.401	0.041
sp|Q47150|DINJ_ECOLI	0.304	0.528
sp|P23893|GSA_ECOLI	0.078	0.13
sp|P0A9R4|FER_ECOLI	0.451	0.004
sp|P0AFH6|OPPC_ECOLI	-0.62	0.015
sp|P39285|MSCM_ECOLI	-0.504	0.003
sp|P0A9D2|GSTA_ECOLI	0.973	3.527e-11
sp|P0AE06|ACRA_ECOLI	-0.17	0.003
sp|P77718|THII_ECOLI	-1.112	0.0
sp|P16676|CYSA_ECOLI	0.085	0.165
sp|P0A998|FTNA_ECOLI	-0.228	0.017
sp|Q46939|YQEF_ECOLI	1.512	1.387e-06
sp|P07623|METAS_ECOLI	-0.392	0.002
sp|P0A9B2|G3P1_ECOLI	-0.847	0.0
sp|P76291|CMOB_ECOLI	-0.016	0.998
sp|P0AB77|KBL_ECOLI	1.066	1.171e-07
sp|P45748|TSAC_ECOLI	0.168	0.574
sp|P17846|CYSI_ECOLI	-0.152	0.026
sp|P17952|MURC_ECOLI	-0.266	0.027
sp|P0AFM9|PSPB_ECOLI	0.232	0.335
sp|P37666|GHRB_ECOLI	-0.524	2.865e-07
sp|P24183|FDNG_ECOLI	0.505	0.052
sp|P27250|AHR_ECOLI	0.731	0.001
sp|P37759|RMLB1_ECOLI	0.087	0.337
sp|P17315|CIRA_ECOLI	-0.06	0.692
sp|P08660|AK3_ECOLI	-1.848	0.0
sp|P08192|FOLC_ECOLI	0.224	0.023
sp|P77399|FADJ_ECOLI	0.832	3.295e-10
sp|P0ABH7|CISY_ECOLI	0.08	0.494
sp|P02919|PBPB_ECOLI	-0.241	0.022
sp|P0ABZ6|SURA_ECOLI	0.202	0.055
sp|P0AFY8|SEQA_ECOLI	-0.191	0.022
sp|P0AEB0|CYSW_ECOLI	-0.554	0.006
sp|P0ABB0|ATPA_ECOLI	0.194	0.0006742
sp|P38489|NFSB_ECOLI	-0.262	0.05
sp|P45464|LPOA_ECOLI	0.295	0.002
sp|P67087|RSMI_ECOLI	-0.18	0.214
sp|P64554|QUEE_ECOLI	-0.901	1.735e-05
sp|P77754|SPY_ECOLI	0.477	0.007
sp|P0ADT5|YGIC_ECOLI	0.264	0.009
sp|P00562|AK2H_ECOLI	-1.153	0.0
sp|P09996|YIDB_ECOLI	0.238	0.39
sp|P08956|T1RK_ECOLI	0.546	0.002
sp|P0AFH2|OPPB_ECOLI	-0.076	0.904
sp|P0AE18|MAP1_ECOLI	0.047	0.915
sp|P65556|YFCD_ECOLI	0.419	0.021
sp|P23331|KITH_ECOLI	-0.053	0.583
sp|P00550|PTM3C_ECOLI	0.405	3.488e-05
sp|P69811|PTFAH_ECOLI	-5.797	0.0
sp|P27828|WECB_ECOLI	0.198	0.099
sp|P0A935|MLTA_ECOLI	-0.203	0.272
sp|P08373|MURB_ECOLI	0.105	0.966
sp|P67826|CUTC_ECOLI	0.084	0.779
sp|P0ACA7|GSTB_ECOLI	0.498	0.0007267
sp|P0AFX0|HPF_ECOLI	1.245	1.05e-07
sp|P76177|YDGH_ECOLI	-0.038	0.748
sp|P29012|ALR2_ECOLI	0.693	0.125
sp|P06986|HIS8_ECOLI	-0.277	0.003
sp|P0ACB2|HEM2_ECOLI	-0.213	0.01
sp|P0AFD6|NUOI_ECOLI	0.99	2.822e-09
sp|P0A7M6|RL29_ECOLI	-0.308	0.359
sp|P08622|DNAJ_ECOLI	0.445	0.0001584
sp|P0AGD3|SODF_ECOLI	0.361	0.007
sp|P76658|HLDE_ECOLI	-0.138	0.24
sp|P0CB39|EPTC_ECOLI	-0.89	6.964e-05
sp|P37747|GLF_ECOLI	0.34	0.002
sp|P0AEK4|FABI_ECOLI	0.122	0.108
sp|P22729|LIVM_ECOLI	-0.486	0.018
sp|P0A720|KTHY_ECOLI	0.01	0.738
sp|P52096|YAER_ECOLI	0.22	0.523
sp|P09373|PFLB_ECOLI	0.144	0.002
sp|P56262|DLHH_ECOLI	0.675	0.0002244
sp|P0AC84|GLO2_ECOLI	0.608	0.012
sp|P77318|YDEN_ECOLI	1.691	7.538e-07
sp|P0AE08|AHPC_ECOLI	-0.027	0.57
sp|P32144|CSQR_ECOLI	0.699	0.007
sp|P0AG80|UGPB_ECOLI	1.891	0.0
sp|P15067|GLGX_ECOLI	0.183	0.538
sp|P0AF93|RIDA_ECOLI	0.929	1.059e-10
sp|P07023|TYRA_ECOLI	-1.19	0.0
sp|P0ACB0|DNAB_ECOLI	0.06	0.144
sp|P23305|YIGA_ECOLI	0.011	1.0
sp|P0AEM0|FKBX_ECOLI	-0.77	0.009
sp|P25536|NTPPA_ECOLI	1.908	0.003
sp|Q46829|BGLA_ECOLI	0.237	0.004
sp|P0A9L5|PPIC_ECOLI	0.34	0.025
sp|P0AEX5|KPPR_ECOLI	0.23	0.075
sp|P45578|LUXS_ECOLI	-0.428	0.01
sp|P64612|ZAPE_ECOLI	-0.05	0.914
sp|P76014|DHAL_ECOLI	0.204	0.648
sp|P0A7Z4|RPOA_ECOLI	0.239	0.001
sp|P0A7D4|PURA_ECOLI	-0.057	0.239
sp|P30863|DKGB_ECOLI	-0.069	0.686
sp|P0A6E4|ASSY_ECOLI	-0.61	0.0
sp|Q93K97|ADPP_ECOLI	0.072	0.73
sp|P0ABB8|ATMA_ECOLI	0.634	0.0003744
sp|P76002|PLIG_ECOLI	1.069	6.59e-06
sp|P03023|LACI_ECOLI	-0.735	0.003
sp|P0ADX9|RSMD_ECOLI	-0.068	0.334
sp|P0ABQ2|GARR_ECOLI	1.882	1.819e-08
sp|P35340|AHPF_ECOLI	-0.02	0.476
sp|P0A955|ALKH_ECOLI	0.16	0.556
sp|P0A9X9|CSPA_ECOLI	0.706	0.0008603
sp|P69922|FUCI_ECOLI	0.445	0.056
sp|P22564|RIHC_ECOLI	1.792	1.986e-11
sp|P00893|ILVI_ECOLI	-0.286	0.004
sp|P0ADQ7|YGAM_ECOLI	1.798	4.116e-12
sp|P13029|KATG_ECOLI	0.649	0.0
sp|P77721|YDJF_ECOLI	0.316	0.087
sp|P0A9Q9|DHAS_ECOLI	-0.375	1.632e-05
sp|P0ADU2|YGIN_ECOLI	0.347	0.04
sp|Q57261|TRUD_ECOLI	0.073	0.686
sp|P0A8R0|RRAA_ECOLI	-0.018	0.579
sp|P0A6I0|KCY_ECOLI	0.107	0.376
sp|P0A881|TRPR_ECOLI	0.836	8.983e-06
sp|P0A6Z1|HSCA_ECOLI	-0.366	0.014
sp|P11458|NADA_ECOLI	-0.455	0.001
sp|P22186|MRAZ_ECOLI	0.18	0.176
sp|P64506|YEBY_ECOLI	-0.737	0.018
sp|P0AD96|LIVJ_ECOLI	0.377	0.0005886
sp|P0A9A9|FUR_ECOLI	0.626	3.189e-05
sp|P27830|RMLB2_ECOLI	-0.158	0.331
sp|P0A8G6|NQOR_ECOLI	0.935	8.181e-12
sp|P77611|RSXC_ECOLI	-0.345	0.042
sp|P22256|GABT_ECOLI	0.971	0.0
sp|P0A725|LPXC_ECOLI	1.028	1.554e-07
sp|P0A8W0|NANR_ECOLI	0.62	0.006
sp|P0AFL6|PPX_ECOLI	0.247	0.045
sp|P09148|GAL7_ECOLI	0.285	0.148
sp|P76503|FADI_ECOLI	0.73	1.189e-07
sp|P09169|OMPT_ECOLI	0.714	1.332e-15
sp|P10408|SECA_ECOLI	0.238	8.343e-06
sp|P36938|PGM_ECOLI	0.462	9.353e-10
sp|P02413|RL15_ECOLI	-0.693	5.234e-09
sp|P0A7T7|RS18_ECOLI	-0.522	0.055
sp|P0AEX9|MALE_ECOLI	0.855	0.0
sp|P43671|PQIB_ECOLI	0.112	0.67
sp|P0A7R1|RL9_ECOLI	-0.311	0.004
sp|P37690|ENVC_ECOLI	-0.108	0.378
sp|P0AFK0|PMBA_ECOLI	0.096	0.276
sp|P25526|GABD_ECOLI	1.128	0.0
sp|P77239|CUSB_ECOLI	-0.035	0.292
sp|P00888|AROF_ECOLI	-0.802	8.223e-10
sp|P30748|MOAD_ECOLI	-0.198	0.061
sp|P25516|ACNA_ECOLI	1.636	0.0
sp|P0A6X3|HFQ_ECOLI	0.546	0.001
sp|P64636|YRFG_ECOLI	-0.733	0.402
sp|P0A8X0|YJGA_ECOLI	0.011	0.976
sp|P39180|AG43_ECOLI	-2.571	0.0
sp|P0A742|MSCL_ECOLI	-0.479	0.005
sp|P21507|SRMB_ECOLI	-0.064	0.395
sp|P32160|YIIQ_ECOLI	0.3	0.206
sp|P63228|GMHBB_ECOLI	-0.053	0.633
sp|P39315|QOR2_ECOLI	0.364	0.007
sp|P69924|RIR2_ECOLI	-0.335	0.002
sp|P0A8W2|SLYA_ECOLI	0.47	0.002
sp|P10378|ENTE_ECOLI	-0.092	0.658
sp|P0A6T1|G6PI_ECOLI	-0.22	9.019e-05
sp|P0ADK0|YIAF_ECOLI	0.057	0.499
sp|P60723|RL4_ECOLI	-0.446	3.575e-05
sp|P0AGA2|SECY_ECOLI	-0.354	0.084
sp|P27302|TKT1_ECOLI	0.316	8.544e-07
sp|P62707|GPMA_ECOLI	0.263	1.955e-05
sp|P0A847|TGT_ECOLI	0.073	0.632
sp|P0AF70|YJEI_ECOLI	0.037	1.0
sp|P0A790|PAND_ECOLI	-0.007	0.806
sp|P0AED7|DAPE_ECOLI	-0.698	0.0002174
sp|P76015|DHAK_ECOLI	0.511	0.0007416
sp|P76316|DCYD_ECOLI	0.349	0.0002193
sp|P23837|PHOQ_ECOLI	-0.275	0.203
sp|P15640|PUR2_ECOLI	0.009	0.627
sp|P24255|RP54_ECOLI	0.583	4.672e-05
sp|P0AF20|NAGC_ECOLI	-0.122	0.561
sp|P0A9Q1|ARCA_ECOLI	1.036	0.0
sp|P33599|NUOCD_ECOLI	0.188	0.002
sp|P0AAN9|IRAP_ECOLI	0.653	0.011
sp|P0CE48|EFTU2_ECOLI	0.077	0.126
sp|P06610|BTUE_ECOLI	0.606	0.000816
sp|P63389|YHES_ECOLI	-0.453	0.006
sp|P31063|YEDD_ECOLI	-0.031	0.625
sp|P31663|PANC_ECOLI	0.14	0.038
sp|P0ACX3|YDHR_ECOLI	0.466	0.0005124
sp|P0AGE6|CHRR_ECOLI	0.203	0.385
sp|P75823|LTAE_ECOLI	0.389	0.0006384
sp|P23930|LNT_ECOLI	-0.095	0.447
sp|P0A8A0|YEBC_ECOLI	-0.047	0.662
sp|P0A9S7|LIVG_ECOLI	0.176	0.015
sp|P76537|YFEY_ECOLI	0.188	0.156
sp|P0AEI4|RIMO_ECOLI	-0.086	0.617
sp|P15770|AROE_ECOLI	0.016	0.839
sp|P0AG78|SUBI_ECOLI	-1.573	0.0
sp|P0A8X2|YCEI_ECOLI	0.104	0.66
sp|P13482|TREA_ECOLI	1.721	2.889e-12
sp|P27298|OPDA_ECOLI	0.011	0.371
sp|P0AE82|CPXA_ECOLI	-0.001	0.983
sp|P0A850|TIG_ECOLI	-0.167	0.0004695
sp|P69805|PTND_ECOLI	-1.094	8.882e-15
sp|P13445|RPOS_ECOLI	-0.675	1.894e-05
sp|P0A7X3|RS9_ECOLI	0.125	0.088
sp|P76578|A2MG_ECOLI	0.185	0.008
sp|P0A6K3|DEF_ECOLI	0.319	0.016
sp|P64499|YEBO_ECOLI	-0.992	0.0001085
sp|P36680|ZAPD_ECOLI	0.043	0.826
sp|P0A8J2|DNAT_ECOLI	-0.044	0.969
sp|P0AG51|RL30_ECOLI	-0.279	0.078
sp|P15977|MALQ_ECOLI	-0.431	0.005
sp|P0A800|RPOZ_ECOLI	0.069	0.313
sp|P75876|RLMI_ECOLI	0.219	0.278
sp|P0AD59|IVY_ECOLI	0.54	0.003
sp|P0A879|TRPB_ECOLI	-0.385	2.473e-06
sp|P0A9C9|GLPX_ECOLI	0.162	0.362
sp|P75809|YBJI_ECOLI	-0.486	0.034
sp|P0ABQ0|COABC_ECOLI	0.223	0.047
sp|P0A8G9|EX7S_ECOLI	0.291	0.406
sp|P61949|FLAV_ECOLI	-0.205	0.034
sp|P0A6B4|ALR1_ECOLI	0.136	0.655
sp|P77258|NEMA_ECOLI	-0.35	0.091
sp|P18956|GGT_ECOLI	0.947	1.319e-13
sp|P31064|YEDE_ECOLI	0.863	0.281
sp|P0A7H6|RECR_ECOLI	-0.357	0.18
sp|P23883|PUUC_ECOLI	-1.061	3.328e-06
sp|P75830|MACA_ECOLI	-0.029	0.991
sp|P69428|TATA_ECOLI	0.168	0.319
sp|P0ABH0|FTSA_ECOLI	0.032	0.992
sp|P0AF24|NAGD_ECOLI	0.081	0.607
sp|P0A8J4|YBED_ECOLI	0.276	0.093
sp|P00904|TRPGD_ECOLI	-0.976	8.451e-12
sp|P0A9V1|LPTB_ECOLI	0.389	0.0005827
sp|P21165|PEPQ_ECOLI	0.249	0.06
sp|P64451|YDCL_ECOLI	1.06	7.623e-12
sp|P0AEW9|K1PF_ECOLI	-5.804	1.501e-13
sp|P39451|ADHP_ECOLI	0.41	0.161
sp|P69853|DMSD_ECOLI	-0.431	0.041
sp|P0A7B8|HSLV_ECOLI	-0.169	0.304
sp|P08142|ILVB_ECOLI	0.11	0.462
sp|P00909|TRPC_ECOLI	0.081	0.901
sp|P39334|BDCR_ECOLI	-0.039	0.043
sp|P0A7N9|RL33_ECOLI	0.345	0.165
sp|P30850|RNB_ECOLI	-0.459	6.055e-06
sp|P07014|SDHB_ECOLI	0.778	3.61e-11
sp|P75949|NAGZ_ECOLI	-0.243	0.096
sp|P0A6A8|ACP_ECOLI	-0.297	0.117
sp|P0A9W9|YRDA_ECOLI	0.094	0.669
sp|P0AB83|END3_ECOLI	-0.381	0.068
sp|P00452|RIR1_ECOLI	-0.595	1.549e-11
sp|P18133|PNCB_ECOLI	-0.002	0.429
sp|P15082|SRLR_ECOLI	0.233	0.455
sp|P0AD49|YFIA_ECOLI	-0.01	0.128
sp|P63224|GMHA_ECOLI	0.54	5.761e-09
sp|P0AB55|YCII_ECOLI	-0.16	0.246
sp|P25665|METE_ECOLI	-0.538	0.0
sp|P75931|YCEM_ECOLI	1.397	0.0002641
sp|P52097|TILS_ECOLI	-1.293	1.859e-05
sp|P0A915|OMPW_ECOLI	1.386	4.511e-07
sp|P0A9D8|DAPD_ECOLI	-0.852	0.0
sp|P12758|UDP_ECOLI	0.788	1.55e-13
sp|P39176|ERFK_ECOLI	0.702	0.0006782
sp|P12995|BIOA_ECOLI	0.906	0.001
sp|P77434|ALAC_ECOLI	0.572	0.0006079
sp|P0AG07|RPE_ECOLI	0.463	0.01
sp|P0AFF2|NUPC_ECOLI	-1.007	8.91e-07
sp|P09147|GALE_ECOLI	0.445	3.015e-05
sp|P0ACE7|HINT_ECOLI	0.362	0.003
sp|P0ADV5|YHBW_ECOLI	0.476	0.068
sp|P00935|METB_ECOLI	-0.842	2.975e-12
sp|P0A6C5|ARGA_ECOLI	-0.484	7.31e-08
sp|P0A9U3|YBIT_ECOLI	-0.354	0.0008434
sp|P0A968|CSPD_ECOLI	1.931	7.164e-05
sp|P25535|UBII_ECOLI	0.112	0.66
sp|P0AG99|SECG_ECOLI	-0.482	0.013
sp|P08957|T1MK_ECOLI	-0.008	0.596
sp|P0A707|IF3_ECOLI	-0.064	0.299
sp|P06992|RSMA_ECOLI	0.181	0.269
sp|P23908|ARGE_ECOLI	-0.786	4.441e-16
sp|P05055|PNP_ECOLI	-0.17	0.0006394
