protein	log2FC	p-val
sp|P69411|RCSF_ECOLI	0.551	0.0008458
sp|P69054|DHSC_ECOLI	-0.716	0.0001158
sp|P0A759|NAGB_ECOLI	0.383	0.003
sp|P0AFB8|NTRC_ECOLI	-0.601	4.058e-05
sp|P37903|USPF_ECOLI	1.066	9.503e-11
sp|P24188|YCEA_ECOLI	8.446e-05	0.574
sp|P69222|IF1_ECOLI	-0.899	1.7e-05
sp|P0AED7|DAPE_ECOLI	-0.264	0.147
sp|P07762|GLGB_ECOLI	-0.017	0.763
sp|P52096|YAER_ECOLI	0.258	0.308
sp|P30177|YBIB_ECOLI	0.325	0.013
sp|P21507|SRMB_ECOLI	-0.052	0.941
sp|P77718|THII_ECOLI	-1.0	2.038e-13
sp|P0A725|LPXC_ECOLI	0.656	0.0003672
sp|P0A8L1|SYS_ECOLI	-0.194	0.002
sp|P0AB43|YCGL_ECOLI	-0.254	0.058
sp|P76346|MTFA_ECOLI	0.811	0.0001023
sp|P0A921|PA1_ECOLI	0.142	0.513
sp|P08178|PUR5_ECOLI	0.321	0.005
sp|P0AG40|RIBF_ECOLI	-0.349	0.008
sp|P22259|PCKA_ECOLI	1.301	0.0
sp|P0A6A3|ACKA_ECOLI	-0.095	0.174
sp|P0AGG2|TESB_ECOLI	0.413	0.004
sp|P32664|NUDC_ECOLI	0.531	0.002
sp|P37615|YHHM_ECOLI	0.357	0.126
sp|P65870|QUED_ECOLI	0.188	0.105
sp|P27434|RODZ_ECOLI	-0.09	0.114
sp|P23367|MUTL_ECOLI	0.096	0.944
sp|P0AE85|CPXP_ECOLI	1.521	3.553e-15
sp|P27848|YIGL_ECOLI	0.627	0.0001439
sp|P00895|TRPE_ECOLI	-0.559	1.303e-11
sp|P0AEZ3|MIND_ECOLI	0.482	7.216e-09
sp|P08395|SPPA_ECOLI	-0.573	0.008
sp|P69797|PTNAB_ECOLI	-0.242	0.003
sp|P0CB39|EPTC_ECOLI	-0.668	0.0002544
sp|P60293|MUKF_ECOLI	0.166	0.257
sp|P33018|SFGH2_ECOLI	0.553	0.008
sp|P77239|CUSB_ECOLI	-0.118	0.02
sp|P0ADV5|YHBW_ECOLI	0.989	0.0003079
sp|P29680|DCUP_ECOLI	-0.249	0.267
sp|P14081|SELB_ECOLI	0.104	0.878
sp|P0ABT2|DPS_ECOLI	0.7	3.004e-10
sp|P77399|FADJ_ECOLI	0.102	0.62
sp|P0A7E1|PYRD_ECOLI	-0.131	0.004
sp|P30011|NADC_ECOLI	-0.309	0.013
sp|P0AEJ2|ENTC_ECOLI	-0.354	0.008
