protein	log2FC	p-val
sp|P18392|RSTB_ECOLI	-0.222	0.533
sp|P0A7D1|PTH_ECOLI	0.33	0.006
sp|P00393|DHNA_ECOLI	0.121	0.193
sp|P37626|YHII_ECOLI	-0.248	0.045
sp|P0C093|SLMA_ECOLI	0.814	0.004
sp|P52062|YGGW_ECOLI	-0.305	0.416
sp|P27247|PLSX_ECOLI	-0.092	0.683
sp|P0A8R0|RRAA_ECOLI	0.917	1.983e-07
sp|P09546|PUTA_ECOLI	-0.242	0.358
sp|P0ABS8|HOLE_ECOLI	-0.671	0.011
sp|P0A9D8|DAPD_ECOLI	0.123	0.22
sp|P17445|BETB_ECOLI	-0.042	0.274
sp|P0AA43|RSUA_ECOLI	-0.367	0.002
sp|P0A8J4|YBED_ECOLI	0.089	0.342
sp|P0AFM2|PROX_ECOLI	0.243	0.019
sp|P0AEW4|CPDA_ECOLI	0.291	0.342
sp|P0AAI9|FABD_ECOLI	-0.7	2.535e-06
sp|P08956|T1RK_ECOLI	-0.776	0.006
sp|P0AE01|TRMJ_ECOLI	-0.143	0.5
sp|P60664|HIS6_ECOLI	0.369	0.000778
sp|P12995|BIOA_ECOLI	0.129	0.463
sp|Q47690|MMUM_ECOLI	0.493	0.004
sp|P0ADG4|SUHB_ECOLI	-0.673	0.0001286
sp|P03004|DNAA_ECOLI	-0.017	0.735
sp|P75960|NPD_ECOLI	-0.259	0.037
sp|P0A853|TNAA_ECOLI	-0.267	0.528
sp|P0AEM0|FKBX_ECOLI	0.419	0.055
sp|P76506|MLAA_ECOLI	-0.18	0.603
sp|P0A6A3|ACKA_ECOLI	0.294	0.014
sp|P0A9D2|GSTA_ECOLI	0.535	0.002
sp|P18843|NADE_ECOLI	0.657	4.281e-12
sp|P0A9G6|ACEA_ECOLI	0.684	0.0
sp|P0AD61|KPYK1_ECOLI	0.898	0.0
sp|P31119|AAS_ECOLI	-0.79	0.174
sp|P0A6Y5|HSLO_ECOLI	-0.281	0.01
sp|P0AES6|GYRB_ECOLI	-0.079	0.11
sp|P20099|BISC_ECOLI	0.47	0.015
sp|P0AFG6|ODO2_ECOLI	-0.408	6.209e-08
sp|P60723|RL4_ECOLI	-0.024	0.356
sp|P0AB77|KBL_ECOLI	-0.464	0.008
sp|P0AAC6|YCCA_ECOLI	-0.963	0.001
sp|P76342|MSRP_ECOLI	0.33	0.221
sp|P0AC30|FTSX_ECOLI	0.33	0.019
sp|P0A7G2|RBFA_ECOLI	-0.138	0.033
sp|P64461|LSRG_ECOLI	-0.209	0.411
sp|P0A8W5|YQGE_ECOLI	-0.279	0.102
sp|P0AEQ1|GLCG_ECOLI	-0.597	0.894
sp|P62399|RL5_ECOLI	-0.152	0.261
sp|P0AET8|HDHA_ECOLI	0.544	1.245e-05
sp|P63417|YHBS_ECOLI	0.675	7.498e-06
sp|P02925|RBSB_ECOLI	0.356	1.047e-07
sp|P0ADT5|YGIC_ECOLI	-0.368	0.006
sp|P29018|CYDD_ECOLI	0.425	0.012
sp|P0AFM9|PSPB_ECOLI	0.181	0.045
sp|P63020|NFUA_ECOLI	-0.146	0.25
sp|P11875|SYR_ECOLI	-0.009	0.263
sp|P62768|YAEH_ECOLI	0.613	1.349e-07
sp|P76537|YFEY_ECOLI	0.134	0.59
sp|P0AED7|DAPE_ECOLI	0.499	0.282
sp|P0ABD8|BCCP_ECOLI	-0.397	0.01
sp|P23893|GSA_ECOLI	0.072	0.155
sp|P60752|MSBA_ECOLI	-0.006	0.758
sp|P17854|CYSH_ECOLI	-0.39	0.001
sp|P0AEG1|DPPC_ECOLI	-1.429	2.018e-06
sp|P07650|TYPH_ECOLI	0.515	3.506e-05
sp|P0ABQ0|COABC_ECOLI	0.014	0.87
sp|P16676|CYSA_ECOLI	-0.856	2.648e-07
sp|P31130|YDEI_ECOLI	1.656	3.035e-13
sp|P13000|BIOD1_ECOLI	0.238	0.03
sp|P37177|PT1P_ECOLI	0.564	0.0001591
sp|P38038|CYSJ_ECOLI	-0.167	0.012
sp|P10378|ENTE_ECOLI	-0.115	0.666
sp|P0A796|PFKA_ECOLI	0.286	0.061
sp|P76594|PKA_ECOLI	0.353	0.335
sp|P0AEH3|ELAA_ECOLI	-0.715	0.003
sp|P04816|LIVK_ECOLI	0.184	0.042
sp|P0A9D4|CYSE_ECOLI	0.223	0.201
sp|P0AFB5|NTRB_ECOLI	0.306	0.25
sp|P0AG16|PUR1_ECOLI	-0.224	0.119
sp|P06612|TOP1_ECOLI	0.122	0.121
sp|P32131|HEMN_ECOLI	0.334	0.399
sp|P0A9S5|GLDA_ECOLI	0.561	0.006
sp|P0AAN5|YAIA_ECOLI	0.483	0.012
sp|P0A9T4|TAS_ECOLI	0.046	0.564
sp|P0A9C3|GALM_ECOLI	1.303	0.0
sp|P0AG55|RL6_ECOLI	-0.301	5.243e-06
