protein	log2FC	p-val
sp|P0A890|TUSA_ECOLI	0.561	0.032
sp|P77795|YDCT_ECOLI	-0.2	0.293
sp|P0A6Z6|NIKR_ECOLI	0.195	0.504
sp|P76143|LSRF_ECOLI	1.466	2.387e-13
sp|P0A6N8|EFPL_ECOLI	-0.071	0.162
sp|P13000|BIOD1_ECOLI	0.512	0.007
sp|P0A862|TPX_ECOLI	-0.27	0.002
sp|P12282|MOEB_ECOLI	0.262	0.306
sp|P39332|YJGH_ECOLI	0.458	0.091
sp|P76539|YPEA_ECOLI	-0.291	0.222
sp|P31060|MODF_ECOLI	0.259	0.028
sp|P0A8A4|PSRP_ECOLI	0.667	9.302e-06
sp|P31455|YIDR_ECOLI	-0.352	0.028
sp|P0A9T6|YBAQ_ECOLI	-0.728	0.007
sp|P0A794|PDXJ_ECOLI	0.165	0.69
sp|P0AFX4|RSD_ECOLI	0.182	0.546
sp|P24215|UXUA_ECOLI	-0.099	0.258
sp|P08506|DACC_ECOLI	0.605	2.271e-10
sp|P37666|GHRB_ECOLI	-0.215	0.274
sp|P0AFD1|NUOE_ECOLI	-0.248	0.217
sp|P77307|FETB_ECOLI	-0.693	0.061
sp|P37685|ALDB_ECOLI	1.332	0.0
sp|P0ADN2|YIFE_ECOLI	-0.029	0.188
sp|P0ABP8|DEOD_ECOLI	0.42	0.001
sp|P0ABC7|HFLK_ECOLI	0.095	0.998
sp|P0ACL5|GLCC_ECOLI	-0.11	0.418
sp|P33012|SBMC_ECOLI	0.491	0.174
sp|P41052|MLTB_ECOLI	0.081	0.932
sp|P0A6P7|ENGB_ECOLI	-0.415	0.021
sp|P0AE18|MAP1_ECOLI	0.239	0.096
sp|P77475|YQAB_ECOLI	0.456	0.096
sp|P69503|APT_ECOLI	-0.381	0.011
sp|P64585|YQJE_ECOLI	0.033	0.94
sp|P36928|YEGD_ECOLI	-0.096	0.788
sp|P0AE06|ACRA_ECOLI	-0.116	0.084
sp|P0AC59|GLRX2_ECOLI	-0.108	0.365
sp|P32053|INTA_ECOLI	-0.802	0.471
sp|P0A734|MINE_ECOLI	0.192	0.25
sp|P0A901|BLC_ECOLI	-0.642	0.004
sp|P0AC75|KDTA_ECOLI	-0.558	0.02
sp|P0A6C1|END4_ECOLI	-0.332	0.005
sp|P0A836|SUCC_ECOLI	1.031	0.0
sp|P37751|WBBK_ECOLI	-0.13	0.319
sp|P0ABT2|DPS_ECOLI	0.603	4.158e-08
sp|P37613|PANZ_ECOLI	0.412	0.127
sp|P0AEH1|RSEP_ECOLI	-0.097	0.651
sp|P52647|NIFJ_ECOLI	-0.47	6.25e-05
sp|P60240|RAPA_ECOLI	-0.137	0.107
sp|P08142|ILVB_ECOLI	0.468	0.001
sp|P0AAI5|FABF_ECOLI	-0.178	0.036
sp|Q47083|CBL_ECOLI	1.292	2.206e-05
sp|P64564|YGGT_ECOLI	0.016	0.268
sp|P0A6L4|NANA_ECOLI	-0.112	0.587
sp|P0AEN4|FTSL_ECOLI	0.525	0.063
sp|P77529|YDJN_ECOLI	-0.623	6.044e-05
sp|P0AAB6|GALF_ECOLI	0.384	0.002
sp|P0ADI4|ENTB_ECOLI	-0.278	0.076
sp|P17443|MURG_ECOLI	0.075	0.959
sp|P06971|FHUA_ECOLI	0.166	0.26
sp|P0A8F8|UVRB_ECOLI	-0.116	0.205
sp|P39177|USPG_ECOLI	0.087	0.804
sp|P0A9R7|FTSE_ECOLI	0.401	0.041
sp|P21362|YCIF_ECOLI	0.341	0.151
sp|P0A988|DPO3B_ECOLI	0.14	0.593
sp|P0A9B2|G3P1_ECOLI	-0.123	0.015
sp|P39187|YTFJ_ECOLI	-1.556	3.423e-09
sp|P39321|TAMB_ECOLI	-0.354	0.243
sp|Q93K97|ADPP_ECOLI	0.326	0.05
sp|P62768|YAEH_ECOLI	0.183	0.511
sp|P0A6T5|GCH1_ECOLI	-0.487	0.0002107
sp|P42593|FADH_ECOLI	1.041	2.22e-16
sp|P30011|NADC_ECOLI	0.085	0.594
sp|P76034|YCIT_ECOLI	0.174	0.31
sp|P0A8V0|RBN_ECOLI	0.274	0.36
sp|P03813|YGEA_ECOLI	1.012	0.002
sp|P06959|ODP2_ECOLI	-0.299	1.791e-07
sp|P0AEI4|RIMO_ECOLI	0.041	0.399
sp|P04951|KDSB_ECOLI	0.108	0.201
sp|P63228|GMHBB_ECOLI	0.721	0.003
sp|P12295|UNG_ECOLI	0.137	0.529
sp|P0AG82|PSTS_ECOLI	-0.232	0.046
sp|P32662|GPH_ECOLI	0.127	0.572
sp|P69441|KAD_ECOLI	0.654	3.234e-10
sp|P77171|YDCI_ECOLI	0.000138	0.842
sp|P60752|MSBA_ECOLI	-0.706	4.798e-07
sp|P0ACK5|DEOR_ECOLI	-0.89	0.002
sp|P37351|RPIB_ECOLI	-1.021	0.0004116
sp|P33644|POLOX_ECOLI	0.026	0.582
sp|P11071|ACEK_ECOLI	0.841	0.0006223
sp|P39831|YDFG_ECOLI	0.077	0.726
sp|P0A8V2|RPOB_ECOLI	-0.214	1.532e-05
sp|P29131|FTSN_ECOLI	-0.151	0.276
sp|P76372|WZZB_ECOLI	-0.182	0.054
sp|P0ACI0|ROB_ECOLI	0.494	0.002
sp|P06988|HISX_ECOLI	-0.384	2.117e-05
sp|P0AE12|AMN_ECOLI	0.133	0.251
sp|P0A6H1|CLPX_ECOLI	-0.107	0.126
sp|P0ABB0|ATPA_ECOLI	-0.407	1.225e-08
sp|P00393|DHNA_ECOLI	-0.547	5.749e-05
sp|P0A6J8|DDLA_ECOLI	0.169	0.298
sp|P77754|SPY_ECOLI	1.051	1.227e-08
sp|P24171|DCP_ECOLI	0.174	0.092
sp|P37005|LAST_ECOLI	-0.402	0.015
sp|P0AD59|IVY_ECOLI	0.137	0.469
sp|P0AEE5|DGAL_ECOLI	0.396	5.43e-07
sp|P23827|ECOT_ECOLI	0.473	0.04
sp|P30859|ARTI_ECOLI	-0.125	0.053
sp|P0A953|FABB_ECOLI	-0.061	0.202
sp|P0AB71|ALF_ECOLI	-0.018	0.188
sp|P75797|GSIB_ECOLI	0.352	0.021
sp|P07001|PNTA_ECOLI	-1.093	0.0
sp|Q46925|CSDA_ECOLI	0.062	1.0
sp|P42641|OBG_ECOLI	0.402	0.009
sp|P0ADX9|RSMD_ECOLI	0.016	0.671
sp|P0AE67|CHEY_ECOLI	-0.497	0.078
sp|P0A853|TNAA_ECOLI	1.682	0.0
sp|P0AC13|DHPS_ECOLI	-0.325	0.017
sp|P0AC69|GLRX4_ECOLI	-0.104	0.559
sp|P00370|DHE4_ECOLI	0.016	0.399
sp|P04949|FLIC_ECOLI	-1.31	0.029
sp|P21645|LPXD_ECOLI	0.099	0.555
sp|P0AFR2|DAUA_ECOLI	0.502	0.1
sp|P0A9H5|BTUR_ECOLI	0.287	0.512
sp|P00968|CARB_ECOLI	-0.012	0.52
sp|P76403|YEGQ_ECOLI	0.293	0.036
sp|P11458|NADA_ECOLI	0.098	0.612
sp|P25437|FRMA_ECOLI	0.376	0.01
sp|P0A9C9|GLPX_ECOLI	-0.199	0.113
sp|P25524|CODA_ECOLI	-0.075	0.59
sp|P29208|MENC_ECOLI	0.533	0.158
sp|P0AAV4|PXPB_ECOLI	0.2	0.354
sp|P04805|SYE_ECOLI	-0.019	0.518
sp|P08957|T1MK_ECOLI	-0.494	7.602e-06
sp|P0ADX7|YHHA_ECOLI	-1.535	1.542e-10
sp|P0AFI2|PARC_ECOLI	-0.138	0.313
sp|Q46948|YAJL_ECOLI	-0.098	0.718
sp|P75960|NPD_ECOLI	0.196	0.332
sp|P60785|LEPA_ECOLI	-0.607	1.023e-08
sp|P75728|UBIF_ECOLI	-0.208	0.162
sp|P0AEG1|DPPC_ECOLI	0.353	0.124
sp|P76491|5DNU_ECOLI	-0.039	0.799
