protein	log2FC	p-val
sp|P0A8D0|NRDR_ECOLI	0.213	0.145
sp|P0AC19|FOLX_ECOLI	-0.206	0.061
sp|P0AF24|NAGD_ECOLI	-0.059	0.973
sp|P60595|HIS5_ECOLI	-1.417	2.021e-14
sp|P77182|MNMC_ECOLI	0.407	0.118
sp|P0A8J4|YBED_ECOLI	-0.169	0.101
sp|P0ACR9|MPRA_ECOLI	0.093	0.71
sp|P27829|WECC_ECOLI	-0.134	0.461
sp|P60390|RSMH_ECOLI	0.632	8.167e-08
sp|P0A6P9|ENO_ECOLI	-0.36	3.097e-10
sp|P0A9P4|TRXB_ECOLI	-0.581	1.254e-06
sp|P39452|RIR3_ECOLI	0.533	0.002
sp|P0A8B5|YBAB_ECOLI	-0.423	1.617e-05
sp|P0AB43|YCGL_ECOLI	-0.351	0.016
sp|P45771|YRDD_ECOLI	1.048	0.004
sp|P0A6W9|GSH1_ECOLI	-0.106	0.567
sp|P0A847|TGT_ECOLI	-0.852	1.336e-11
sp|P0A901|BLC_ECOLI	-0.245	0.056
sp|Q47150|DINJ_ECOLI	-0.16	0.247
sp|P0AA82|CODB_ECOLI	-1.559	2.052e-06
sp|P29012|ALR2_ECOLI	3.013	0.0
sp|P0A8I8|RLMH_ECOLI	-0.031	0.839
sp|P0ACG1|STPA_ECOLI	-1.09	1.332e-15
sp|P10408|SECA_ECOLI	0.112	0.15
sp|P36879|YADG_ECOLI	0.367	0.044
sp|P36562|COBT_ECOLI	0.196	0.392
sp|P24202|MRR_ECOLI	0.733	0.0001314
sp|P36929|RSMB_ECOLI	0.146	0.528
sp|P0AA31|YEDF_ECOLI	1.702	6.809e-09
sp|P39160|UXUB_ECOLI	0.791	0.0001396
sp|P45395|KDSD_ECOLI	0.405	0.003
sp|P15067|GLGX_ECOLI	1.228	0.0
sp|P0ADE6|KBP_ECOLI	1.627	0.0
sp|P77721|YDJF_ECOLI	0.699	0.003
sp|P0AEB2|DACA_ECOLI	-0.582	2.224e-11
sp|P27242|WAAU_ECOLI	0.476	0.076
sp|P0A921|PA1_ECOLI	0.544	0.052
sp|P34209|YDCF_ECOLI	0.784	0.002
sp|P39411|NCPP_ECOLI	0.048	0.984
sp|P02931|OMPF_ECOLI	0.293	5.745e-05
sp|P36680|ZAPD_ECOLI	-0.02	0.698
sp|P0A744|MSRA_ECOLI	0.313	0.058
sp|P0ADA5|YAJG_ECOLI	-0.38	0.001
sp|P68679|RS21_ECOLI	-0.828	8.216e-09
sp|P69874|POTA_ECOLI	-0.181	0.272
sp|P0AG63|RS17_ECOLI	0.26	0.211
sp|P0AB67|PNTB_ECOLI	-1.153	0.0
sp|P64534|RCNB_ECOLI	-0.416	0.042
sp|P0A6D0|ARGR_ECOLI	-0.383	0.165
sp|P23886|CYDC_ECOLI	0.036	0.895
sp|P0A894|RAPZ_ECOLI	0.521	0.001
sp|P0A742|MSCL_ECOLI	0.309	0.212
sp|P27830|RMLB2_ECOLI	-0.949	2.271e-05
sp|P31120|GLMM_ECOLI	0.013	0.754
sp|P0AFK9|POTD_ECOLI	-0.124	0.229
sp|P06721|METC_ECOLI	-0.698	2.495e-09
sp|P0A9M2|HPRT_ECOLI	-0.497	3.252e-05
sp|P28304|QOR1_ECOLI	1.38	0.0
sp|P76506|MLAA_ECOLI	-0.405	0.002
sp|P0AC16|FOLB_ECOLI	0.103	0.971
sp|P0AFR4|YCIO_ECOLI	0.554	0.0001415
sp|P17169|GLMS_ECOLI	-0.74	0.0
sp|P77150|PDXY_ECOLI	0.309	0.144
sp|P0AD61|KPYK1_ECOLI	-0.26	5.264e-07
sp|Q46856|YQHD_ECOLI	-0.947	1.532e-14
sp|P67660|YHAJ_ECOLI	0.711	0.001
sp|P27248|GCST_ECOLI	-0.887	5.329e-15
sp|P0AEB7|YOAB_ECOLI	0.543	0.038
sp|P04335|FRSA_ECOLI	-0.203	0.021
sp|P0A8M6|YEEX_ECOLI	-0.165	0.113
sp|P09546|PUTA_ECOLI	1.28	0.0
sp|P75829|YBJX_ECOLI	0.718	0.016
sp|P0ABD8|BCCP_ECOLI	-0.196	0.159
sp|P69913|CSRA_ECOLI	0.108	0.485
sp|P21866|KDPE_ECOLI	0.781	0.057
sp|P80668|FEAB_ECOLI	2.513	6.825e-05
sp|P0AEE1|DCRB_ECOLI	-0.129	0.107
sp|P0CG19|RNPH_ECOLI	-1.225	0.003
sp|P77718|THII_ECOLI	-0.468	1.3e-06
sp|P37745|RMLC_ECOLI	0.167	0.355
