protein	log2FC	p-val
sp|P0A9F9|METR_ECOLI	-0.852	0.002
sp|P13857|RIML_ECOLI	0.763	0.006
sp|P45568|DXR_ECOLI	0.552	0.076
sp|P75830|MACA_ECOLI	0.756	4.217e-05
sp|P39401|OPGB_ECOLI	0.955	1.734e-13
sp|P0A988|DPO3B_ECOLI	0.478	0.004
sp|P0AC30|FTSX_ECOLI	0.191	0.58
sp|P36767|RDGC_ECOLI	-0.19	0.05
sp|P76503|FADI_ECOLI	2.304	0.0
sp|P64606|MLAE_ECOLI	-0.169	0.978
sp|P33570|TKT2_ECOLI	0.493	5e-09
sp|P10908|UGPQ_ECOLI	1.17	1.302e-09
sp|P50457|PUUE_ECOLI	0.197	0.325
sp|P76193|YNHG_ECOLI	-0.962	7.003e-10
sp|P0ACE7|HINT_ECOLI	0.18	0.179
sp|P60293|MUKF_ECOLI	0.438	0.006
sp|P31475|YIEP_ECOLI	-0.337	0.015
sp|P0AE52|BCP_ECOLI	-0.106	0.005
sp|P0ACI0|ROB_ECOLI	0.2	0.161
sp|P0ADV5|YHBW_ECOLI	0.192	0.187
sp|P0A761|NANE_ECOLI	1.255	8.572e-05
sp|P0A8L1|SYS_ECOLI	0.122	0.41
sp|P0AFM2|PROX_ECOLI	-0.783	3.225e-06
sp|P0ABA0|ATPF_ECOLI	0.356	0.001
sp|P0AET8|HDHA_ECOLI	0.579	8.925e-05
sp|P0A7F9|QUEA_ECOLI	-0.675	0.0002177
sp|P0ACP1|CRA_ECOLI	1.387	2.354e-14
sp|P0ADV9|LPTC_ECOLI	-0.096	0.532
sp|P76113|CURA_ECOLI	0.303	0.01
sp|P0A722|LPXA_ECOLI	0.187	0.624
sp|P24183|FDNG_ECOLI	1.428	1.309e-05
sp|P77279|FETA_ECOLI	0.619	0.001
sp|P06993|MALT_ECOLI	1.35	0.0
sp|P37313|DPPF_ECOLI	1.886	0.0
sp|P0AFX7|RSEA_ECOLI	0.056	0.881
sp|P00934|THRC_ECOLI	-0.359	2.783e-08
sp|P0A7M2|RL28_ECOLI	-0.028	0.457
sp|P09147|GALE_ECOLI	0.469	0.0002081
sp|P37194|SLP_ECOLI	1.924	1.462e-10
sp|P0AD27|YEJM_ECOLI	0.84	0.008
sp|P22255|CYSQ_ECOLI	0.481	0.002
sp|P0ADT8|YGIM_ECOLI	0.042	0.659
sp|P0AA99|YAFK_ECOLI	-0.628	0.001
sp|P0A9H1|MUG_ECOLI	0.104	0.616
sp|P68206|YJBJ_ECOLI	1.17	0.0001146
sp|P41407|AZOR_ECOLI	0.68	7.203e-11
sp|P0AGJ5|YFIF_ECOLI	0.029	0.2
sp|P07762|GLGB_ECOLI	0.564	0.0002035
sp|P0AC44|DHSD_ECOLI	1.661	1.042e-06
sp|P05041|PABB_ECOLI	-0.435	0.053
sp|P0A9K3|PHOL_ECOLI	-0.02	0.691
sp|P29680|DCUP_ECOLI	1.5	1.739e-08
sp|P0A7F6|SPED_ECOLI	-0.431	1.269e-05
sp|P0ADG7|IMDH_ECOLI	-0.485	9.958e-12
sp|P27248|GCST_ECOLI	-0.244	0.011
sp|P77300|XYNR_ECOLI	0.076	0.434
sp|P69829|PTSN_ECOLI	0.194	0.466
sp|P37095|PEPB_ECOLI	0.373	4.033e-05
sp|P0AAG8|MGLA_ECOLI	4.231	0.0
sp|P0A6U5|RSMG_ECOLI	-0.038	0.481
sp|P21893|RECJ_ECOLI	-0.176	0.358
sp|P0A9C3|GALM_ECOLI	0.448	2.048e-05
sp|P77257|LSRA_ECOLI	1.004	0.0002532
sp|P0AC16|FOLB_ECOLI	-0.059	0.397
sp|P0A7G6|RECA_ECOLI	0.588	1.027e-05
sp|P0ACR9|MPRA_ECOLI	-0.05	0.436
sp|P0ABF6|CDD_ECOLI	0.916	5.041e-06
sp|P07003|POXB_ECOLI	0.549	5.375e-06
sp|P75959|NAGK_ECOLI	0.285	0.199
sp|P00936|CYAA_ECOLI	-0.009	0.623
sp|P0ABU7|EXBB_ECOLI	0.287	0.151
sp|P50456|MLC_ECOLI	0.412	0.268
sp|P0A836|SUCC_ECOLI	1.448	0.0
sp|P30864|YAFC_ECOLI	1.057	0.005
sp|P0C093|SLMA_ECOLI	0.306	0.793
sp|P64455|YDCY_ECOLI	-0.687	0.0001506
sp|P0A8A4|PSRP_ECOLI	0.813	4.552e-09
sp|P37759|RMLB1_ECOLI	-0.344	0.0001037
sp|P0A717|KPRS_ECOLI	0.415	5.208e-05
sp|P06846|EBGR_ECOLI	0.605	0.035
sp|P0A8X2|YCEI_ECOLI	0.051	0.694
sp|P13000|BIOD1_ECOLI	-0.676	7.208e-07
sp|P36683|ACNB_ECOLI	1.816	0.0
sp|P0AFZ1|SSEB_ECOLI	-0.422	0.285
sp|P0AD33|YFCZ_ECOLI	0.741	0.0003774
sp|P0A8K1|PSD_ECOLI	-0.011	0.965
sp|P76272|YEBT_ECOLI	0.72	3.801e-05
sp|P37188|PTKB_ECOLI	4.034	0.0
sp|P60752|MSBA_ECOLI	0.187	0.347
sp|P61175|RL22_ECOLI	-0.498	3.908e-06
sp|P06710|DPO3X_ECOLI	0.322	0.127
sp|P38521|YGGL_ECOLI	0.64	0.017
sp|P0A6Z1|HSCA_ECOLI	-0.528	3.377e-09
sp|P41052|MLTB_ECOLI	0.215	0.599
sp|P36929|RSMB_ECOLI	0.332	0.291
sp|P33363|BGLX_ECOLI	0.615	6.217e-14
sp|P08244|PYRF_ECOLI	-0.225	0.004
sp|P0AGF2|CSDE_ECOLI	-0.156	0.278
sp|P0A7X3|RS9_ECOLI	0.092	0.613
sp|P25553|ALDA_ECOLI	3.478	0.0
sp|P55734|YGAP_ECOLI	0.846	0.007
sp|P0ABC3|HFLC_ECOLI	0.128	0.376
sp|P31554|LPTD_ECOLI	0.108	0.123
sp|Q46829|BGLA_ECOLI	0.455	0.001
sp|P21170|SPEA_ECOLI	-0.165	0.006
sp|P37692|RFAF_ECOLI	1.019	0.029
sp|P77247|HXPB_ECOLI	0.239	0.02
sp|P12295|UNG_ECOLI	0.059	0.946
sp|P02918|PBPA_ECOLI	0.535	0.002
sp|P69913|CSRA_ECOLI	-0.642	0.002
sp|P31142|THTM_ECOLI	1.316	0.0
sp|P09424|MTLD_ECOLI	0.759	8.393e-14
sp|P28631|HOLB_ECOLI	-0.8	0.019
sp|P0AFX9|RSEB_ECOLI	0.294	0.059
sp|P62399|RL5_ECOLI	-0.436	2.078e-08
sp|P0A7L3|RL20_ECOLI	-0.376	0.0007475
sp|P52061|IXTPA_ECOLI	0.172	0.204
sp|P0A887|UBIE_ECOLI	0.173	0.166
sp|P21420|NMPC_ECOLI	0.611	0.251
sp|P39176|ERFK_ECOLI	0.69	5.12e-05
sp|P08331|CPDB_ECOLI	1.537	0.0
sp|Q47622|SAPA_ECOLI	0.218	0.283
sp|P0AGB0|SERB_ECOLI	-0.986	3.764e-07
sp|P39356|YJHU_ECOLI	1.435	7.097e-06
sp|P33030|YEIR_ECOLI	-0.307	0.069
sp|P0AFH2|OPPB_ECOLI	0.749	0.047
sp|P0A8W2|SLYA_ECOLI	0.014	0.931
sp|P0AG00|WZZE_ECOLI	0.277	0.018
sp|P20099|BISC_ECOLI	-0.233	0.111
sp|P11875|SYR_ECOLI	-0.346	1.473e-06
sp|P0ACB2|HEM2_ECOLI	-0.23	0.093
sp|P52096|YAER_ECOLI	0.722	0.002
sp|P0ACY1|YDJA_ECOLI	0.141	0.479
sp|P0ADS2|ZAPA_ECOLI	-0.249	0.19
sp|P0AEA8|CYSG_ECOLI	0.449	0.0004809
sp|P68187|MALK_ECOLI	1.817	2.248e-11
sp|P15047|ENTA_ECOLI	-0.203	0.329
sp|P76536|YFEX_ECOLI	0.391	0.004
sp|P09831|GLTB_ECOLI	-0.832	0.0
sp|P31677|OTSA_ECOLI	0.911	4.655e-10
sp|P10443|DPO3A_ECOLI	0.672	0.022
sp|P77667|SUFA_ECOLI	-0.272	0.1
sp|P23830|PSS_ECOLI	0.763	2.115e-11
sp|P07604|TYRR_ECOLI	0.611	2.068e-07
sp|P0AEI6|NUDJ_ECOLI	-0.064	0.667
sp|P75931|YCEM_ECOLI	0.866	0.0004692
sp|P31455|YIDR_ECOLI	-0.273	0.073
sp|P0AGC3|SLT_ECOLI	0.591	1.919e-07
sp|P0AC19|FOLX_ECOLI	0.053	0.557
sp|P09030|EX3_ECOLI	-0.477	0.0004793
sp|P21169|DCOR_ECOLI	-0.28	0.007
sp|P22333|ADD_ECOLI	0.084	0.476
sp|P0AEN1|FRE_ECOLI	0.298	0.033
sp|P23930|LNT_ECOLI	0.351	0.495
sp|P0ADB1|OSME_ECOLI	0.496	0.342
sp|P0A744|MSRA_ECOLI	7.887e-05	0.661
sp|P0AFM6|PSPA_ECOLI	-0.551	3.157e-07
sp|P0ADW3|YHCB_ECOLI	-0.181	0.353
sp|P0AFG6|ODO2_ECOLI	0.633	3.553e-14
sp|P45577|PROQ_ECOLI	0.165	0.875
sp|P0A9G6|ACEA_ECOLI	2.209	0.0
sp|P0AC13|DHPS_ECOLI	0.135	0.268
sp|P0AFD6|NUOI_ECOLI	1.09	2.22e-15
sp|P0AC38|ASPA_ECOLI	4.832	0.0
sp|P0AG20|RELA_ECOLI	0.51	0.0005809
sp|P37744|RMLA1_ECOLI	0.211	0.102
sp|P0ADU5|YGIW_ECOLI	0.905	1.964e-09
sp|P0AB58|LAPB_ECOLI	1.605	4.264e-06
sp|P0AF50|YJBR_ECOLI	0.648	0.0003138
sp|P30958|MFD_ECOLI	0.352	0.0001951
sp|P75913|GHRA_ECOLI	0.174	0.143
