protein	log2FC	p-val
sp|P0A8G9|EX7S_ECOLI	0.077	0.711
sp|P22634|MURI_ECOLI	0.116	0.357
sp|P37647|KDGK_ECOLI	0.331	0.024
sp|P0AA91|YEAY_ECOLI	0.611	0.0004679
sp|P18133|PNCB_ECOLI	-0.229	0.028
sp|P0A7T7|RS18_ECOLI	-0.164	0.219
sp|P38051|MENF_ECOLI	0.487	0.187
sp|P0A6L4|NANA_ECOLI	1.558	8.364e-07
sp|P0AF20|NAGC_ECOLI	0.675	6.674e-05
sp|P0AGK4|YHBY_ECOLI	0.75	0.033
sp|P75830|MACA_ECOLI	0.992	8.884e-09
sp|P69795|PTQB_ECOLI	2.067	2.009e-11
sp|P27302|TKT1_ECOLI	-0.193	0.056
sp|P0A7J7|RL11_ECOLI	-0.421	0.0003027
sp|P08244|PYRF_ECOLI	-0.373	0.000236
sp|P04982|RBSD_ECOLI	1.312	6.602e-11
sp|P45579|HCXA_ECOLI	-0.405	0.005
sp|P0A7R9|RS11_ECOLI	-0.277	0.025
sp|P0A8D3|YAII_ECOLI	-0.172	0.149
sp|P0C8J8|GATZ_ECOLI	2.985	0.0
sp|P76621|GLAH_ECOLI	3.986	1.625e-09
sp|P0ABE2|BOLA_ECOLI	-0.632	0.017
sp|P69411|RCSF_ECOLI	0.298	0.607
sp|P76403|YEGQ_ECOLI	-0.125	0.236
sp|P0A7M2|RL28_ECOLI	0.21	0.441
sp|P0AES6|GYRB_ECOLI	0.261	0.0002819
sp|P16926|MREC_ECOLI	-0.448	0.014
sp|P06715|GSHR_ECOLI	0.157	0.352
sp|P76329|MPGP_ECOLI	1.587	4.861e-07
sp|P0AE52|BCP_ECOLI	-0.32	0.003
sp|P76149|SAD_ECOLI	0.426	0.217
sp|P07109|HISP_ECOLI	0.263	0.229
sp|P76402|YEGP_ECOLI	1.093	9.922e-06
sp|P0ACY3|YEAG_ECOLI	0.74	2.065e-10
sp|P32132|TYPA_ECOLI	-0.744	0.0
sp|P0AG59|RS14_ECOLI	-0.529	0.0004717
sp|P0ABF1|PCNB_ECOLI	0.559	2.963e-05
