protein	log2FC	p-val
sp|P0ACX5|FUMD_ECOLI	-0.187	0.333
sp|P0A9F9|METR_ECOLI	-0.853	0.002
sp|P31808|YCIK_ECOLI	0.084	0.99
sp|P31677|OTSA_ECOLI	0.539	0.0002033
sp|P39830|YBAL_ECOLI	0.366	0.067
sp|P07762|GLGB_ECOLI	0.254	0.141
sp|P0A840|SURE_ECOLI	0.532	0.005
sp|P15770|AROE_ECOLI	-0.084	0.59
sp|P21367|YCAC_ECOLI	0.693	1.163e-05
sp|P36928|YEGD_ECOLI	-0.517	0.271
sp|P64506|YEBY_ECOLI	-0.791	8.237e-05
sp|P39285|MSCM_ECOLI	0.361	0.539
sp|P04949|FLIC_ECOLI	0.421	0.116
sp|P21169|DCOR_ECOLI	0.348	0.0003254
sp|P37692|RFAF_ECOLI	0.427	0.204
sp|P32099|LPLA_ECOLI	0.478	0.008
sp|P39286|RSGA_ECOLI	0.018	0.788
sp|P0A7R5|RS10_ECOLI	-0.459	1.229e-05
sp|P52096|YAER_ECOLI	0.571	0.021
sp|P0ACJ8|CRP_ECOLI	1.019	0.0
sp|P31802|NARP_ECOLI	0.543	7.656e-05
sp|P07649|TRUA_ECOLI	0.044	0.631
sp|P0A6Z1|HSCA_ECOLI	-0.362	0.0001617
sp|P56262|DLHH_ECOLI	0.701	1.903e-05
sp|P0A877|TRPA_ECOLI	-0.318	7.157e-06
sp|P0A9E5|FNR_ECOLI	-0.026	0.737
sp|P21179|CATE_ECOLI	1.145	0.0
sp|P0A729|NTPPB_ECOLI	0.713	0.0001941
sp|P07014|SDHB_ECOLI	0.658	1.525e-11
sp|P76272|YEBT_ECOLI	0.694	3.913e-05
sp|P05719|T1SK_ECOLI	0.328	0.094
sp|P24202|MRR_ECOLI	0.523	1.943e-05
sp|P0ADU2|YGIN_ECOLI	0.378	0.0007695
sp|P0A6C5|ARGA_ECOLI	-0.191	0.117
sp|P76108|YDCS_ECOLI	2.564	1.345e-09
sp|P76015|DHAK_ECOLI	2.45	0.0
sp|P0ABF6|CDD_ECOLI	0.182	0.213
sp|P52062|YGGW_ECOLI	1.119	0.013
sp|P76658|HLDE_ECOLI	0.187	0.027
sp|P0AFM4|PSIF_ECOLI	0.661	0.014
sp|P67660|YHAJ_ECOLI	0.934	2.247e-06
sp|P39406|RSMC_ECOLI	-0.434	0.035
sp|Q47150|DINJ_ECOLI	-0.633	0.002
sp|P23839|YICC_ECOLI	0.032	0.719
sp|P37689|GPMI_ECOLI	-0.641	8.479e-12
sp|P0AF28|NARL_ECOLI	0.331	0.001
sp|P60906|SYH_ECOLI	-0.293	0.0009123
sp|P04816|LIVK_ECOLI	-0.307	9.029e-06
sp|P18390|YJJA_ECOLI	0.254	0.621
sp|P0A744|MSRA_ECOLI	0.182	0.949
sp|P0AFI2|PARC_ECOLI	-0.271	0.002
sp|P25539|RIBD_ECOLI	0.373	0.022
sp|P27434|RODZ_ECOLI	0.006	0.722
sp|P64463|YDFZ_ECOLI	1.567	1.668e-05
sp|P25526|GABD_ECOLI	1.135	0.0
sp|P0A905|SLYB_ECOLI	-0.067	0.903
sp|P77285|RSXG_ECOLI	-0.284	0.082
sp|P0ABN5|DCUA_ECOLI	0.87	2.131e-05
sp|P27828|WECB_ECOLI	-0.465	0.001
sp|P67910|HLDD_ECOLI	-0.157	0.027
sp|P27833|WECE_ECOLI	-0.004	0.842
sp|P0AG80|UGPB_ECOLI	1.125	0.0
sp|P0AAN9|IRAP_ECOLI	0.382	0.016
sp|P0C0L7|PROP_ECOLI	-1.354	2.709e-14
sp|P0A6C1|END4_ECOLI	-0.058	0.633
sp|Q57261|TRUD_ECOLI	-0.351	0.005
sp|P0ADT5|YGIC_ECOLI	0.604	4.08e-07
sp|P0A8T7|RPOC_ECOLI	0.046	0.694
sp|P0AEG1|DPPC_ECOLI	1.295	4.499e-05
sp|P0A9Q9|DHAS_ECOLI	-0.654	1.356e-11
sp|P0A8A8|RIMP_ECOLI	-0.139	0.74
sp|P0AEX5|KPPR_ECOLI	0.604	0.0006175
sp|P30125|LEU3_ECOLI	-0.054	0.038
sp|P0A8L1|SYS_ECOLI	-0.061	0.476
sp|P24215|UXUA_ECOLI	1.496	0.0
sp|P29208|MENC_ECOLI	-0.65	0.089
sp|P30177|YBIB_ECOLI	-0.207	0.335
sp|P0AGE6|CHRR_ECOLI	0.603	0.0004845
sp|P22525|YCBB_ECOLI	0.861	0.009
sp|P64596|YRAP_ECOLI	0.37	0.0006615
sp|P29217|YCEH_ECOLI	0.171	0.027
sp|P0A7W1|RS5_ECOLI	-0.101	0.339
sp|P0A809|RUVA_ECOLI	0.346	0.183
sp|P0AB26|YCEB_ECOLI	-0.308	0.115
sp|P0AEW4|CPDA_ECOLI	0.65	0.025
sp|P0A972|CSPE_ECOLI	0.039	0.767
sp|P09549|DEDD_ECOLI	0.209	0.29
sp|P0AEL6|FEPB_ECOLI	0.218	0.323
sp|P45395|KDSD_ECOLI	-0.071	0.937
sp|P09424|MTLD_ECOLI	0.625	8.132e-11
sp|P0A8H6|YIHI_ECOLI	-0.223	0.032
sp|P24182|ACCC_ECOLI	0.089	0.553
sp|P0ACL9|PDHR_ECOLI	-0.481	0.162
sp|P28306|MLTG_ECOLI	0.982	1.749e-05
sp|P51025|SFGH1_ECOLI	0.69	0.03
sp|P0A8R9|HDFR_ECOLI	1.146	0.003
sp|P32160|YIIQ_ECOLI	-0.433	0.164
sp|P39401|OPGB_ECOLI	0.605	1.171e-05
sp|P31069|KCH_ECOLI	-0.038	0.886
sp|P12996|BIOB_ECOLI	-0.276	0.007
sp|P00904|TRPGD_ECOLI	0.415	0.0005472
