protein	log2FC	p-val
sp|P36771|LRHA_ECOLI	2.04	1.708e-12
sp|P0AC44|DHSD_ECOLI	1.13	3.793e-05
sp|P23331|KITH_ECOLI	-0.033	0.98
sp|P77529|YDJN_ECOLI	-0.783	2.493e-09
sp|P0AEN8|FUCM_ECOLI	0.75	0.00096
sp|P0ACP5|GNTR_ECOLI	0.091	0.527
sp|P0A7B1|PPK1_ECOLI	0.665	1.892e-08
sp|P0ADE4|TAMA_ECOLI	-0.046	0.444
sp|P0AC84|GLO2_ECOLI	1.225	6.883e-14
sp|P0ABQ0|COABC_ECOLI	0.612	0.002
sp|P0A6W5|GREA_ECOLI	0.38	6.311e-06
sp|P0A944|RIMI_ECOLI	0.355	0.174
sp|P0ADZ0|RL23_ECOLI	-0.165	0.429
sp|P0AF90|RRAB_ECOLI	-0.409	0.051
sp|P0AC86|PHSG_ECOLI	0.93	2.069e-13
sp|P03817|MIOC_ECOLI	-0.461	0.002
sp|P0A6X7|IHFA_ECOLI	0.14	0.224
sp|P0A8C4|YGFB_ECOLI	0.009	0.922
sp|P69054|DHSC_ECOLI	1.779	9.525e-11
sp|P0AA53|QMCA_ECOLI	1.191	8.846e-05
sp|P12281|MOEA_ECOLI	-0.042	0.623
sp|P04335|FRSA_ECOLI	-0.152	0.284
sp|P22259|PCKA_ECOLI	3.203	0.0
sp|P0AF03|MOG_ECOLI	0.589	0.0001247
sp|P0ABF6|CDD_ECOLI	0.593	0.0004321
sp|P0AEC3|ARCB_ECOLI	0.544	3.005e-05
sp|P0A6Y1|IHFB_ECOLI	0.06	0.267
sp|P33599|NUOCD_ECOLI	1.017	0.0
sp|P0ACG1|STPA_ECOLI	-1.001	2.887e-15
sp|P37643|YHJE_ECOLI	-0.213	0.023
sp|P00962|SYQ_ECOLI	-0.104	0.027
sp|P0A968|CSPD_ECOLI	2.278	3.216e-09
sp|P0ABU2|YCHF_ECOLI	-0.501	6.422e-13
sp|P0A6H5|HSLU_ECOLI	0.264	0.0001233
sp|P64429|YPFJ_ECOLI	-0.079	0.603
sp|P25539|RIBD_ECOLI	0.078	0.892
sp|P0A825|GLYA_ECOLI	-0.462	0.0
sp|P24186|FOLD_ECOLI	-0.648	8.97e-07
sp|P0C0L2|OSMC_ECOLI	0.193	0.005
sp|P0A7E1|PYRD_ECOLI	-0.725	7.954e-10
sp|P0A7J3|RL10_ECOLI	-0.353	2.492e-05
sp|P63284|CLPB_ECOLI	0.496	0.0
sp|P61949|FLAV_ECOLI	0.115	0.07
sp|P37128|NUDK_ECOLI	0.107	0.644
sp|P0A6A6|LEUC_ECOLI	0.018	0.439
sp|P00363|FRDA_ECOLI	2.101	0.0
sp|P21513|RNE_ECOLI	0.456	1.776e-15
sp|P66817|DIAA_ECOLI	0.545	0.203
sp|P00968|CARB_ECOLI	-0.641	0.0
sp|P17315|CIRA_ECOLI	-0.002	0.592
sp|P0A8T1|PRMA_ECOLI	-0.051	0.848
sp|P0A8V6|FADR_ECOLI	0.593	6.409e-06
sp|P0AFG3|ODO1_ECOLI	1.137	0.0
sp|P0A9W3|ETTA_ECOLI	0.298	2.155e-08
sp|P69828|PTKA_ECOLI	1.74	0.0
sp|P09551|ARGT_ECOLI	2.053	0.0
sp|P04805|SYE_ECOLI	-0.297	1.029e-05
sp|P06996|OMPC_ECOLI	0.063	0.949
sp|P0A7U3|RS19_ECOLI	-0.541	0.025
sp|P37349|DHAM_ECOLI	-0.648	3.292e-07
sp|P56262|DLHH_ECOLI	1.065	4.647e-08
sp|P0A991|ALF1_ECOLI	1.223	0.0
sp|P39180|AG43_ECOLI	1.419	0.0
sp|P21177|FADB_ECOLI	3.843	0.0
sp|P0A780|NUSB_ECOLI	-0.177	0.018
sp|P0A6Z6|NIKR_ECOLI	-0.422	0.025
sp|P0A6E4|ASSY_ECOLI	-0.831	0.0
sp|P0A9H7|CFA_ECOLI	0.444	0.064
sp|P0AEK2|FABG_ECOLI	-0.128	0.127
sp|P08390|USG_ECOLI	-0.183	0.092
sp|P0ADP0|YIGB_ECOLI	0.245	0.016
sp|P21363|YCIE_ECOLI	0.799	0.003
sp|P0A6A3|ACKA_ECOLI	-0.231	0.002
sp|P0A8G9|EX7S_ECOLI	0.394	0.055
sp|P0ABA4|ATPD_ECOLI	0.117	0.005
sp|P0AFM6|PSPA_ECOLI	-0.268	0.006
sp|P0A9G8|MODE_ECOLI	-0.446	0.138
sp|P23836|PHOP_ECOLI	0.003	0.232
sp|P0AE88|CPXR_ECOLI	0.353	9.097e-05
sp|Q47150|DINJ_ECOLI	-0.273	0.359
sp|P31678|OTSB_ECOLI	0.822	1.022e-05
sp|P0AAX8|YBIS_ECOLI	-0.306	0.02
sp|P22634|MURI_ECOLI	0.114	0.197
sp|P0AAB4|UBID_ECOLI	1.022	1.807e-13
sp|P09126|HEM4_ECOLI	0.464	0.143
sp|P09147|GALE_ECOLI	0.612	3.352e-05
sp|P0AEM4|FLGM_ECOLI	1.377	4.556e-09
sp|P33030|YEIR_ECOLI	-0.199	0.423
sp|P09029|PURK_ECOLI	-0.156	0.152
sp|P0A8K1|PSD_ECOLI	0.277	0.002
sp|P0ABI8|CYOB_ECOLI	0.007	0.921
sp|P24182|ACCC_ECOLI	-0.202	0.0006798
sp|P0A6W9|GSH1_ECOLI	-0.364	0.0005952
sp|P0A998|FTNA_ECOLI	-0.756	4.854e-08
sp|P27248|GCST_ECOLI	-0.569	1.116e-07
sp|P0AG07|RPE_ECOLI	-0.19	0.568
sp|P37440|UCPA_ECOLI	2.579	1.221e-14
sp|P08839|PT1_ECOLI	-0.773	0.0
sp|P0AE48|YTFP_ECOLI	0.275	0.034
sp|P0AGG2|TESB_ECOLI	-0.367	0.043
sp|P0A6Z3|HTPG_ECOLI	0.391	1.19e-11
