protein	log2FC	p-val
sp|P37692|RFAF_ECOLI	0.895	0.005
sp|P76112|MNAT_ECOLI	-0.586	0.148
sp|P29208|MENC_ECOLI	-0.305	0.227
sp|P0ADY7|RL16_ECOLI	-0.55	0.0006945
sp|P09029|PURK_ECOLI	0.05	0.878
sp|P30011|NADC_ECOLI	0.058	0.493
sp|P0A7R1|RL9_ECOLI	-0.506	1.962e-06
sp|P0AEN4|FTSL_ECOLI	0.145	0.719
sp|P03841|MALM_ECOLI	2.05	0.0
sp|P0AC38|ASPA_ECOLI	4.405	0.0
sp|P0A6Z6|NIKR_ECOLI	0.435	0.124
sp|P0AGL7|RSME_ECOLI	-0.018	0.9
sp|P30125|LEU3_ECOLI	-0.5	3.089e-06
sp|P77399|FADJ_ECOLI	2.216	1.586e-10
sp|P76403|YEGQ_ECOLI	-0.57	2.026e-05
sp|P0AFG6|ODO2_ECOLI	1.127	0.0
sp|P0ACL2|EXUR_ECOLI	0.922	0.003
sp|P0ACJ8|CRP_ECOLI	1.474	0.0
sp|P06971|FHUA_ECOLI	0.042	0.415
sp|P0A8P6|XERC_ECOLI	1.452	1.067e-05
sp|P12994|YBHB_ECOLI	0.85	0.003
sp|P0ABQ0|COABC_ECOLI	0.963	8.75e-07
sp|P0A6L0|DEOC_ECOLI	0.044	0.825
sp|P77247|HXPB_ECOLI	0.223	0.105
sp|P0ACL9|PDHR_ECOLI	1.413	2.96e-08
sp|P0A7J7|RL11_ECOLI	-0.65	1.651e-07
sp|P23721|SERC_ECOLI	-0.581	2.585e-12
sp|P0A8I1|YQGF_ECOLI	0.067	0.678
sp|P31134|POTG_ECOLI	1.14	4.912e-06
sp|P0A786|PYRB_ECOLI	-0.094	0.248
sp|P00893|ILVI_ECOLI	0.2	0.034
sp|P23003|TRMA_ECOLI	-0.579	0.003
sp|P0ADC1|LPTE_ECOLI	0.314	0.047
sp|P45531|TUSC_ECOLI	0.974	6.645e-05
sp|P29012|ALR2_ECOLI	2.693	0.0
sp|P11880|MURF_ECOLI	0.586	5.844e-07
sp|P0AAG8|MGLA_ECOLI	3.688	0.0
sp|P77338|MSCK_ECOLI	0.843	0.0003954
sp|P0ACR9|MPRA_ECOLI	0.208	0.762
sp|P0A873|TRMD_ECOLI	-0.02	0.571
sp|P0ADS9|YGGN_ECOLI	0.602	0.0001822
sp|P00363|FRDA_ECOLI	2.209	0.0
sp|P76014|DHAL_ECOLI	-0.368	0.12
sp|P0A6W5|GREA_ECOLI	0.225	0.061
sp|P32684|RLUF_ECOLI	-0.139	0.679
sp|P33363|BGLX_ECOLI	0.652	1.07e-12
sp|P27250|AHR_ECOLI	0.151	0.588
sp|P23538|PPSA_ECOLI	2.43	0.0
sp|P37649|PDEK_ECOLI	0.703	0.023
sp|P07004|PROA_ECOLI	0.198	0.228
sp|P0A8N5|SYK2_ECOLI	0.319	0.018
sp|P0ADP9|YIHD_ECOLI	-0.198	0.221
sp|P0AEQ1|GLCG_ECOLI	0.139	0.224
sp|P37128|NUDK_ECOLI	-0.666	0.036
sp|P0C066|MLTC_ECOLI	-0.08	0.728
sp|P00904|TRPGD_ECOLI	0.565	1.243e-07
sp|P0AFZ1|SSEB_ECOLI	-0.526	0.07
sp|Q47622|SAPA_ECOLI	0.388	0.747
sp|P0A910|OMPA_ECOLI	-0.283	2.068e-05
sp|P0ACI0|ROB_ECOLI	-0.134	0.348
sp|P07762|GLGB_ECOLI	0.931	6.735e-09
sp|P62615|ISPE_ECOLI	0.513	0.002
sp|P77712|FADM_ECOLI	0.972	0.017
sp|P0A763|NDK_ECOLI	0.537	4.542e-06
sp|P56262|DLHH_ECOLI	0.889	5.947e-06
sp|P0ABA4|ATPD_ECOLI	0.562	1.091e-05
sp|P23917|MAK_ECOLI	0.347	0.153
sp|P17445|BETB_ECOLI	-0.512	0.016
sp|P0AC13|DHPS_ECOLI	0.043	0.82
sp|P0AC84|GLO2_ECOLI	0.714	6.51e-05
sp|P11458|NADA_ECOLI	0.022	0.798
sp|P0AFI2|PARC_ECOLI	-0.113	0.596
sp|P16659|SYP_ECOLI	-0.219	0.004
sp|P0ADE4|TAMA_ECOLI	0.049	0.748
sp|P09099|XYLB_ECOLI	0.58	0.026
sp|P62517|OPGH_ECOLI	0.676	0.000117
sp|P06710|DPO3X_ECOLI	0.611	0.0003047
sp|P0AGJ2|TRMH_ECOLI	-0.61	0.118
sp|P76535|MURQ_ECOLI	1.649	2.472e-11
sp|P25536|NTPPA_ECOLI	0.331	0.525
sp|P21169|DCOR_ECOLI	0.59	2.086e-07
sp|P77148|YDHS_ECOLI	0.894	0.007
sp|P00803|LEP_ECOLI	0.097	0.933
sp|P0C018|RL18_ECOLI	-0.467	0.001
sp|P0AFH6|OPPC_ECOLI	0.26	0.219
sp|P69783|PTGA_ECOLI	-0.363	0.0001323
sp|P0ADT8|YGIM_ECOLI	0.654	1.451e-07
sp|P0C0L7|PROP_ECOLI	-2.506	0.0
sp|P31473|RAVA_ECOLI	0.755	0.001
sp|P77526|YFCG_ECOLI	-0.418	0.198
sp|P0AEI6|NUDJ_ECOLI	-0.974	0.01
sp|P0A6P9|ENO_ECOLI	-0.664	3.761e-13
sp|P0AF12|MTNN_ECOLI	0.08	0.224
sp|P0AB28|YCED_ECOLI	0.075	0.529
sp|P0A9S5|GLDA_ECOLI	1.278	2.49e-09
sp|P0C054|IBPA_ECOLI	-0.34	0.326
sp|P0AAI5|FABF_ECOLI	0.191	0.445
sp|P0A746|MSRB_ECOLI	0.671	2.881e-05
sp|P0C0L2|OSMC_ECOLI	0.034	0.312
sp|P23865|PRC_ECOLI	0.186	0.007
sp|P15373|PRLF_ECOLI	0.268	0.351
sp|P0A8A4|PSRP_ECOLI	1.121	7.105e-15
sp|Q46868|UBIK_ECOLI	0.113	0.402
