protein	log2FC	p-val
sp|P0AB14|YCCJ_ECOLI	0.298	0.295
sp|P22564|RIHC_ECOLI	-0.962	3.896e-06
sp|P0AF28|NARL_ECOLI	-0.071	0.484
sp|P0A8S1|ARGP_ECOLI	0.455	0.0003758
sp|P0A742|MSCL_ECOLI	0.406	0.003
sp|P15993|AROP_ECOLI	-0.281	0.113
sp|P76541|EUTL_ECOLI	0.948	0.0002557
sp|P23886|CYDC_ECOLI	0.13	0.739
sp|P77739|YNIA_ECOLI	1.061	7.469e-08
sp|P0A720|KTHY_ECOLI	0.284	0.44
sp|P0AC02|BAMD_ECOLI	-0.196	0.03
sp|P0AEY5|MDAB_ECOLI	-0.679	2.577e-05
sp|P0A8P6|XERC_ECOLI	0.339	0.303
sp|P31119|AAS_ECOLI	-0.864	0.002
sp|P12998|BIOF_ECOLI	0.046	0.888
sp|P66817|DIAA_ECOLI	0.392	0.746
sp|P77808|CINAL_ECOLI	0.496	0.089
sp|P0C960|EMTA_ECOLI	-0.145	0.491
sp|P08395|SPPA_ECOLI	-0.678	0.01
sp|P0AAZ4|RARA_ECOLI	0.006	0.918
sp|P17315|CIRA_ECOLI	-0.983	0.0
sp|P0AGG8|TLDD_ECOLI	0.377	0.054
sp|Q93K97|ADPP_ECOLI	0.314	0.045
sp|P0AEX9|MALE_ECOLI	-0.377	3.32e-09
sp|P0ADT2|YGIB_ECOLI	-0.308	0.159
sp|P0A955|ALKH_ECOLI	0.567	0.023
sp|P0AG84|YGHA_ECOLI	1.483	4.441e-16
sp|P77806|YBDL_ECOLI	-0.645	0.006
sp|P0AAS7|YBCJ_ECOLI	0.43	0.343
sp|P09030|EX3_ECOLI	-0.295	0.009
sp|P76027|OPPD_ECOLI	-0.549	0.6
sp|P27302|TKT1_ECOLI	-0.544	3.642e-14
sp|P0A800|RPOZ_ECOLI	0.322	0.014
sp|P69828|PTKA_ECOLI	-0.748	1.469e-10
sp|P0AGF6|TDCB_ECOLI	-0.117	0.412
sp|P0ADU2|YGIN_ECOLI	0.106	0.675
sp|P0AE88|CPXR_ECOLI	0.482	3.403e-05
sp|P0A7I4|RF3_ECOLI	-0.112	0.189
sp|P07014|SDHB_ECOLI	-0.352	0.0001803
sp|P61316|LOLA_ECOLI	0.046	0.855
sp|P28249|ASMA_ECOLI	0.226	0.227
sp|P75713|ALLE_ECOLI	0.334	0.2
sp|P31057|PANB_ECOLI	0.036	0.445
sp|P0AC69|GLRX4_ECOLI	0.322	0.08
sp|P23522|GARL_ECOLI	0.508	0.09
sp|P39160|UXUB_ECOLI	-0.285	0.083
sp|P0A991|ALF1_ECOLI	0.531	1.398e-07
sp|P60472|UPPS_ECOLI	0.417	0.192
sp|P25524|CODA_ECOLI	-0.112	0.115
sp|P29018|CYDD_ECOLI	0.109	0.79
sp|P0A901|BLC_ECOLI	0.192	0.341
sp|P0AFC3|NUOA_ECOLI	-0.809	0.0007611
sp|P33940|MQO_ECOLI	-0.692	0.0001492
sp|P0AG86|SECB_ECOLI	-0.038	0.383
sp|P37626|YHII_ECOLI	-0.238	0.019
sp|P0AFI7|PDXH_ECOLI	0.117	0.621
sp|P08200|IDH_ECOLI	-0.117	0.003
sp|P76004|YCGM_ECOLI	0.374	0.199
sp|P20966|PTFBC_ECOLI	0.436	0.128
sp|P29012|ALR2_ECOLI	0.35	0.218
sp|P69913|CSRA_ECOLI	0.48	0.023
sp|P0AG27|YIBN_ECOLI	0.537	0.0008245
sp|P0A7J7|RL11_ECOLI	-0.413	0.0003295
sp|P76128|DDPA_ECOLI	0.473	0.0002498
sp|P0CB39|EPTC_ECOLI	-0.314	0.177
sp|P0C093|SLMA_ECOLI	0.228	0.275
sp|P28635|METQ_ECOLI	0.349	2.07e-06
sp|P75791|YBIU_ECOLI	-0.529	9.777e-05
sp|P0ACB7|HEMY_ECOLI	-0.171	0.046
sp|P0A7K6|RL19_ECOLI	-0.454	0.0003184
sp|P0AFQ7|YCFH_ECOLI	0.277	0.084
sp|P0A9Q1|ARCA_ECOLI	0.774	2.376e-10
sp|P39325|YTFQ_ECOLI	2.364	0.0
sp|P0AG99|SECG_ECOLI	-0.086	0.598
sp|P0A9E5|FNR_ECOLI	-0.155	0.636
sp|P42588|PAT_ECOLI	0.063	0.64
sp|P0A972|CSPE_ECOLI	-0.323	0.005
sp|P06720|AGAL_ECOLI	1.99	0.0
sp|P76170|YNFB_ECOLI	0.53	0.086
sp|P76558|MAO2_ECOLI	-0.45	0.0
sp|P0AEE3|DEGS_ECOLI	-0.253	0.736
sp|P25665|METE_ECOLI	-0.668	0.0
sp|P0A7F9|QUEA_ECOLI	0.251	0.274
sp|P28861|FENR_ECOLI	1.549	2.689e-10
sp|P12996|BIOB_ECOLI	0.208	0.96
sp|P0ACV4|LAPA_ECOLI	0.085	0.822
sp|P0AFG3|ODO1_ECOLI	-0.655	0.0
sp|P37666|GHRB_ECOLI	-0.266	0.016
sp|P39286|RSGA_ECOLI	0.172	0.156
sp|P0AEW6|INGK_ECOLI	-1.057	4.508e-06
sp|P0AEQ1|GLCG_ECOLI	-0.081	1.0
sp|P08179|PUR3_ECOLI	0.101	1.0
sp|P0CE48|EFTU2_ECOLI	0.116	0.256
sp|P0A7X3|RS9_ECOLI	0.068	0.999
sp|P07395|SYFB_ECOLI	-0.044	0.007
sp|P07604|TYRR_ECOLI	0.203	0.05
sp|P69228|BAER_ECOLI	0.445	0.006
sp|P76172|YNFD_ECOLI	0.598	0.124
sp|P0A6I3|COAA_ECOLI	0.04	0.982
sp|P0ABH0|FTSA_ECOLI	-0.18	0.334
sp|P42593|FADH_ECOLI	0.051	0.782
sp|P69423|TATC_ECOLI	-0.313	0.273
sp|P06988|HISX_ECOLI	-0.214	0.193
sp|P0AD49|YFIA_ECOLI	-0.442	0.002
sp|P0A910|OMPA_ECOLI	0.23	0.014
sp|P11071|ACEK_ECOLI	0.252	0.318
sp|P33136|OPGG_ECOLI	-0.127	0.031
sp|P12295|UNG_ECOLI	-0.224	0.458
sp|P24188|YCEA_ECOLI	-0.003	0.862
sp|P37747|GLF_ECOLI	-0.394	0.0007544
sp|P37344|PSPF_ECOLI	-0.01	0.847
sp|P0A6J8|DDLA_ECOLI	-0.155	0.06
sp|P38038|CYSJ_ECOLI	-0.125	0.04
sp|P30125|LEU3_ECOLI	0.669	5.247e-08
sp|Q46893|ISPD_ECOLI	0.305	0.395
sp|P0A725|LPXC_ECOLI	0.499	0.024
sp|P0A6K3|DEF_ECOLI	-0.394	0.014
sp|P63417|YHBS_ECOLI	0.47	0.033
sp|P0A8I8|RLMH_ECOLI	0.094	0.398
sp|P0ACE7|HINT_ECOLI	0.296	0.041
sp|P0ACN4|ALLR_ECOLI	0.113	0.421
sp|P21829|YBHA_ECOLI	-0.736	0.015
sp|P0A7W7|RS8_ECOLI	0.022	0.852
sp|P0AGJ9|SYY_ECOLI	0.06	0.745
sp|P12008|AROC_ECOLI	0.14	0.411
sp|P33025|PSUG_ECOLI	0.148	0.685
sp|P04994|EX7L_ECOLI	-0.098	0.401
sp|P09158|SPEE_ECOLI	0.039	0.935
sp|P06959|ODP2_ECOLI	-0.108	0.007
sp|P77774|BAMB_ECOLI	0.032	0.442
sp|Q47147|YAFJ_ECOLI	0.273	0.047
sp|P76535|MURQ_ECOLI	-0.447	0.031
sp|P0ABK5|CYSK_ECOLI	0.233	0.0003189
sp|P0AAC6|YCCA_ECOLI	-0.791	0.002
sp|P45579|HCXA_ECOLI	-0.259	0.049
sp|P0A9M8|PTA_ECOLI	-0.173	0.028
sp|P60624|RL24_ECOLI	-0.088	0.135
sp|P77541|PRPB_ECOLI	3.78	0.0
sp|P0AA91|YEAY_ECOLI	0.947	1.332e-08
sp|Q47146|FADE_ECOLI	-0.797	7.074e-12
sp|P0AAI5|FABF_ECOLI	-0.135	0.005
sp|P0AC59|GLRX2_ECOLI	0.027	0.677
sp|P0A8J4|YBED_ECOLI	0.355	0.151
sp|P0ABP8|DEOD_ECOLI	0.376	0.002
sp|P08839|PT1_ECOLI	0.187	0.045
sp|P0AG78|SUBI_ECOLI	0.066	0.497
sp|P77258|NEMA_ECOLI	-0.452	0.028
sp|P0AA25|THIO_ECOLI	0.316	0.004
sp|P31473|RAVA_ECOLI	0.017	0.833
sp|P0ABU0|MENB_ECOLI	0.131	0.493
sp|P0ACY1|YDJA_ECOLI	-0.113	0.152
sp|P0AEH3|ELAA_ECOLI	-0.349	0.122
sp|P15038|HELD_ECOLI	-0.507	0.0002276
sp|P25553|ALDA_ECOLI	0.352	3.117e-08
sp|P0ACA3|SSPA_ECOLI	0.115	0.593
sp|P78067|YNJE_ECOLI	0.279	0.34
sp|P07023|TYRA_ECOLI	0.267	0.001
sp|P0A6Y5|HSLO_ECOLI	-0.081	0.727
sp|P0A744|MSRA_ECOLI	0.704	0.0002112
sp|P0AC38|ASPA_ECOLI	-0.743	5.98e-13
sp|P0AFG6|ODO2_ECOLI	-0.374	1.937e-07
sp|P0AEP3|GALU_ECOLI	0.2	0.143
sp|P0A7A2|GPMB_ECOLI	-0.151	0.034
sp|P69330|CITD_ECOLI	-1.233	0.007
sp|P0A6E4|ASSY_ECOLI	-0.14	0.009
