protein	log2FC	p-val
sp|P75804|YLII_ECOLI	-0.127	0.593
sp|P77781|MENI_ECOLI	-0.078	0.447
sp|P0A6X7|IHFA_ECOLI	0.022	0.936
sp|P21645|LPXD_ECOLI	-0.067	0.628
sp|P76403|YEGQ_ECOLI	0.543	0.0002475
sp|P0A6L4|NANA_ECOLI	-0.239	0.238
sp|P77376|YDGJ_ECOLI	0.07	0.897
sp|P06986|HIS8_ECOLI	-0.455	4.359e-05
sp|P63020|NFUA_ECOLI	-0.192	0.144
sp|P08192|FOLC_ECOLI	-0.162	0.444
sp|P23003|TRMA_ECOLI	-0.129	0.575
sp|P0A6C5|ARGA_ECOLI	-0.092	0.438
sp|P00893|ILVI_ECOLI	-0.095	0.211
sp|P75777|YBHG_ECOLI	0.362	0.091
sp|P0ACA7|GSTB_ECOLI	0.088	0.605
sp|P30850|RNB_ECOLI	-0.127	0.086
sp|P0A8G9|EX7S_ECOLI	0.41	0.175
sp|P42588|PAT_ECOLI	0.504	0.059
sp|P0AC44|DHSD_ECOLI	0.731	0.012
sp|P0AE88|CPXR_ECOLI	-0.094	0.68
sp|P14900|MURD_ECOLI	0.271	0.459
sp|P0AGD1|SODC_ECOLI	0.723	0.055
sp|P77674|ABDH_ECOLI	-0.824	4.923e-08
sp|P0A6F3|GLPK_ECOLI	-0.114	0.219
sp|P0A6Z6|NIKR_ECOLI	-0.427	0.086
sp|P0A8G6|NQOR_ECOLI	1.184	0.0
sp|P18956|GGT_ECOLI	0.114	0.296
sp|P0A9C5|GLN1B_ECOLI	0.002	0.695
sp|P56262|DLHH_ECOLI	0.862	1.39e-05
sp|P0A9R7|FTSE_ECOLI	-0.061	0.405
sp|P0AFU8|RISA_ECOLI	0.51	0.0009194
sp|P0A8W8|YFBU_ECOLI	0.193	0.095
sp|P0AEH1|RSEP_ECOLI	-0.472	0.127
sp|P68191|SRA_ECOLI	0.602	0.006
sp|P0AGA2|SECY_ECOLI	-0.019	0.785
sp|P76537|YFEY_ECOLI	-1.302	0.0002162
sp|P0ADR8|PPNN_ECOLI	0.492	1.155e-05
sp|P76558|MAO2_ECOLI	0.487	7.146e-09
sp|P0AF67|TSAE_ECOLI	0.0002477	0.335
sp|P0AC75|KDTA_ECOLI	0.219	0.636
sp|P0A9X4|MREB_ECOLI	-0.649	2.177e-07
sp|P67826|CUTC_ECOLI	0.703	0.036
sp|P39172|ZNUA_ECOLI	-0.469	0.005
sp|P0AGC3|SLT_ECOLI	-0.147	0.177
sp|P0ACP5|GNTR_ECOLI	0.172	0.132
sp|P21179|CATE_ECOLI	1.059	0.0
sp|P00904|TRPGD_ECOLI	-0.896	1.4e-09
sp|P0AAQ2|YAJD_ECOLI	-0.286	0.19
sp|P37665|YIAD_ECOLI	-1.229	0.0003169
sp|P0A8K5|YAEP_ECOLI	0.514	0.19
sp|P27278|NADR_ECOLI	0.027	0.88
sp|P0AE82|CPXA_ECOLI	-0.548	2.835e-05
sp|P0AFL3|PPIA_ECOLI	-0.167	0.153
