protein	log2FC	p-val
sp|P29208|MENC_ECOLI	0.12	0.264
sp|P77625|HXPA_ECOLI	0.106	0.427
sp|P0A873|TRMD_ECOLI	-0.534	0.005
sp|P0C037|PPNP_ECOLI	-0.161	0.356
sp|Q46868|UBIK_ECOLI	-0.094	0.282
sp|P22731|LIVF_ECOLI	-0.424	0.048
sp|P0AAB8|USPD_ECOLI	0.738	0.024
sp|P31134|POTG_ECOLI	-0.132	0.53
sp|P0C960|EMTA_ECOLI	-0.477	0.091
sp|P39325|YTFQ_ECOLI	0.421	0.047
sp|P75713|ALLE_ECOLI	0.548	0.055
sp|P0AAQ2|YAJD_ECOLI	-0.626	0.001
sp|P06721|METC_ECOLI	-0.222	0.271
sp|P69795|PTQB_ECOLI	0.194	0.331
sp|P23882|FMT_ECOLI	0.352	0.002
sp|P0AAF6|ARTP_ECOLI	-0.681	0.0004988
sp|P0AE28|AROM_ECOLI	1.375	0.126
sp|P76004|YCGM_ECOLI	0.671	0.007
sp|Q46856|YQHD_ECOLI	0.714	2.32e-08
sp|P77804|YDGA_ECOLI	0.339	4.318e-06
sp|P08957|T1MK_ECOLI	-0.819	3.735e-11
sp|P0AG30|RHO_ECOLI	-0.11	0.013
sp|P77181|PAAY_ECOLI	0.041	0.96
sp|P75960|NPD_ECOLI	0.02	0.692
sp|P21888|SYC_ECOLI	-0.454	0.017
sp|P31063|YEDD_ECOLI	0.138	0.716
sp|P29680|DCUP_ECOLI	0.092	0.564
sp|P0ACP1|CRA_ECOLI	0.318	0.056
sp|P33221|PURT_ECOLI	-0.707	1.08e-06
sp|P0A6G7|CLPP_ECOLI	0.383	0.51
sp|P11875|SYR_ECOLI	-0.084	0.029
sp|Q47150|DINJ_ECOLI	0.276	0.899
sp|P37344|PSPF_ECOLI	-0.081	0.765
sp|P00370|DHE4_ECOLI	0.228	0.154
sp|P06996|OMPC_ECOLI	0.69	1.332e-15
sp|P27306|STHA_ECOLI	-0.011	0.64
sp|P69831|PTKC_ECOLI	0.314	0.004
sp|P07813|SYL_ECOLI	-0.068	0.014
sp|P0A884|TYSY_ECOLI	-0.815	2.214e-07
sp|P62617|ISPF_ECOLI	0.669	0.005
sp|P75958|LOLE_ECOLI	0.372	0.049
sp|P0AG18|PURE_ECOLI	-0.254	0.138
sp|P39831|YDFG_ECOLI	0.206	0.053
sp|P63228|GMHBB_ECOLI	1.129	1.526e-05
sp|P69441|KAD_ECOLI	-0.163	0.096
sp|P0A8I8|RLMH_ECOLI	-0.199	0.204
sp|P0A7C2|LEXA_ECOLI	-0.31	0.045
sp|P11447|ARLY_ECOLI	-0.006	0.684
sp|P09099|XYLB_ECOLI	0.101	0.952
sp|P04825|AMPN_ECOLI	0.251	0.0007424
sp|P24554|RADA_ECOLI	0.234	0.461
sp|P0AAZ7|YCAR_ECOLI	-0.406	0.019
sp|P0A7D7|PUR7_ECOLI	-0.136	0.329
sp|P76397|MDTA_ECOLI	0.368	0.108
sp|P21362|YCIF_ECOLI	1.122	7.63e-05
sp|P77791|MAA_ECOLI	-0.479	0.033
sp|P0AED7|DAPE_ECOLI	-0.01	0.204
sp|P05825|FEPA_ECOLI	-0.287	0.28
sp|P0A7P5|RL34_ECOLI	-1.92	1.219e-06
sp|P27838|CYAY_ECOLI	0.159	0.423
sp|P0AF24|NAGD_ECOLI	-0.145	0.745
sp|P76187|YDHF_ECOLI	0.534	0.000942
sp|P77689|SUFD_ECOLI	0.056	0.241
sp|P0ADG4|SUHB_ECOLI	-0.33	0.027
sp|P05041|PABB_ECOLI	-0.327	0.087
sp|P0A9S7|LIVG_ECOLI	-1.268	6.803e-11
sp|P76576|YFGM_ECOLI	0.112	0.458
