protein	log2FC	p-val
sp|P37643|YHJE_ECOLI	-0.394	0.053
sp|P31441|ADEC_ECOLI	0.661	0.062
sp|P0A7A2|GPMB_ECOLI	-0.24	0.016
sp|P09099|XYLB_ECOLI	0.858	5.457e-06
sp|P75957|LOLD_ECOLI	-0.068	0.536
sp|P63224|GMHA_ECOLI	0.389	0.002
sp|P69795|PTQB_ECOLI	0.25	0.219
sp|P10908|UGPQ_ECOLI	0.219	0.402
sp|P76576|YFGM_ECOLI	-0.23	0.091
sp|P38104|RSPA_ECOLI	1.257	7.324e-05
sp|P0AFK9|POTD_ECOLI	-0.25	0.008
sp|P55734|YGAP_ECOLI	1.283	1.588e-05
sp|P0AGJ5|YFIF_ECOLI	0.761	2.921e-08
sp|P0AB14|YCCJ_ECOLI	0.954	1.924e-06
sp|P45799|NUDE_ECOLI	-0.387	0.007
sp|P33940|MQO_ECOLI	-0.466	0.035
sp|P75849|GLO22_ECOLI	0.123	0.492
sp|P0AE08|AHPC_ECOLI	0.034	0.986
sp|P0A9C5|GLN1B_ECOLI	0.307	1.048e-06
sp|P0ADN2|YIFE_ECOLI	0.009	0.928
sp|P0A6X3|HFQ_ECOLI	0.109	0.756
sp|P0AFB8|NTRC_ECOLI	0.726	4.3e-05
sp|P0ADX9|RSMD_ECOLI	0.034	0.755
sp|P0AED0|USPA_ECOLI	0.824	5.49e-06
sp|P06721|METC_ECOLI	0.443	9.77e-05
sp|P69828|PTKA_ECOLI	-0.835	2.631e-10
sp|P0ADZ4|RS15_ECOLI	-0.152	0.258
sp|P75745|PXPC_ECOLI	0.103	0.82
sp|P40874|MTOX_ECOLI	-0.112	0.352
sp|P06710|DPO3X_ECOLI	-0.076	0.825
sp|P0AFX4|RSD_ECOLI	0.268	0.204
sp|P21362|YCIF_ECOLI	2.379	6.124e-12
sp|P05458|PTRA_ECOLI	0.787	1.318e-06
sp|P0AEG4|DSBA_ECOLI	-0.253	0.007
sp|P37665|YIAD_ECOLI	-0.495	0.049
sp|P0AEM4|FLGM_ECOLI	-0.007	0.637
sp|P0AAI3|FTSH_ECOLI	0.107	0.119
sp|P0AC59|GLRX2_ECOLI	0.473	0.0004987
sp|P33219|YEBF_ECOLI	0.388	0.007
sp|P00895|TRPE_ECOLI	0.487	8.871e-07
sp|P04036|DAPB_ECOLI	0.482	2.668e-05
sp|P76034|YCIT_ECOLI	0.135	0.254
sp|P08244|PYRF_ECOLI	-0.467	3.655e-05
sp|P0A9T8|YBBA_ECOLI	0.6	0.0008452
sp|P15067|GLGX_ECOLI	0.533	0.003
sp|P28249|ASMA_ECOLI	0.276	0.046
sp|P0ACB0|DNAB_ECOLI	0.123	0.253
sp|P68767|AMPA_ECOLI	0.561	7.427e-10
sp|P77257|LSRA_ECOLI	0.495	0.19
sp|P15042|DNLJ_ECOLI	-0.192	0.003
sp|P06959|ODP2_ECOLI	-0.137	0.003
sp|P21513|RNE_ECOLI	-0.085	0.284
sp|P0A746|MSRB_ECOLI	0.111	0.826
sp|P15639|PUR9_ECOLI	-0.461	3.724e-10
sp|P0A858|TPIS_ECOLI	0.42	0.002
sp|P0AC81|LGUL_ECOLI	0.375	0.006
sp|P64540|YFCL_ECOLI	-0.806	0.002
sp|P09424|MTLD_ECOLI	0.618	4.907e-13
sp|P13009|METH_ECOLI	-0.162	0.008
sp|P0A707|IF3_ECOLI	0.208	0.069
sp|P0ACW6|YDCH_ECOLI	0.634	0.042
sp|P00968|CARB_ECOLI	-0.4	0.0
sp|P0A7J3|RL10_ECOLI	-0.285	0.002
sp|P77376|YDGJ_ECOLI	0.764	0.01
sp|P0AAZ7|YCAR_ECOLI	0.064	0.722
sp|P76536|YFEX_ECOLI	-0.197	0.15
sp|P39265|ALSB_ECOLI	0.703	0.0001316
sp|P02931|OMPF_ECOLI	-0.199	0.008
sp|P64455|YDCY_ECOLI	0.096	0.898
sp|P07395|SYFB_ECOLI	0.236	0.0003273
sp|P0A8P3|FETP_ECOLI	0.626	6.777e-07
sp|P77318|YDEN_ECOLI	1.956	0.0
sp|P0ACI0|ROB_ECOLI	0.774	0.0004505
sp|P36548|AMIA_ECOLI	-0.288	0.235
sp|P0ADU2|YGIN_ECOLI	0.153	0.541
sp|P76142|LSRB_ECOLI	0.523	0.005
sp|P0A8B2|YFCN_ECOLI	0.165	0.582
sp|P27833|WECE_ECOLI	0.061	0.912
sp|P0A9T4|TAS_ECOLI	0.648	0.001
sp|P76491|5DNU_ECOLI	0.26	0.131
sp|P0AEP3|GALU_ECOLI	0.33	0.022
sp|P77774|BAMB_ECOLI	0.057	0.564
sp|P76145|TAM_ECOLI	1.384	1.712e-07
sp|P0ACP5|GNTR_ECOLI	0.198	0.104
sp|P46130|YBHC_ECOLI	-0.363	0.006
sp|P00803|LEP_ECOLI	0.129	0.626
sp|P0AC44|DHSD_ECOLI	-0.841	0.000637
sp|P09551|ARGT_ECOLI	1.051	0.0
sp|P0A6A3|ACKA_ECOLI	0.234	0.242
sp|P12008|AROC_ECOLI	0.049	0.758
sp|P0A953|FABB_ECOLI	0.162	0.311
sp|P69776|LPP_ECOLI	0.045	0.843
sp|P0AB26|YCEB_ECOLI	0.164	0.632
sp|P06612|TOP1_ECOLI	0.179	0.016
sp|P36879|YADG_ECOLI	0.43	0.049
sp|P0A8A4|PSRP_ECOLI	-0.043	0.729
sp|P61517|CAN_ECOLI	0.36	0.005
sp|P77718|THII_ECOLI	-0.582	2.411e-05
sp|P00350|6PGD_ECOLI	-0.342	1.813e-08
sp|P07639|AROB_ECOLI	0.348	0.005
sp|P38521|YGGL_ECOLI	1.04	4.187e-06
sp|P0AG44|RL17_ECOLI	-0.151	0.046
sp|P27306|STHA_ECOLI	-0.517	1.384e-08
sp|P17315|CIRA_ECOLI	-1.476	0.0
sp|P27848|YIGL_ECOLI	-0.316	0.033
sp|P23857|PSPE_ECOLI	-1.093	1.136e-05
sp|P15254|PUR4_ECOLI	-0.008	0.426
sp|P08506|DACC_ECOLI	0.583	1.485e-11
sp|P62617|ISPF_ECOLI	0.332	0.082
sp|P76537|YFEY_ECOLI	0.164	0.439
sp|P0A7G2|RBFA_ECOLI	0.237	0.086
sp|P28306|MLTG_ECOLI	0.596	0.103
sp|P0AAV4|PXPB_ECOLI	-0.223	0.273
sp|P69831|PTKC_ECOLI	-0.867	2.4e-09
sp|P0AD10|YECJ_ECOLI	-0.64	0.0008377
sp|P30871|3PASE_ECOLI	0.305	0.032
sp|P36979|RLMN_ECOLI	-1.024	7.483e-14
sp|P28903|NRDD_ECOLI	0.288	0.138
sp|P62399|RL5_ECOLI	-0.335	0.003
sp|P06989|HIS2_ECOLI	-0.07	0.865
sp|P0AG84|YGHA_ECOLI	1.971	4.441e-16
sp|P0AAT9|YBEL_ECOLI	1.236	2.831e-12
