protein	log2FC	p-val
sp|P0AD33|YFCZ_ECOLI	-1.401	2.77e-06
sp|P0A7E9|PYRH_ECOLI	0.228	0.031
sp|P0AAN5|YAIA_ECOLI	2.089	2.568e-07
sp|P0AED0|USPA_ECOLI	0.414	0.002
sp|P08622|DNAJ_ECOLI	-0.554	1.167e-05
sp|P39377|IADA_ECOLI	-0.362	0.004
sp|P0AEE3|DEGS_ECOLI	0.645	0.0002373
sp|P0A991|ALF1_ECOLI	2.742	0.0
sp|P0AGE9|SUCD_ECOLI	-0.631	1.102e-10
sp|P34209|YDCF_ECOLI	1.317	1.284e-09
sp|P0A9Z1|GLNB_ECOLI	0.314	0.004
sp|P37765|RLUB_ECOLI	-1.093	1.076e-11
sp|P27829|WECC_ECOLI	-0.868	2.087e-07
sp|P0A9G8|MODE_ECOLI	-0.707	2.362e-07
sp|P36999|RLMA_ECOLI	0.14	0.453
sp|P0AA16|OMPR_ECOLI	-0.408	0.0004275
sp|P76346|MTFA_ECOLI	-1.956	5.674e-08
sp|P0AGG2|TESB_ECOLI	0.499	0.0004917
sp|P0A8K5|YAEP_ECOLI	0.692	0.008
sp|P0A7I7|RIBA_ECOLI	0.232	0.139
sp|P0ABP8|DEOD_ECOLI	-2.283	0.0
sp|P20083|PARE_ECOLI	-0.705	1.353e-08
sp|P37666|GHRB_ECOLI	1.48	0.0
sp|P0AG30|RHO_ECOLI	-0.201	0.025
sp|P0A9Q1|ARCA_ECOLI	-0.164	0.919
sp|P52697|6PGL_ECOLI	0.455	2.673e-06
sp|P67087|RSMI_ECOLI	0.547	6.033e-06
sp|P08506|DACC_ECOLI	1.204	0.0
sp|P07648|RECC_ECOLI	0.678	0.167
sp|P21179|CATE_ECOLI	1.922	0.0
sp|P24178|YFFB_ECOLI	-2.314	9.731e-09
sp|P0A9C5|GLN1B_ECOLI	2.282	0.0
sp|P0A6A0|UBIB_ECOLI	-1.215	2.113e-06
sp|P41407|AZOR_ECOLI	1.568	0.0
sp|P67603|YQFB_ECOLI	0.263	0.114
sp|P0AG55|RL6_ECOLI	-0.235	0.004
sp|P0AGG4|THIO2_ECOLI	0.028	0.423
sp|P45800|IGAA_ECOLI	-0.635	0.034
sp|P0A6B7|ISCS_ECOLI	0.987	0.0
sp|P0CG19|RNPH_ECOLI	-1.864	1.34e-06
sp|P22188|MURE_ECOLI	0.319	0.0001039
sp|P0ADX1|YHFA_ECOLI	0.189	0.06
sp|P39286|RSGA_ECOLI	0.461	0.0008284
sp|P21645|LPXD_ECOLI	0.055	0.656
sp|P0A8A4|PSRP_ECOLI	0.272	0.025
sp|P63177|RLMB_ECOLI	0.222	0.166
sp|P76578|A2MG_ECOLI	-0.093	0.462
sp|P28249|ASMA_ECOLI	-0.066	0.793
sp|P75838|YCAO_ECOLI	-0.704	9.837e-06
sp|P36649|CUEO_ECOLI	2.989	0.0
sp|P0A870|TALB_ECOLI	0.226	3.229e-05
sp|P07813|SYL_ECOLI	0.221	1.059e-08
