protein	log2FC	p-val
sp|P0AFH2|OPPB_ECOLI	1.483	0.435
sp|P0AGL7|RSME_ECOLI	-0.43	0.184
sp|P77554|YAHJ_ECOLI	0.057	0.622
sp|P00904|TRPGD_ECOLI	-1.203	4.441e-16
sp|P0AG07|RPE_ECOLI	0.198	0.097
sp|P0A6K6|DEOB_ECOLI	2.55	0.0
sp|P31455|YIDR_ECOLI	0.581	0.0008424
sp|P0A9B6|E4PD_ECOLI	-1.156	3.86e-06
sp|Q46893|ISPD_ECOLI	0.919	5.545e-05
sp|P0A879|TRPB_ECOLI	-1.163	0.0
sp|P0A794|PDXJ_ECOLI	0.646	5.874e-07
sp|P14900|MURD_ECOLI	0.098	0.056
sp|P33012|SBMC_ECOLI	2.287	2.34e-08
sp|P69428|TATA_ECOLI	0.246	0.183
sp|P0C0L2|OSMC_ECOLI	2.754	0.0
sp|P0C8J6|GATY_ECOLI	-1.79	0.0
sp|P64423|ZNTB_ECOLI	2.626	1.625e-09
sp|P0ABE2|BOLA_ECOLI	1.608	1.6e-10
sp|P05194|AROD_ECOLI	-0.065	0.355
sp|P0AB77|KBL_ECOLI	1.086	2.345e-06
sp|P31063|YEDD_ECOLI	0.154	0.279
sp|P0A7A9|IPYR_ECOLI	0.263	1.403e-05
sp|P41409|RIHA_ECOLI	-0.561	0.028
sp|P0ACF4|DBHB_ECOLI	-0.087	0.072
sp|P60595|HIS5_ECOLI	-1.48	2.876e-10
sp|P17115|GUTQ_ECOLI	-0.177	0.077
sp|P0A7S3|RS12_ECOLI	0.56	6.148e-06
sp|P02918|PBPA_ECOLI	0.095	0.778
sp|P0A6Q6|FABZ_ECOLI	-0.325	0.048
sp|P0AGG2|TESB_ECOLI	0.363	0.029
sp|P28248|DCD_ECOLI	-0.427	0.034
sp|P0ABV6|TOLR_ECOLI	-0.257	0.467
sp|P10371|HIS4_ECOLI	-1.869	0.0
sp|P0A6H8|CLSA_ECOLI	1.517	6.549e-07
sp|P0AC30|FTSX_ECOLI	1.145	1.847e-06
sp|P0ADC3|LOLC_ECOLI	0.019	0.944
sp|P64455|YDCY_ECOLI	0.066	0.498
sp|P0AFM2|PROX_ECOLI	-1.3	5.975e-08
sp|P77348|MPPA_ECOLI	0.746	0.0001209
sp|P0A7T7|RS18_ECOLI	-0.241	0.047
sp|P33368|YOHF_ECOLI	2.567	2.039e-10
sp|P0A9Q9|DHAS_ECOLI	-1.319	3.489e-07
sp|P31069|KCH_ECOLI	0.315	0.331
sp|P69805|PTND_ECOLI	0.544	3.204e-05
sp|P0AB71|ALF_ECOLI	0.33	0.000115
sp|P11557|DAMX_ECOLI	0.503	0.0001406
sp|P0A8P6|XERC_ECOLI	1.914	2.255e-07
sp|P0AFD6|NUOI_ECOLI	-2.644	6.442e-09
sp|P76272|YEBT_ECOLI	0.3	0.36
sp|P07623|METAS_ECOLI	-2.983	0.0
sp|P77712|FADM_ECOLI	2.063	0.002
sp|P0A9G6|ACEA_ECOLI	0.402	8.053e-06
sp|P21420|NMPC_ECOLI	1.212	0.0002529
sp|P10384|FADL_ECOLI	2.677	0.0
sp|P0AB12|YCCF_ECOLI	-1.006	1.528e-05
sp|P21362|YCIF_ECOLI	2.261	0.0
sp|P76346|MTFA_ECOLI	0.566	0.026
sp|P0A832|SSRP_ECOLI	0.527	0.001
sp|P0A9T4|TAS_ECOLI	0.588	0.001
sp|P0A8S1|ARGP_ECOLI	0.338	0.521
sp|P03817|MIOC_ECOLI	-1.56	3.557e-05
sp|P0ADX1|YHFA_ECOLI	2.571	4.663e-15
sp|P61175|RL22_ECOLI	-0.771	3.312e-09
sp|P02929|TONB_ECOLI	0.202	0.837
sp|P0A8G0|UVRC_ECOLI	0.44	0.077
sp|P0A8R4|SLYX_ECOLI	-0.143	0.495
sp|P0AB14|YCCJ_ECOLI	1.47	1.85e-11
sp|P77674|ABDH_ECOLI	1.748	2.149e-13
sp|P09147|GALE_ECOLI	-0.097	0.523
sp|Q46851|GPR_ECOLI	2.979	8.984e-13
sp|P24203|YJIA_ECOLI	-0.393	0.028
sp|P21170|SPEA_ECOLI	-0.757	4.953e-10
sp|P68739|NFI_ECOLI	1.432	3.738e-07
