protein	log2FC	p-val
sp|P0ADY3|RL14_ECOLI	-0.172	0.036
sp|P0AFM6|PSPA_ECOLI	-0.343	0.0009547
sp|P0AGE0|SSB_ECOLI	-0.093	0.718
sp|Q47622|SAPA_ECOLI	0.769	0.011
sp|P0A9S7|LIVG_ECOLI	-0.249	0.037
sp|P0A7A2|GPMB_ECOLI	-2.648	1.625e-09
sp|P00895|TRPE_ECOLI	-0.982	2.279e-10
sp|P07001|PNTA_ECOLI	-0.471	2.773e-05
sp|P0A836|SUCC_ECOLI	-0.766	0.0
sp|P31131|YDEJ_ECOLI	3.055	3.216e-09
sp|P00960|SYGA_ECOLI	-0.803	4.086e-07
sp|P0ADZ4|RS15_ECOLI	0.077	0.552
sp|P04994|EX7L_ECOLI	0.412	0.006
sp|P0AG86|SECB_ECOLI	0.222	0.621
sp|P0A9B2|G3P1_ECOLI	-0.042	0.345
sp|P0AAB4|UBID_ECOLI	1.298	4.851e-12
sp|P0A6N4|EFP_ECOLI	-0.629	6.411e-07
sp|P0A7I0|RF1_ECOLI	-0.289	0.129
sp|P0ACP5|GNTR_ECOLI	0.599	0.000109
sp|P06610|BTUE_ECOLI	0.53	0.002
sp|P0AEX3|KGTP_ECOLI	0.894	7.018e-05
sp|P0ACY3|YEAG_ECOLI	1.609	0.0
sp|P0ADS9|YGGN_ECOLI	0.429	0.021
sp|P39325|YTFQ_ECOLI	5.868	1.625e-09
sp|P0ADS2|ZAPA_ECOLI	-0.015	0.505
sp|P0A6U5|RSMG_ECOLI	0.215	0.049
sp|Q46845|YGHU_ECOLI	1.175	0.0
sp|P33362|YEHZ_ECOLI	0.424	0.014
sp|P75849|GLO22_ECOLI	-0.929	2.456e-05
sp|P31806|NNR_ECOLI	1.286	1.262e-05
sp|P0AE82|CPXA_ECOLI	0.386	0.028
sp|Q46868|UBIK_ECOLI	-0.683	2.275e-05
sp|P76550|YFFS_ECOLI	0.467	0.092
sp|P0AA04|PTHP_ECOLI	-0.147	0.781
sp|P75820|AMID_ECOLI	1.146	1.867e-05
sp|P76537|YFEY_ECOLI	0.73	0.118
sp|P45523|FKBA_ECOLI	-0.295	0.015
sp|P0A7V3|RS3_ECOLI	0.13	0.355
sp|P0C8J6|GATY_ECOLI	-2.054	0.0
sp|P0A6V8|GLK_ECOLI	-0.528	6.845e-05
sp|P0ADW3|YHCB_ECOLI	-0.023	0.23
sp|P69783|PTGA_ECOLI	0.198	0.058
sp|P02919|PBPB_ECOLI	1.228	1.332e-15
sp|P0ACA7|GSTB_ECOLI	-0.44	1.586e-05
sp|P11446|ARGC_ECOLI	-0.963	1.161e-08
sp|P0AD61|KPYK1_ECOLI	0.456	6.63e-09
sp|P0A9M8|PTA_ECOLI	0.809	0.0
sp|P0A9L8|P5CR_ECOLI	-0.053	0.899
sp|P0AAI5|FABF_ECOLI	0.038	0.267
sp|P00861|DCDA_ECOLI	-1.267	2.078e-07
sp|P0AEE5|DGAL_ECOLI	1.45	0.0
sp|P0AEX9|MALE_ECOLI	0.062	0.213
sp|P16869|FHUE_ECOLI	3.243	0.0
sp|P32162|YIIS_ECOLI	2.682	4.148e-05
sp|P69829|PTSN_ECOLI	0.716	0.0001019
sp|P0AFQ7|YCFH_ECOLI	1.311	1.164e-08
sp|P0A9L3|FKBB_ECOLI	-0.633	1.71e-06
sp|P25536|NTPPA_ECOLI	0.134	0.495
sp|P37617|ZNTA_ECOLI	1.97	0.0003761
sp|P31057|PANB_ECOLI	-0.465	0.003
sp|P60240|RAPA_ECOLI	0.932	4.441e-16
sp|P0A9Q7|ADHE_ECOLI	1.436	0.0
sp|P13482|TREA_ECOLI	2.94	0.0
sp|P0A962|ASPG1_ECOLI	-0.434	0.001
sp|P0AC02|BAMD_ECOLI	-0.403	0.004
sp|P03004|DNAA_ECOLI	-0.357	0.012
sp|P0AEE3|DEGS_ECOLI	0.464	0.008
sp|P02918|PBPA_ECOLI	0.104	0.705
sp|P08178|PUR5_ECOLI	-0.554	1.232e-07
sp|P21420|NMPC_ECOLI	0.034	0.425
sp|P15288|PEPD_ECOLI	0.58	1.421e-09
sp|P15047|ENTA_ECOLI	1.4	6.048e-11
sp|P0AF20|NAGC_ECOLI	0.766	1.6e-05
sp|Q2M7R5|YIBT_ECOLI	2.093	2.809e-08
sp|P06710|DPO3X_ECOLI	0.086	0.485
sp|P0AAI9|FABD_ECOLI	-0.235	0.0007567
sp|P02359|RS7_ECOLI	-0.545	6.268e-08
sp|P0A6K6|DEOB_ECOLI	2.505	0.0
sp|P37649|PDEK_ECOLI	0.572	0.011
sp|P0A9J6|RBSK_ECOLI	0.179	0.267
sp|P0A7M6|RL29_ECOLI	-0.744	0.007
sp|P62768|YAEH_ECOLI	2.014	0.0
sp|P0AGC3|SLT_ECOLI	0.047	0.395
sp|P0A6I3|COAA_ECOLI	-0.82	0.002
sp|P37128|NUDK_ECOLI	0.538	0.047
sp|P07012|RF2_ECOLI	-0.164	0.035
sp|P0AF18|NAGA_ECOLI	1.307	9.059e-14
sp|P0ADV1|LPTA_ECOLI	0.426	0.0006917
sp|P10371|HIS4_ECOLI	-1.674	0.0
sp|P0AG63|RS17_ECOLI	2.976	8.45e-07
sp|P0AFC3|NUOA_ECOLI	-0.827	0.01
sp|Q46893|ISPD_ECOLI	0.951	0.000491
sp|P37749|WBBI_ECOLI	-1.414	4.672e-10
sp|P18335|ARGD_ECOLI	-1.166	0.0
sp|P0ACG1|STPA_ECOLI	-0.749	1.225e-10
sp|P0A6N8|EFPL_ECOLI	-1.75	1.443e-14
sp|P0A903|BAMC_ECOLI	-0.02	0.543
sp|P0A953|FABB_ECOLI	-0.34	0.0002969
sp|P25742|RFAQ_ECOLI	-0.288	0.11
sp|P0ADF8|ILVN_ECOLI	-2.051	5.773e-15
sp|P00550|PTM3C_ECOLI	2.873	0.0
sp|P06983|HEM3_ECOLI	0.539	0.0002155
sp|P0AC19|FOLX_ECOLI	-1.248	0.006
sp|P39377|IADA_ECOLI	0.161	0.223
sp|P76403|YEGQ_ECOLI	-1.633	7.234e-11
sp|P06129|BTUB_ECOLI	0.174	0.102
sp|P0A6L9|HSCB_ECOLI	-0.827	8.16e-06
sp|P00893|ILVI_ECOLI	-0.351	0.000551
sp|P18196|MINC_ECOLI	-0.324	0.087
sp|P29018|CYDD_ECOLI	0.486	0.007
sp|P0ADN6|YIFL_ECOLI	0.469	0.011
sp|Q46948|YAJL_ECOLI	0.322	0.021
sp|P21513|RNE_ECOLI	0.462	5.329e-15
sp|P76194|SUFE_ECOLI	3.193	4.414e-08
sp|P0A800|RPOZ_ECOLI	0.135	0.346
sp|P45579|HCXA_ECOLI	-1.442	5.864e-09
sp|P0A7T3|RS16_ECOLI	-0.657	8.927e-05
sp|P0AA16|OMPR_ECOLI	0.342	0.018
sp|P00370|DHE4_ECOLI	-2.831	0.0
sp|P0ABS5|DNAG_ECOLI	0.926	0.015
sp|P15042|DNLJ_ECOLI	-0.324	0.0003581
sp|P37177|PT1P_ECOLI	0.321	0.151
sp|P75818|YBJP_ECOLI	2.493	0.0
sp|P24215|UXUA_ECOLI	0.02	0.596
sp|P40120|OPGD_ECOLI	-0.437	0.004
sp|P0AE01|TRMJ_ECOLI	-0.807	1.445e-05
sp|P27248|GCST_ECOLI	-1.016	3.096e-10
sp|P37902|GLTI_ECOLI	1.19	0.0
sp|P0ACF8|HNS_ECOLI	0.439	3.777e-07
sp|P0AC38|ASPA_ECOLI	4.912	0.0
sp|P68739|NFI_ECOLI	1.002	4.777e-06
sp|P76491|5DNU_ECOLI	-0.257	0.222
sp|P07118|SYV_ECOLI	-0.944	0.0
sp|P0A7B5|PROB_ECOLI	-0.453	3.058e-08
sp|P0A9Z1|GLNB_ECOLI	0.433	0.105
sp|P0A9T0|SERA_ECOLI	0.285	0.015
sp|P0AAA1|YAGU_ECOLI	3.482	1.625e-09
sp|P29217|YCEH_ECOLI	1.106	6.217e-15
sp|P06968|DUT_ECOLI	-0.777	0.004
sp|P27306|STHA_ECOLI	0.407	0.003
sp|P0ABV2|EXBD_ECOLI	-1.54	8.261e-07
sp|P75960|NPD_ECOLI	-0.174	0.255
sp|P0A951|ATDA_ECOLI	-0.426	0.388
sp|P0A8P6|XERC_ECOLI	1.412	0.004
sp|P69797|PTNAB_ECOLI	0.447	2.349e-08
sp|P0AGE6|CHRR_ECOLI	1.847	0.0
sp|P0A9X4|MREB_ECOLI	-0.148	0.036
