protein	log2FC	p-val
sp|P0AB77|KBL_ECOLI	-1.132	0.00027
sp|P0AF36|ZAPB_ECOLI	-1.08	2.71e-05
sp|P0AA91|YEAY_ECOLI	-0.474	0.037
sp|P37666|GHRB_ECOLI	0.196	0.108
sp|P31808|YCIK_ECOLI	-0.686	0.0004785
sp|P0A8E7|YAJQ_ECOLI	-0.224	0.066
sp|P64451|YDCL_ECOLI	0.318	0.003
sp|P69776|LPP_ECOLI	0.144	0.055
sp|P0ABB8|ATMA_ECOLI	1.261	6.755e-05
sp|P0AFW8|ROF_ECOLI	-0.964	0.002
sp|P77173|ZIPA_ECOLI	-0.627	0.011
sp|P42620|YQJG_ECOLI	-0.29	0.269
sp|P77739|YNIA_ECOLI	0.254	0.144
sp|P0A8G6|NQOR_ECOLI	-0.596	5.941e-05
sp|P0AET2|HDEB_ECOLI	-1.718	3.295e-06
sp|P0AB43|YCGL_ECOLI	-0.757	0.024
sp|P09030|EX3_ECOLI	0.793	4.525e-05
sp|P0AG20|RELA_ECOLI	-0.685	9.347e-08
sp|P76578|A2MG_ECOLI	-0.537	7.305e-05
sp|P21507|SRMB_ECOLI	-0.512	5.145e-05
sp|P0A7N4|RL32_ECOLI	-0.099	0.278
sp|P37648|YHJJ_ECOLI	-0.643	0.001
sp|P28248|DCD_ECOLI	-0.618	0.005
sp|P00935|METB_ECOLI	0.278	0.046
sp|P0AAN5|YAIA_ECOLI	0.386	0.218
sp|P04846|NLPA_ECOLI	0.417	0.003
sp|P76346|MTFA_ECOLI	-1.223	0.002
sp|P00934|THRC_ECOLI	1.076	0.0
sp|P0ADC3|LOLC_ECOLI	0.37	0.176
sp|P30014|RNT_ECOLI	0.727	0.036
sp|P75777|YBHG_ECOLI	-1.177	2.115e-10
sp|P06961|CCA_ECOLI	-0.534	0.079
sp|P0ACL0|GLPR_ECOLI	-0.448	0.18
sp|P69829|PTSN_ECOLI	0.245	0.488
sp|P0AF67|TSAE_ECOLI	-0.46	0.099
sp|P77202|DSBG_ECOLI	0.063	1.0
sp|P27247|PLSX_ECOLI	0.467	0.045
sp|P0AFF2|NUPC_ECOLI	0.031	0.882
sp|P04805|SYE_ECOLI	0.118	0.143
sp|P0AD27|YEJM_ECOLI	-0.712	0.038
sp|P0A935|MLTA_ECOLI	-0.854	0.093
sp|P0A7E3|PYRE_ECOLI	-0.595	0.139
sp|P0ADC1|LPTE_ECOLI	-0.617	0.006
sp|P36767|RDGC_ECOLI	0.36	0.006
sp|P0AEJ6|EUTB_ECOLI	-0.667	0.022
sp|P0AG14|SOHB_ECOLI	0.012	0.792
sp|P0A6I3|COAA_ECOLI	0.197	0.986
sp|P0A734|MINE_ECOLI	-0.026	0.962
sp|P08622|DNAJ_ECOLI	-1.071	1.777e-12
sp|P0ABU9|TOLQ_ECOLI	-0.66	0.0004979
sp|P69908|DCEA_ECOLI	-1.023	0.0001153
sp|Q47150|DINJ_ECOLI	0.228	0.33
sp|P0A7P5|RL34_ECOLI	0.419	0.155
sp|P77667|SUFA_ECOLI	-0.105	0.371
sp|P77721|YDJF_ECOLI	-0.008	0.333
sp|P17315|CIRA_ECOLI	0.431	1.513e-06
sp|P09053|AVTA_ECOLI	-0.352	0.034
sp|P0A843|TATE_ECOLI	-1.315	8.026e-05
sp|P77718|THII_ECOLI	-0.269	0.031
sp|P0AE06|ACRA_ECOLI	0.139	0.051
sp|P0AEX5|KPPR_ECOLI	-0.139	0.67
sp|P0A6W9|GSH1_ECOLI	-0.06	0.924
sp|P13009|METH_ECOLI	1.143	0.0
sp|P77544|YFCF_ECOLI	0.975	9.983e-07
sp|P32099|LPLA_ECOLI	-0.371	0.237
sp|P31119|AAS_ECOLI	-0.021	1.0
sp|P60560|GUAC_ECOLI	-0.186	0.206
sp|P0A9J8|CMPDT_ECOLI	0.632	1.576e-06
sp|P05194|AROD_ECOLI	-0.422	0.0002983
sp|P29013|YCGB_ECOLI	-0.797	0.213
sp|P13482|TREA_ECOLI	-0.142	0.282
sp|P0A6K6|DEOB_ECOLI	-0.905	1.119e-08
sp|P39172|ZNUA_ECOLI	1.159	1.122e-12
sp|P22729|LIVM_ECOLI	0.064	0.769
sp|P23843|OPPA_ECOLI	1.037	0.0
sp|P69874|POTA_ECOLI	-0.095	0.986
sp|P08390|USG_ECOLI	-0.432	0.201
sp|P77150|PDXY_ECOLI	-0.246	0.454
sp|P00888|AROF_ECOLI	4.228	0.0
sp|P0A9U3|YBIT_ECOLI	0.545	2.475e-06
