protein	log2FC	p-val
P11458	-1.651	7.917e-05
P0AGL8	-0.483	0.124
P03018	-0.03	1.0
Q8XDS0	2.629	9.261e-10
P0A7A3	-0.823	0.009
Q0TD14	1.637	0.013
B7LRS7	-0.684	0.006
Q1RCS3	-0.197	0.242
B6I4S1	0.353	0.075
B7LUM3	-0.089	0.386
B7LST2	0.661	0.008
B7LLY4	-0.264	0.15
P76256	0.08	0.807
P0A8W3	1.094	0.016
P0A908	-0.098	0.733
P0ADW5	0.565	0.01
P23865	-1.196	8.173e-09
P04805	0.012	0.456
P65558	0.087	0.77
Q1RAS0	-0.191	0.31
B7LV14	0.072	1.0
Q1RFS8	-0.066	0.535
P25519	0.032	0.594
P0AFP8	0.045	0.836
P31979	-0.151	0.029
P33195	-0.32	0.001
B7LWH0	0.164	0.176
B7LK80	-0.323	0.038
P36929	0.126	0.666
P69829	0.596	0.008
B7LRT0	-0.042	0.404
B7LLP9	0.188	0.699
P21338	0.757	0.004
P75864	-0.171	0.171
Q1R3Q1	1.375	1.017e-08
Q8FL00	0.617	0.357
P0ACA8	0.198	0.405
P0A9L8	0.391	0.148
P37665	0.203	0.285
B7LMG5	0.486	0.078
Q1RC43	-0.319	0.359
P0A990	-0.246	0.832
P0ADU0	0.812	0.001
Q8XAD2	-0.186	0.169
P30178	-0.118	0.612
P15288	0.245	0.167
P08312	-0.402	0.0007397
P77258	-0.086	0.716
Q8FJB1	0.059	0.741
P0AEE1	0.504	0.029
P0C0S2	-0.406	0.033
P10408	0.05	0.76
Q8X647	-0.168	0.304
Q1RF28	-0.74	0.008
P0AEG7	-0.32	0.433
P0ACY2	0.761	1.244e-05
P0AE80	-0.46	0.447
P05825	2.39	0.0
Q1RFC4	-0.228	0.421
P16676	-2.174	5.496e-08
P09147	0.621	0.009
Q1RDU8	0.749	0.0008449
P76046	-0.03	0.598
P24175	0.076	0.716
P52643	0.605	0.000259
P24202	0.428	0.358
P0AG88	0.064	0.629
P0AEB4	-0.883	1.586e-10
P31133	0.712	1.667e-05
P77625	0.406	0.013
P24554	-0.424	0.031
P37626	0.419	0.305
B7LVK4	-0.331	0.205
P45464	0.002	0.847
B7LUW7	-0.668	0.006
P77808	0.229	0.102
P76569	0.725	7.479e-05
P26616	-0.048	0.965
P0AE07	0.491	4.751e-05
P76223	0.223	0.418
B7M1Z9	-0.214	0.006
P77748	-0.985	0.0
Q0TAE8	0.21	0.277
P45395	0.111	0.574
Q1RFY9	-0.195	0.045
P38054	-0.317	0.583
Q1RGI8	0.31	0.001
P05041	-0.588	0.0005562
P07821	0.621	0.024
P76027	-0.1	0.871
P0ADL0	-0.047	0.965
P0AE10	0.014	0.795
P76270	-0.163	0.82
Q1RG10	0.245	0.267
P0ABJ0	-0.578	0.006
P0AFM7	0.792	7.52e-05
B7LW80	0.104	0.578
Q1R996	0.322	0.036
P04335	0.436	0.11
P75691	1.552	5.757e-08
Q8XCJ9	-0.249	0.049
P50457	-0.213	0.553
P52119	-0.039	0.814
Q8X5V6	-0.219	0.05
B7LTY8	-0.024	0.945
P05523	0.23	0.717
Q1RB92	0.024	0.742
Q8X8L4	1.102	3.341e-05
P37595	0.743	0.252
P0A8I6	0.35	0.11
P0AAJ0	0.511	6.777e-05
Q59385	0.506	0.000832
Q8FG50	-0.29	0.059
P0ABE3	3.833	1.625e-09
Q1RE59	1.973	4.652e-06
P0AG19	0.035	0.888
P0A9G9	-0.31	0.235
Q1R8T7	-0.031	0.961
P76014	0.422	0.043
P16926	0.142	0.738
P24182	-0.236	0.056
P24255	-0.773	0.002
P0ADP0	0.211	0.254
Q1R981	0.019	1.0
P0A6G4	-0.334	0.492
P0AF04	0.621	0.015
P30125	-0.21	0.061
B7LNS1	1.098	7.132e-10
B7LLV9	-0.164	0.05
P33913	0.455	0.337
P37648	0.452	0.0006397
P06971	0.84	7.524e-12
P76403	-0.288	0.057
P06959	0.126	0.413
P0ACG2	0.821	7.851e-05
Q8XDP0	0.987	0.003
P42216	-0.756	0.019
Q1RD95	0.068	0.529
P0ADE8	0.268	0.026
P0AB78	0.186	0.493
P0A8Y6	-0.208	0.283
P0ADS7	2.077	6.139e-09
P0A795	0.067	0.945
P27830	0.283	0.416
P45748	0.5	0.009
P0ADA6	0.273	0.2
P02919	0.137	0.289
P76002	1.068	0.0008462
P0AED2	1.298	6.638e-08
P0AG69	-0.292	5.484e-05
P30863	0.799	0.04
P19624	0.159	0.426
P00934	0.034	0.671
B1IUH4	-0.516	0.002
Q0TKP7	-0.112	0.911
P0AD98	0.609	3.614e-08
P0A706	-0.189	0.006
P0AC51	0.119	0.986
Q1REI5	0.464	0.006
B7NQG9	-0.115	0.386
P00350	-0.145	0.142
P30860	0.329	0.023
P0C0V1	-0.037	0.828
P0AB30	-0.614	0.0004526
B7LUL8	-0.3	0.134
B7LQ74	1.044	0.639
P39315	0.608	0.057
P65871	0.262	0.304
P0A7Z2	0.465	0.009
P27303	0.032	0.673
P0AD62	0.096	0.635
Q8XA87	-1.653	3.956e-10
P0ACA5	-0.124	0.33
P55253	0.181	0.616
P0A903	0.412	2.73e-05
P06987	0.098	0.794
P61517	0.025	0.783
Q8FB90	-0.444	0.193
P78061	-1.377	0.0001776
B7LR46	-0.402	0.031
Q8FAG0	0.679	0.0001357
P36673	0.279	0.375
P0AAU1	3.968	7.059e-12
Q8XDP1	-0.822	0.0002912
Q8FHU5	-0.292	0.381
P0AFB9	-0.084	0.575
P75838	-0.096	0.559
P69412	0.331	0.117
P77338	0.237	0.126
Q8FCF1	0.016	0.713
Q8FB98	-0.205	0.003
A7ZWV5	0.181	0.698
P64452	2.774	0.0
P0AG22	-0.165	0.283
P77211	0.225	0.333
Q46893	-0.019	0.619
P33363	0.185	0.077
P45955	-0.229	0.219
P0AGJ0	0.367	0.386
P0A6H6	-0.077	0.068
P0AES7	-0.059	0.896
K0BE10	0.008	0.609
P43329	-0.184	0.544
Q0TFG0	-0.242	0.007
P16384	-0.382	0.25
Q8XE76	-0.09	0.392
P22634	0.398	0.395
P0AF19	0.742	0.0002413
P08839	0.027	0.83
Q8FJ81	0.601	0.04
C6UCN7	-0.633	6.264e-08
B7M1W8	0.153	0.262
P52647	0.44	0.0005112
P0ABX7	-3.224	1.53e-05
A8A765	-0.124	0.408
Q8FF08	0.193	0.528
P18196	0.282	0.262
P76578	0.907	0.026
B7LVP7	0.428	0.063
P11447	0.208	0.04
Q1R8K0	0.088	0.765
P36683	-0.643	8.882e-16
P0ABC5	0.131	0.2
P0AFY0	-0.12	0.278
Q8X612	-0.275	0.161
P0AGG3	0.747	0.009
P76536	-0.966	0.001
Q8XCV3	0.139	0.524
B7LPE7	0.064	0.535
P76558	0.239	0.023
P64555	0.02	0.874
B7LLS4	-0.091	0.795
P31120	-0.056	0.501
P05458	-0.037	0.64
P36879	-0.276	0.159
B7LRT2	-0.841	0.0002859
P16456	0.46	0.0003997
P77552	0.244	1.0
P0AEC3	-0.707	0.067
P05793	-0.476	5.134e-10
P0ADY2	-0.056	0.655
P12281	0.424	0.013
P77544	-0.183	0.561
P61887	0.177	0.528
P0AEN3	-1.196	1.651e-07
P0ACR6	0.301	0.069
P66818	0.092	0.869
P0ABU8	-2.268	5.024e-07
P63388	-0.058	0.507
Q1R6H2	0.334	0.706
P46853	0.408	0.135
Q8XBL0	-0.214	0.731
P0ADI5	1.891	5.012e-11
Q8FIM7	-0.353	0.051
P0AB24	0.868	2.238e-12
P0AG01	0.306	0.277
B1IUF8	-0.217	0.151
P0ADN4	0.399	0.055
B7N9Q7	-0.137	0.418
P0ADC5	-0.149	0.472
P0A913	0.84	0.0008266
P0AA06	0.051	0.677
Q1R8L7	0.245	0.367
Q8FKE3	-0.393	0.019
P0AES0	-0.057	0.246
A8A2Q7	0.084	0.492
B7LK04	0.651	1.77e-05
P23878	0.452	0.126
Q1R4F9	-0.174	0.046
P0AGD9	-0.015	0.882
P15028	0.489	0.239
P0A8N4	-1.944	0.0
P0AG25	0.1	0.911
Q1R5V3	0.083	0.537
P25516	1.492	2.887e-15
Q8CXZ9	0.148	0.623
P0ACD6	-0.044	0.682
P67097	0.761	0.0001941
P0AE47	-0.056	0.571
P67088	0.186	0.298
P21507	0.131	0.241
P76034	-0.309	0.157
P0AFX2	0.122	0.669
P16703	-0.605	1.501e-06
P69426	-0.062	0.758
P0AFD2	-0.218	0.17
P0AE93	0.484	0.001
P37649	1.078	0.186
P31433	0.547	0.073
P04968	-0.683	2.398e-08
P06961	-0.481	0.391
P61318	0.171	0.266
Q7A937	0.691	0.833
