protein	z-value
era	-2.8380438540330997
yhdW	4.590218221167088
htpX	-3.4313976484908997
gmk	0.46969443400395045
dsbC	-1.4885149982672385
yfgD	4.232547201200938
wecB	-1.5395279186807014
pntB	-1.472720750466724
tgt	-2.6560747858920144
hda	1.0312616305344182
udp	3.098197508290525
exuR	1.5834309772178452
ycjY	2.8070750207132797
rpsD	-2.0898947743334086
yjiA	-0.0816765921609439
purR	-2.1935568450603506
def	-2.77974633379862
glnB	1.0878934591456972
gabD	7.3487
accB	0.5616319186838411
xseB	1.3445553283208183
galE	4.318957093104921
ycbZ	1.219410540227071
mgtA	1.1790772199580526
hldD	-0.12227261440364491
alr	-0.1302795516849343
csdE	4.386730970175717
mrp	-3.151718913781142
rpsK	-7.010450701649752
ycaO	-2.397218471208575
pepQ	-0.07778433653550501
ettA	-0.7244132389263814
fabH	-4.366084943422807
dxs	-1.450015355271115
acuI	5.470275346827197
gmhA	4.953005445378222
mpl	-1.026010593243148
wecE	-0.6681423165352974
glmS	-2.9026288631303228
entB	7.3487
lolD	-2.5485489350264805
skp	0.6339679801427501
rpsJ	-1.7540709286895502
speA	0.028997207544580555
sucC	-1.4330776288800224
ttcA	-2.457374684021525
ispD	1.4420617109507539
queF	-1.7097449673758205
rph	-1.5188441189042092
sad	0.4932504415550881
uup	-3.12070650761563
alaA	-3.981872830400912
icd	1.4011112037796407
fmt	1.163832326663716
ppc	-3.3128919126711245
oppA	3.362325995946841
yaiI	-0.27950197086156087
aroB	-1.6231341259676657
hscA	-2.612513994817795
mdoG	-1.1044704033131818
gltI	7.3487
exbB	-6.102437696092685
infB	-3.4188646755212666
dnaG	-0.43196083773330096
lamB	4.496942191403951
ispE	0.5254483587008179
atpF	1.9162409350937202
mrcB	0.7375928992562107
fadL	7.3487
ptsN	1.8359443644450042
rbn	0.2673029101584086
ysgA	4.965795576141027
hsdM	-7.3487
yejK	0.0042709028846266844
rho	1.6404366636979433
aceF	0.3181562454861863
treR	2.280115193016111
nrdR	-0.39708967253206695
kdsC	0.08038924445241072
fis	-0.26523825415509683
yeaY	7.3487
tolC	1.8766632697338193
hisC	-1.089797492752873
hupB	2.619898950728631
pxpA	-0.09355954215987972
yacG	1.9737857730709507
rpsI	-5.569082011713463
mutS	-2.99629865329395
fabG	-0.024875252510992367
hslU	-2.270795523764636
argS	-1.7264890987057124
yiiM	3.6467564497370515
tesB	2.110344161218339
bamC	5.297645357773724
serA	1.5785691690732473
cutC	1.1451627120294128
livG	-1.5379855231370678
raiA	7.3487
yfeY	2.571631246592969
fepC	2.1639728292133955
rbsB	7.3487
srkA	0.22019912358933685
diaA	-0.029259061560464573
flgK	-7.3487
dkgA	7.3487
trpC	-2.822035943492078
aspS	1.6367018961376327
rsmH	3.0650744817908473
ytfL	0.016726940374767997
apaH	-1.417248317975525
adhE	5.6308760691574555
gudD	2.8510982281255592
emrA	0.5334707505210915
cysN	-7.3487
betB	0.6553746002359582
lepB	0.46072862935699876
ybjS	0.4629977832618685
ugpB	7.3487
valS	-0.12598150128973012
ydhR	0.9007927844949183
ompX	3.840346264469045
yceH	7.3487
tyrA	-3.345253789639933
phoB	1.68462106811889
der	-1.2887883472138204
malY	0.9628280287309277
rsmE	-2.4634649445712617
maeB	3.77457486363426
rplA	-2.4778853167817716
rimM	-2.289103165885429
loiP	3.7814088742238416
rpsR	-1.9318038435099427
yaiW	0.029853677950319908
lpoB	5.176256421545887
ycbX	0.3377508972560151
yfbU	0.18827310453728183
bcsB	7.3487
clpB	7.3487
gcvR	-0.64434693771144
metE	-3.7008031199093554
ahpF	-2.5435556787592533
iclR	-1.5849433006857274
ung	0.5052716761622115
rnt	-1.3222845339379496
uspE	7.3487
trxC	7.1341788839466975
pgm	4.021520414331993
rseA	3.1200511667277264
metH	-7.3487
rpoE	3.7028566230372855
nagC	0.9960725301719425
adk	3.3332679067841644
dhaL	3.8407738150894892
deaD	-7.3487
rapA	-0.06209976013510652
rne	2.2630731155578316
flgN	-2.9773638667655287
ybhA	-3.5018305548249256
iraP	2.7989848247283
dnaN	-1.133164108638484
amn	1.5810220999503455
engB	4.069839467118297
groL	3.799911017835458
yggS	3.6286199325718136
bfr	7.3487
pgi	1.145237264676093
ydfG	-1.2680887169027222
ftnA	2.7561257726578687
tuf1;tuf2;tufB;tufA	-2.2793787887808876
ubiI	-1.038496343638863
pyrI	-0.8561165052326533
galT	2.4444764102418115
ybjP	7.3487
metE	-3.3695520728811297
fadR	-2.892650987847056
qorA	7.3487
ynfB	0.7192287304399239
lipA	-6.948775354236189
hisF	-4.062127139474616
selA	2.411786294556824
glgB	-0.2834680361594057
rsfS	-3.122979286298725
rplN	-3.596262039858353
ybdL	1.015713290007755
hmp	-0.7277693826608732
carA	-2.822043738428784
pyrD	-1.2578921195478574
ycdX	-2.8905559644306473
degP	1.1575624189269897
yigB	0.8964468104562097
dmsD	0.7482137287987971
rsmA	1.5089281893228157
flgM	-3.525731170601095
pstS	4.800392411760198
proQ	-3.4033935516358795
orn	2.837179799231375
aroE	2.1747609268389083
pdxB	-0.7351271555134712
lpxB	2.7475687332755374
hisJ	6.715129608055196
dusA	-2.3028582351227658
cra	1.2554477519572596
damX	-0.13958320136199473
recR	-4.548393013857245
rplP	-1.6472711082846008
murB	0.29849951239108385
tolB	3.116716564543352
rpsC	-1.7804589812770373
fxsA	2.146143238981949
ppk	2.423225033310084
rpsT	-3.9263546405101204
sufD	4.474583798863445
pgk	5.8132340349948874
pdxK	-0.3116786269504788
mtlD	6.740391998889808
rimP	-0.963271021392744
hexR	0.5948365502539534
nsrR	-1.0544660898941387
yfiF	1.3503510884596608
aceA	7.3487
ybbO	-0.70148562907049
mraZ	3.7790250604094897
macA	0.7677102126701426
serS	0.05527345420997965
hpt	-2.5307547899291043
ribA	-2.614097628491306
ftsE	-2.3915855966498896
curA	5.747631789947222
cyoB	-3.1434560825413924
efeB	-4.466514746822524
flgH	-0.24859781705825018
mlaC	2.2288589251869517
hxpA	3.484977259590917
accD	1.4885353864997433
ybeZ	-0.14571781324279268
ytfB	6.43107616379161
lptE	4.031473398549941
gntR	1.7177735831226135
argC	-2.5782434855236835
kdsB	-1.4430883876836673
aroG	-4.412912864142304
ycjG	1.3107237600647565
crr	7.3487
rsmD	-0.42118906187066857
yqaB	-0.18610921295361674
yecA	1.1156778292853264
rlmJ	0.9106591433167082
btuB	2.853083083354556
flgL	-7.3487
rdgC	-1.8007662992752809
dapB	-2.4643467292711256
ybeD	-4.159068482490254
rffH	1.1307862339489587
znuC	3.288807520873799
rplJ	3.132653611161524
fdx	0.02664141225830624
