condition	growthrate
NCM3722GlcCm0	0.967182112
NCM3722GlcCm2	0.639828167
NCM3722GlcCm4	0.407733636
NCM3722GlcCm8	0.282917217
NCM3722GlcIPTG0	0.967182112
NCM3722Gly3MBA0	0.602736679
NCM3722Lac3MBA0	1.039720771
NQ1389GlccTc0	0.884868741
NQ1389GlccTc10	0.526440897
NQ1389GlccTc12.5	0.437777167
NQ1389GlccTc2.5	0.815467271
NQ1389GlccTc5	0.717048807
NQ381Lac3MBA0	0.452052509
NQ381Lac3MBA25	0.57762265
NQ381Lac3MBA50	0.670787594
NQ381Lac3MBA500	0.866433976
NQ393GlcIPTG100	0.884868741
NQ393GlcIPTG30	0.457020119
NQ393GlcIPTG40	0.602736679
NQ393GlcIPTG50	0.717048807
NQ393GlyIPTG20	0.27911967
NQ393GlyIPTG30	0.442434371
NQ393GlyIPTG40	0.569710011
NQ393GlyIPTG75	0.681784112
NQ399Gly3MBA100	0.4200892
NQ399Gly3MBA25	0.282917217
NQ399Gly3MBA500	0.562011227
