protein	log2FC	p-val
rpsR	-0.21	0.21
grxB	-0.062	1.0
yfdI	-0.46	0.237
pdxH	0.182	0.533
nfnB	0.259	0.539
mrp	0.218	0.734
rplT	-0.3	0.063
def	0.016	1.0
pth	-1.117	0.042
dhaK	-0.167	0.651
rpmC	-0.195	0.095
yfeX	0.156	0.51
fliY	-0.334	0.007
zur	0.517	0.287
mug	-0.242	0.473
btuB	0.132	0.359
galM	-0.144	0.318
yohN	0.415	0.091
yfdH	-0.172	0.414
ppiC	-0.21	0.441
speD	-0.166	0.762
rplF	-0.314	0.002
grxC	0.269	0.085
ompC	2.349	0.0
yifL	0.176	0.651
potD	0.193	0.048
murE	0.168	0.347
infB	-0.157	0.02
purU	0.017	1.0
mglA	-0.754	0.182
rplV	-0.22	0.0001249
tolQ	0.096	1.0
gapA	0.186	0.003
btuR	0.316	0.372
ilvD	0.455	9.334e-11
purL	-0.133	0.035
metC	0.499	0.109
acs	-0.365	0.002
frmA	0.029	0.853
avtA	0.4	0.239
yhbJ	0.076	1.0
purH	-0.134	0.182
amn	0.0004094	1.0
cysS	0.288	0.196
ispG	0.342	0.228
cyaY	0.275	0.543
fklB	-0.089	0.902
leuC	0.041	0.505
purE	-0.019	1.0
fbaA	0.139	0.098
gpmA	-0.056	0.924
gyrB	-0.043	0.797
guaA	-0.45	2.904e-05
map	0.063	1.0
yceH	0.394	0.146
grpE	-0.537	0.038
nifU	-0.319	0.105
cmk	0.448	0.054
hinT	0.285	0.128
thiD	-0.053	1.0
thiM	0.063	1.0
greA	-0.278	0.031
gmhA	-0.0008819	1.0
aroB	0.312	0.109
pdxB	0.226	0.472
serA	0.455	4.795e-07
aceA	0.482	0.146
dppA	-0.588	1.558e-07
rpsJ	-0.305	0.004
dnaN	-0.025	1.0
ilvM	0.253	0.365
purT	-0.144	0.518
pfkA	0.346	0.011
ygiC	-0.074	0.875
thiC	-0.063	0.577
adhE	0.133	0.03
maeB	-0.117	0.535
rpmF	-0.395	0.004
yeiP	-0.608	0.089
fur	0.021	0.886
modC	-1.231	0.009
yahO	1.78	0.003
dcp	-0.146	0.719
rplB	-0.424	1.111e-05
dksA	0.039	1.0
crl	0.485	0.004
cysM	-0.516	0.012
argB	0.5	0.002
lon	-0.053	0.947
yajG	-0.126	0.249
kdsC	-1.4	0.019
typA	0.027	0.625
fliD	-2.677	5.866e-13
recA	-0.118	0.505
tolC	0.19	0.088
artJ	0.283	0.006
tyrS	0.157	0.033
gst	0.728	0.021
murA	-0.039	0.894
spr	-0.229	1.0
bcp	0.407	0.005
lgt	0.25	0.356
accC	-0.079	0.567
degQ	0.597	0.018
hisP	0.277	0.209
glnS	-0.197	0.036
acnB	-0.059	0.333
ahpF	0.234	0.265
metB	0.37	0.045
cpxR	0.35	0.068
proS	-0.278	0.006
yfcD	-0.112	0.97
fabB	0.084	0.846
lysC	1.09	0.0
cueO	-0.056	1.0
katE	0.473	0.293
rplY	-0.37	0.002
ybeZ	0.21	0.774
upp	-0.281	0.039
ychN	-1.842	0.02
tufA	-0.22	0.0002548
rplU	-0.97	0.018
