protein	log2FC	p-val
iraP	-0.41	0.344
flgK	0.65	0.082
dcyD	-0.032	1.0
usg	0.188	0.696
rpsS	-0.276	0.004
rplN	-0.13	0.407
hisB	0.193	0.205
glmM	0.147	0.434
pepQ	0.418	0.123
rplU	-0.296	0.14
rpsT	-0.35	0.007
phoP	0.274	0.357
lpxA	0.029	1.0
manZ	-0.09	1.0
cspD	0.511	0.176
iscR	-0.159	0.432
rpsQ	-0.788	0.029
yfgD	-0.131	0.811
metF	-0.273	0.034
yncE	-1.161	3.303e-06
bcp	0.122	0.514
pta	0.024	0.711
yuaY	0.37	0.385
pepA	0.462	0.155
trmB	-1.337	0.014
ydfG	0.203	0.126
hisP	0.101	1.0
ybiS	-0.007	1.0
metB	-0.261	0.172
ychN	1.712	0.068
ppiC	0.523	0.299
htpG	-0.039	0.639
fnr	0.038	1.0
dksA	0.0003428	0.71
purA	-0.182	0.016
proA	-0.052	1.0
argA	0.21	0.318
argB	-0.235	0.245
efp	-0.463	0.43
copA	0.786	0.097
pflB	0.113	0.121
ppa	-0.096	0.426
gltJ	0.585	0.154
hisF	0.241	0.491
yjgF	0.117	0.685
secA	-0.039	0.926
moaC	0.747	0.054
btuE	0.246	0.788
cueO	-0.381	0.277
nuoE	0.033	0.859
thiG	-0.158	0.212
fabZ	0.062	0.701
leuB	-0.199	0.095
acrB	0.208	0.347
pykF	-0.018	0.946
gyrB	-0.379	0.52
yfiO	0.184	0.592
thiM	-0.13	0.882
argH	-0.153	0.249
degP	0.283	0.081
stpA	0.041	0.812
ybeZ	-0.111	0.67
cysH	0.225	0.229
yfbQ	-0.262	0.412
atpH	0.045	0.77
thiD	0.205	0.562
rpiA	-0.086	1.0
pyrG	-0.291	0.083
modC	0.328	0.452
carB	-0.317	2.031e-05
speD	-0.352	0.137
cysJ	-0.305	0.001
cysS	-0.303	0.143
argT	-0.133	0.172
gnd	0.234	0.004
rpmE	-0.356	0.01
ssb	-0.051	0.936
pifC	-0.016	0.924
uspF	0.102	0.976
sucB	0.063	0.878
adhE	0.469	1.14e-06
serS	0.028	0.64
panB	-0.399	0.251
rpsN	-0.123	0.445
pckA	0.684	0.0007321
lysC	0.36	2.806e-07
yeeX	0.187	0.156
rplJ	-0.381	0.002
ftsZ	-0.001	0.774
nadE	0.098	0.601
glk	0.841	0.108
aroK	-0.192	0.388
gdhA	-0.332	1.08e-08
rpoD	0.151	0.292
nifU	-0.054	0.684
ribH	-0.468	0.107
artI	-0.208	0.539
pfkA	0.095	0.44
ffh	-0.127	0.859
rplO	-0.155	0.08
atpA	0.214	6.924e-05
sdhB	0.242	0.001
tap	0.643	5.811e-06
ygiM	0.534	0.167
nuoF	0.173	0.862
fusA	-0.13	0.003
rbsB	1.447	0.0
purD	0.054	0.406
dnaN	0.255	0.557
dcrB	0.366	0.292
carA	-0.299	0.008
yicC	0.233	0.534
infC	-0.041	0.666
cpxR	0.22	0.35
glpK	3.561	0.001
trxB	-0.304	0.2
minD	0.02	0.96
sodA	-0.45	0.0005262
cmk	-0.792	0.168
ygfY	0.008	1.0
purL	-0.084	0.304
dapB	0.227	0.079
purB	-0.204	0.102
dapD	0.085	0.246
zipA	-0.145	0.674
yajQ	0.087	0.755
yceI	0.152	0.808
prs	-0.224	0.044
deaD	0.021	0.905
suhB	-0.075	1.0
ilvI	2.749	0.009
proS	-0.038	0.925
aroA	-0.14	0.27
hisG	-0.048	0.512
pmbA	0.077	0.877
glyQ	-0.289	0.143
argS	0.133	0.677
avtA	-0.213	0.588
srmB	1.044	0.025
dut	0.029	0.973
elbB	0.275	0.437
ppiB	-0.082	0.908
panC	0.681	0.058
hfq	0.146	1.0
ilvE	-0.194	0.15
fliI	0.217	0.912
argE	-0.26	0.008
purU	-0.212	0.108
hupA	0.302	0.000156
hisD	0.148	0.284
rpmG	-0.307	0.119
secG	-0.332	0.231
manX	-0.237	0.157
prfB	-0.063	1.0
fabA	-0.195	0.472
lacZ	4.121	0.0
hns	0.057	0.82
fbaB	0.135	1.0
erpA	0.05	0.768
atpG	0.055	0.544
ybeD	0.25	0.428
cysK	0.065	0.163
tig	-0.128	0.02
yggX	0.29	0.055
ycaR	-1.345	0.09
grxC	0.382	0.048
potF	0.618	0.564
rplK	-0.362	0.0008191
gltX	-0.093	0.556
rplF	-0.13	0.05
hslV	0.023	1.0
lpdA	0.18	0.066
guaB	-0.512	9.855e-05
hemX	1.116	0.218
ygfB	-0.319	0.353
dnaJ	-0.793	0.289
ydjN	0.125	0.392
rraA	0.121	0.652
infB	-0.061	0.269
ycgR	0.502	0.006
mipA	-0.2	0.372
slyA	-0.099	0.945
minE	-0.257	0.184
glgA	0.287	0.455
recA	0.319	0.128
yhjE	0.637	0.548
nlpA	-0.263	0.088
thiB	-0.239	0.504
ybbN	0.224	0.413
ompT	0.132	0.235
cheA	0.417	8.327e-06
proQ	-0.2	0.246
prlC	-0.016	0.948
artJ	-0.01	0.839
fliD	1.149	8.094e-08
ftnA	0.963	1.413e-05
hflX	-0.338	0.436
fur	-0.142	0.632
guaA	-0.391	2.004e-05
glcB	-0.601	0.117
hemL	0.014	0.727
thiF	0.122	0.951
rpsD	-0.313	7.965e-06
ompC	0.381	1.0
uspA	0.172	0.406
lpp	0.12	0.793
cheY	0.507	4.779e-05
rplV	-0.175	0.002
tpx	0.198	0.026
gltD	-0.337	4.699e-06
metE	-0.58	0.0
yjgD	-0.036	1.0
flgI	0.242	0.573
rbsD	0.561	0.136
frr	-0.138	0.178
trg	1.273	1.295e-07
modA	0.955	0.072
accB	-0.039	0.953
folD	-0.041	1.0
livK	-0.168	0.035
nusG	-0.113	0.607
hflC	-0.107	0.702
nagE	0.922	0.292
serA	-0.313	0.001
cheW	0.638	0.0005253
rpsP	-0.139	0.276
pspA	-1.697	0.017
pdxH	0.152	0.861
hisJ	0.084	0.201
yifE	-0.217	0.252
ucpA	-0.219	0.805
ppsA	-0.108	0.128
ihfA	0.062	0.557
galE	0.502	0.064
zapB	-0.129	0.501
gapA	0.091	0.087
aspC	0.267	1.178e-05
ghrA	0.226	0.463
thrS	-0.152	0.253
murA	-0.176	0.906
metQ	0.09	0.173
rpsL	-0.23	0.164
