protein	log2FC	p-val
flgL	1.047	0.009
yfbQ	-0.266	0.551
pyrD	0.91	0.003
gsiB	2.052	0.067
efp	-0.643	0.15
hisD	-0.114	0.524
mrp	0.664	0.043
rpsH	0.149	0.388
ybdH	0.278	0.415
rpsK	-0.102	0.221
pmbA	-0.742	0.031
glnH	-0.664	0.004
rne	-0.064	0.824
rpsE	0.211	0.01
ybiS	-0.346	0.298
zwf	0.263	0.172
arnA	-0.024	1.0
uspF	0.813	0.068
clpX	-0.172	0.397
secB	0.242	0.088
rbsK	1.364	0.0003984
ompA	-0.349	1.678e-05
thiE	-1.367	0.007
ybiC	-0.474	0.025
arcA	0.123	0.2
pgm	-0.016	1.0
asnB	0.105	0.498
pyrG	0.382	0.128
ftsE	-0.136	0.903
yceD	0.011	1.0
nfnB	-0.165	0.563
ybeZ	0.417	0.217
cysK	0.019	0.732
gltJ	1.085	0.023
nuoF	0.26	0.094
panB	0.047	0.703
manX	0.074	0.947
pepQ	0.613	0.013
cheZ	1.903	1.288e-13
hinT	-0.485	0.053
ppc	-0.122	0.069
yifE	-0.161	0.28
serA	-0.437	0.008
ackA	0.161	0.178
metG	-0.028	0.531
hflK	-0.489	0.394
hflC	0.323	0.25
gnd	-0.309	2.269e-05
apt	-0.616	0.103
gpmA	-0.192	0.802
hslO	0.749	0.083
mdoG	0.224	0.704
fabH	-0.01	1.0
secD	0.088	0.949
yfgL	0.002	1.0
yncE	-0.409	0.295
nlpA	-0.298	0.101
polA	0.08	1.0
rpmA	0.293	0.189
tktA	0.083	0.296
upp	-0.112	0.5
glmM	1.878	0.005
thyA	0.166	0.594
fliZ	1.217	0.025
lpdA	0.319	1.403e-05
yuaY	1.071	0.034
ghrA	0.162	0.724
yfgM	0.105	0.698
talB	0.183	0.033
yajG	0.147	0.207
sucC	0.88	0.0
tyrB	0.504	0.149
asnS	-0.074	0.353
dcp	-0.135	0.87
aroB	-0.227	0.535
rplQ	0.202	0.129
argB	-0.138	0.239
fabF	-0.134	0.466
surA	-0.156	0.596
ahpC	0.122	0.074
cysC	-0.02	1.0
yajC	-0.763	0.039
trpA	-0.559	0.253
livG	0.032	1.0
yfdI	0.174	0.534
yhcB	0.009	0.871
lepA	-0.13	0.789
ribH	-0.039	0.952
maeB	0.286	0.454
hflX	-0.154	0.907
htpG	0.195	0.018
tsf	-0.049	0.658
icd	0.046	0.358
fliD	2.355	1.637e-10
ytfQ	-1.652	0.006
asnA	0.011	1.0
cspC	-0.772	7.425e-05
erpA	0.186	0.35
hisF	-0.175	0.151
kdpC	-0.325	0.246
fur	0.078	0.548
hisJ	-1.04	0.0
rnb	-0.118	0.538
atpG	-0.06	0.944
tufA	-0.008	0.801
prlC	-0.044	0.923
carA	-0.26	0.039
thiF	-0.132	0.43
rpsQ	-0.301	0.643
rbsD	-0.111	1.0
mglB	1.248	1.475e-11
ppiD	-0.053	0.796
folE	0.138	0.772
lacZ	0.776	0.0
yeiP	0.049	1.0
rpmE	0.004	1.0
pheS	0.005	0.962
