protein	log2FC	p-val
hscA	-0.045	1.0
prfC	-0.141	1.0
rpe	-0.694	1.0
rlpA	-0.003	1.0
rpiA	0.468	0.149
dksA	0.483	0.034
ptsN	-0.066	1.0
malE	4.738	0.0008386
atpH	0.213	0.112
codA	-0.057	1.0
pepQ	0.463	0.055
can	-0.037	0.695
fnr	0.093	0.797
fre	-1.695	0.018
infA	-0.208	0.108
fumA	0.87	5.152e-08
rpsP	-0.374	0.025
flgM	0.419	0.265
yidA	-0.168	0.637
ghrA	0.127	0.811
nuoF	0.308	0.034
rpsH	-0.428	0.009
ycaR	2.183	0.003
katE	2.122	9.258e-06
alaS	-0.2	0.243
kdsA	0.083	0.675
glnB	0.128	0.534
yhcB	0.225	0.207
damX	0.427	0.258
murF	-1.432	0.03
ydeN	2.369	2.678e-06
purH	-0.349	0.011
aroG	-0.818	5.914e-12
rcsB	0.257	0.102
artP	0.558	0.256
aceB	1.702	0.0002349
tar	0.692	2.458e-12
sopA	-0.068	1.0
ftsZ	0.192	0.075
rraA	0.782	0.057
ybiT	-0.137	0.786
acnA	1.633	6.88e-05
trpE	-0.624	0.047
yjcH	3.642	0.0002
leuS	-0.051	0.487
trpS	-0.054	0.437
metN	0.113	0.139
artI	0.332	0.114
argT	2.335	4.291e-12
sdhB	0.409	1.964e-08
trxA	0.287	0.033
lpxA	0.405	0.188
dnaJ	-0.72	0.24
fliC	0.612	0.0
thrS	0.025	0.91
tap	0.645	2.639e-08
potF	0.449	0.15
purT	-0.063	0.845
rplI	-0.484	2.756e-08
oppA	1.479	2.487e-14
yjeI	0.845	0.003
ndk	0.526	5.583e-08
pheT	-0.34	0.021
rplQ	-0.572	0.001
hisF	0.167	0.479
bglA	0.144	0.749
hisJ	-0.021	0.824
metL	-0.028	1.0
fbaB	2.92	0.001
fabZ	-0.218	0.237
lon	0.052	0.511
thiM	-0.627	0.137
thrC	-0.243	0.0004257
galE	-0.77	1.768e-07
yedE	1.402	0.013
rbsB	2.205	0.0
fabG	0.051	0.534
ybeD	0.336	0.143
guaA	-0.45	0.002
zwf	0.125	0.234
ygfZ	0.572	0.0006034
fliM	0.264	0.37
gyrA	0.085	0.283
yjcZ	0.922	0.0006598
gyrB	0.043	0.887
cheW	0.301	0.095
aroA	-0.902	0.067
aceF	-0.332	0.0003065
metQ	0.223	5.93e-05
yceD	0.082	0.949
ilvB	0.705	0.02
yjcD	0.331	0.817
hinT	0.369	0.059
cysJ	-0.568	9.987e-06
leuA	0.201	0.021
gpsA	1.198	0.014
pgk	-0.163	0.002
iscS	0.381	0.0004085
groL	0.257	1.126e-06
ycgR	0.132	0.517
rihC	-1.987	1.0
yrbD	0.071	1.0
skp	0.227	0.101
fkpA	0.45	0.008
elbB	0.686	0.022
sthA	0.818	1.3e-07
fadB	2.84	2.887e-15
hsdM	-0.19	0.534
atpF	0.144	0.244
yqjD	2.01	0.00024
ybeZ	0.029	1.0
rpsK	-0.35	0.003
cstA	2.363	4.261e-09
recA	0.397	0.012
mdoG	0.19	0.47
ahpF	0.06	0.977
grxC	0.334	0.045
speB	0.066	1.0
rpsS	-0.358	0.063
ffh	-0.318	0.468
yrbB	-0.045	1.0
glnH	2.37	0.0
manX	0.081	0.719
ycdY	1.066	0.103
ppiC	-0.21	0.363
hisH	0.016	0.981
arnA	0.18	0.263
ileS	-0.047	0.786
ygfB	-0.004	1.0
glnA	-0.496	2.342e-06
hisG	0.03	0.876
purU	-0.36	0.022
yeaD	-0.377	0.1
rplU	-0.432	0.007
