protein	z-value
rpiA	0.9180813949739217
aer	3.0708321516612904
elbB	2.93638346304283
metN	1.8303285651621597
purD	-2.1148336066908637
moaC	1.88809595752269
amn	1.9176732494361126
degQ	2.10543951248092
cheZ	6.272026486555783
msrB	2.941701163416666
cysP	-0.6634231380878174
panD	-1.8990358165753292
oppD	3.698472246933439
hinT	1.681768760698304
glgP	1.9986815656274266
pgm	1.2943984559264494
fbaA	-2.6102804104708532
recA	2.6453289084123064
thiE	-0.2159612717062264
rpsN	-1.725356158653088
murE	0.1233449683714422
deaD	-1.8994001349533836
rnb	-2.738275685744586
usg	0.8427343891359645
rpsO	-0.22051205871235183
bcp	-0.797351887865514
tyrA	1.5222599137653192
ompF	6.380355931127314
aroB	2.2916315457137655
pifC	2.572213582225702
zwf	1.9082263497877137
dppA	7.3487
pheT	-1.6769843802218583
pntB	-3.6938463332682137
yedF	2.0754322823736033
trpA	-3.2943836052657924
iscU	1.2898983689225463
thiD	0.38834670826740114
ychN	2.3686210537351693
ompC	2.810581960177636
modA	2.2843740461302686
fis	-4.485827652955417
rbsK	6.503541345566192
purE	0.5969809176538559
def	0.35108059289960103
ilvM	-0.6596579735281606
yceD	0.417778950673081
rplP	-2.640984171286052
ndpA	-1.0913939258655396
speB	-0.07364729833706851
moaB	0.6162414225316772
flgI	1.288957353258076
thyA	0.7361884811353057
ygfB	-0.6712339943694516
asnS	-4.064989933997893
hisH	-0.6490652341651947
gyrB	-0.3623572614954171
serC	-5.484707010676644
kdpB	0.4626271986663625
rcsB	0.8000329868384072
prfC	-1.1920387928081215
ppiD	1.007151521186439
fliY	3.935762829473741
fabA	0.09928171142517166
ybeD	1.5770115417820154
tolC	1.8603880782595361
guaB	-5.198988847225559
trpC	0.8192897486331793
ompA	-5.46999169491247
bamD	1.5786935494466505
pspA	1.9128343113140853
dapB	-2.9593030241503566
uspA	4.008977458252805
fnr	0.44671323424438125
codA	-0.7529430660132032
yicC	0.619540338596853
secY	-0.1633305165129473
yibN	0.7162089829051141
sucD	7.3487
yeaD	-0.13109060476010706
