protein	log2FC	p-val
dcyD	-0.389	0.217
tolB	0.175	0.294
ghrA	-0.409	0.021
kdpA	0.064	0.779
pheS	0.539	2.782e-06
ispG	-0.813	0.002
nadE	0.265	0.038
cysS	-0.021	0.961
potF	-0.054	1.0
lpp	0.677	8.574e-05
flgE	1.271	0.0001
glmS	0.999	1.566e-10
guaA	0.125	0.092
rplI	-0.182	0.004
yliJ	0.672	0.007
manX	0.951	8e-05
hns	-0.593	4.441e-16
thiB	0.304	0.007
tonB	0.38	0.041
pal	-0.44	1.708e-10
bioB	0.422	0.079
panB	0.213	0.117
ttcA	-0.743	0.068
nuoB	0.18	0.279
mipA	-0.368	0.023
asnS	0.5	5.204e-11
yhdL	-4.463	8e-05
ybgF	-0.843	0.0009441
hisP	0.453	0.029
ompT	0.15	0.003
atpE	0.595	0.002
ptsG	0.842	9.681e-14
grpE	-0.043	0.9
crr	0.363	4.191e-07
accB	0.202	0.012
htpG	0.225	0.0004048
thrC	-0.004	0.606
accA	-0.069	0.166
sodB	-0.167	0.028
yqjI	0.187	1.0
srmB	-0.435	0.053
ribH	0.659	1.807e-09
yhjE	1.187	2e-05
cspC	-0.194	0.009
leuS	0.115	0.009
clpA	0.33	0.156
dksA	-0.571	0.066
fklB	0.439	2.159e-05
glyQ	-0.135	0.823
upp	-0.304	1.19e-06
iscA	0.236	0.49
yjaH	0.303	0.107
rpsI	-0.186	0.085
hslU	0.139	0.07
rraA	-0.149	0.497
grxD	-0.682	0.0002
argE	0.438	0.0006606
sopA	-0.557	0.004
glmU	0.501	0.016
ilvD	-0.379	4.441e-16
serB	0.109	0.642
leuA	0.125	0.086
oxaA	0.197	0.183
cysA	0.827	0.0003
glnA	0.881	0.0
thiF	0.708	7.264e-05
rplY	-0.403	9.294e-08
trpA	0.813	0.001
traT	-0.296	0.016
yfiO	0.438	0.007
ygdK	-0.468	0.028
pmbA	-0.102	0.864
rpmI	-0.06	0.707
cyoA	0.106	0.214
ileS	-0.033	0.501
yeiP	0.265	0.355
ffh	-0.091	0.834
thrA	0.154	0.001
purE	0.214	0.172
mtnN	-0.346	0.073
ppa	0.091	0.236
ompF	-0.616	1.818e-10
cheY	3.204	3.216e-09
grxC	0.12	0.203
purC	1.174	3.331e-15
cysH	0.796	0.003
cheW	3.819	2e-05
secG	0.311	0.742
asd	2.238	1.332e-15
prfB	-0.253	0.039
glnB	0.235	0.034
acnB	0.171	2.728e-06
livK	-0.407	5.654e-09
artJ	0.768	6.55e-13
purH	0.959	7.55e-15
purM	0.594	3.277e-07
acnA	0.727	0.003
hisH	1.452	0.00014
rpsM	-0.438	3.684e-13
bcp	1.137	0.00014
rpsH	-0.464	1.72e-08
ribE	-0.024	1.0
rplJ	-0.297	0.0002382
uspA	1.464	2e-05
yjgF	0.584	0.001
rplD	-0.258	0.002
dppF	0.35	0.094
rcsB	-0.312	0.000984
cusR	-0.677	0.02
yfgM	0.161	0.464
metI	-0.062	0.66
rpmA	-0.068	0.4
rplV	-0.05	0.183
eno	0.574	8.882e-15
sfcA	0.155	1.0
trxA	0.266	0.002
rpsS	-0.254	0.01
fusA	-0.149	1.137e-06
frr	-0.186	0.027
proS	0.118	0.059
argG	0.958	0.0
accD	0.038	0.964
ptsI	0.569	0.0
trpE	0.2	0.328
iscS	-0.481	7.251e-08
rplP	0.099	0.09
leuC	0.915	0.0
guaB	0.387	3.327e-09
katG	1.437	0.00014
rplO	-0.167	0.0007488
rpmF	-0.355	0.0003394
dnaJ	-1.48	0.008
nusG	-0.355	0.003
ubiE	0.157	1.0
rplB	-0.167	0.003
tsr	3.3	0.0
yfgL	-0.112	0.864
aldA	1.913	1.996e-05
metH	0.569	0.011
skp	0.245	0.047
yhgF	0.675	0.306
sdhB	0.891	6.661e-16
kdsB	-0.072	0.674
gyrB	0.632	0.007
pth	-0.089	0.766
yniC	0.418	0.112
secD	-0.02	0.198
secB	0.016	0.823
hscB	-2.197	0.003
ackA	-0.419	2.039e-09
ompC	-1.076	5.398e-07
thiD	0.14	0.417
pepA	0.234	0.317
nuoC	-0.185	0.006
flgN	2.072	0.001
lpdA	0.267	2.226e-06
atpG	0.584	8.586e-05
minE	0.531	0.00036
mprA	0.24	0.178
gltA	0.963	0.0
acpP	-0.119	0.636
fliC	4.739	0.0
tsf	1.041	0.0
gltD	0.619	0.0
cysN	0.811	1.859e-11
rluC	-2.114	0.003
yfgD	0.845	0.005
atpF	0.39	0.003
crl	0.813	0.027
gcvP	0.689	0.006
sspA	-0.195	0.15
rpsT	-0.268	0.0007248
rplS	-0.35	3.936e-05
ydjA	0.009	1.0
cysJ	0.216	0.0002058
yicC	0.062	0.874
carB	0.707	0.0
metA	0.614	2.639e-07
nusA	-0.165	0.0005215
murA	-0.084	0.265
cysD	0.965	0.001
ydiJ	0.061	0.518
solA	0.49	0.002
ynfB	-0.334	0.178
gmhA	-0.106	0.117
tsx	-0.268	0.425
eda	0.103	0.323
minD	0.228	0.213
glyS	0.362	1.9e-07
pspA	-2.185	0.0001997
clpX	-0.411	0.0005981
speA	0.653	0.015
yjgD	-0.339	0.637
fis	-0.19	0.088
metJ	-0.439	0.092
argA	0.572	0.004
sucC	1.528	0.0
gdhA	1.033	0.0
nuoG	-0.095	0.273
atpC	0.441	0.002
kdpC	-0.184	0.255
yihI	0.646	0.019
lptB	0.175	0.197
pyrD	0.111	0.439
