protein	log2FC	p-val
sp|P37615|YHHM_ECOLI	1.018	3.235e-05
sp|P04982|RBSD_ECOLI	2.16	2.22e-16
sp|P37774|YECC_ECOLI	0.423	0.014
sp|P22939|ISPA_ECOLI	0.097	0.394
sp|P12281|MOEA_ECOLI	0.541	5.821e-07
sp|P60390|RSMH_ECOLI	0.657	8.894e-07
sp|P0AAC6|YCCA_ECOLI	-0.725	0.042
sp|P0AD57|ISPB_ECOLI	-0.008	0.538
sp|P40710|NLPE_ECOLI	0.864	0.003
sp|P0AE01|TRMJ_ECOLI	-0.404	0.005
sp|P0ABC7|HFLK_ECOLI	-0.288	0.016
sp|P0ACA3|SSPA_ECOLI	0.137	0.523
sp|Q46871|YQJH_ECOLI	0.219	0.039
sp|P33940|MQO_ECOLI	-0.665	0.002
sp|P37671|YIAJ_ECOLI	-0.05	0.917
sp|P0A853|TNAA_ECOLI	2.833	0.0
sp|P30871|3PASE_ECOLI	-0.061	0.668
sp|P27550|ACSA_ECOLI	2.919	0.0
sp|P39401|OPGB_ECOLI	-0.294	0.035
sp|P05852|TSAD_ECOLI	-0.146	0.739
sp|P00904|TRPGD_ECOLI	-0.447	1.686e-05
sp|P75830|MACA_ECOLI	-0.313	0.549
sp|P0AG20|RELA_ECOLI	-0.11	0.508
sp|P0A6R3|FIS_ECOLI	-1.499	1.042e-06
sp|P26602|UBIC_ECOLI	0.273	0.336
sp|P75791|YBIU_ECOLI	-0.514	0.002
sp|P56262|DLHH_ECOLI	0.875	6.308e-09
sp|P33232|LLDD_ECOLI	0.884	8.904e-14
sp|P76128|DDPA_ECOLI	2.231	1.647e-08
sp|P0A6J5|DADA_ECOLI	-1.428	2.971e-13
sp|P75809|YBJI_ECOLI	-0.368	0.154
sp|P0AG86|SECB_ECOLI	0.485	0.003
sp|P04335|FRSA_ECOLI	0.434	8.461e-05
sp|P0A6I9|COAE_ECOLI	0.484	0.022
sp|P0A9T0|SERA_ECOLI	-0.5	2.842e-08
sp|P11446|ARGC_ECOLI	-0.102	0.356
sp|P76272|YEBT_ECOLI	0.019	0.982
sp|P0AF98|LPTF_ECOLI	0.745	0.057
sp|P08957|T1MK_ECOLI	-0.316	0.011
sp|P0AE85|CPXP_ECOLI	0.247	0.088
sp|P0ADG7|IMDH_ECOLI	-0.534	7.014e-10
sp|P00895|TRPE_ECOLI	-0.345	4.208e-07
sp|P52697|6PGL_ECOLI	1.184	0.0
sp|P15038|HELD_ECOLI	-0.756	2.191e-05
sp|P39830|YBAL_ECOLI	0.873	0.0008755
sp|P24171|DCP_ECOLI	0.611	1.245e-09
sp|P77522|SUFB_ECOLI	-0.048	0.596
sp|P22333|ADD_ECOLI	1.936	0.0
sp|P0AFJ1|YJDM_ECOLI	0.922	0.0006883
sp|P0A7H6|RECR_ECOLI	-0.599	0.044
sp|P0ACX3|YDHR_ECOLI	0.802	3.449e-08
sp|P37666|GHRB_ECOLI	-0.271	0.000965
sp|P0AFQ7|YCFH_ECOLI	0.134	0.412
sp|P13035|GLPD_ECOLI	-0.118	0.793
sp|P52007|YECM_ECOLI	0.32	0.208
sp|P60752|MSBA_ECOLI	-0.542	0.004
sp|P22524|MUKE_ECOLI	1.059	2.36e-09
sp|P31808|YCIK_ECOLI	0.567	4.111e-06
sp|P08200|IDH_ECOLI	0.754	0.0
sp|P0ADA3|NLPD_ECOLI	0.509	0.007
sp|P77544|YFCF_ECOLI	0.785	2.069e-06
sp|P0AEB2|DACA_ECOLI	-0.465	3.153e-06
sp|P0AAP3|FRMR_ECOLI	0.063	0.933
sp|P0AG18|PURE_ECOLI	-0.426	0.022
sp|P0A6Z3|HTPG_ECOLI	-0.259	0.0002566
sp|P0ABS5|DNAG_ECOLI	0.515	0.857
sp|P0ADC1|LPTE_ECOLI	0.49	0.003
sp|P0A6Y1|IHFB_ECOLI	0.501	3.146e-05
sp|P16926|MREC_ECOLI	-0.308	0.221
sp|P0A759|NAGB_ECOLI	3.388	0.0
sp|P37329|MODA_ECOLI	0.669	9.827e-08
sp|P37349|DHAM_ECOLI	-0.196	0.183
sp|P21645|LPXD_ECOLI	0.526	0.008
sp|P0A9H5|BTUR_ECOLI	0.472	0.056
sp|P69503|APT_ECOLI	-0.747	1.911e-05
sp|P77739|YNIA_ECOLI	2.325	4.441e-16
sp|P0A6M8|EFG_ECOLI	-0.138	0.001
sp|P0A8E7|YAJQ_ECOLI	0.313	9.64e-05
sp|P77338|MSCK_ECOLI	-0.753	0.01
sp|P69228|BAER_ECOLI	0.357	0.005
sp|P08178|PUR5_ECOLI	0.253	0.035
sp|P05791|ILVD_ECOLI	-0.573	2.427e-10
sp|P21156|CYSD_ECOLI	-0.659	1.257e-06
sp|P03004|DNAA_ECOLI	0.311	0.125
sp|P37194|SLP_ECOLI	0.969	0.001
sp|P0A6C1|END4_ECOLI	0.061	0.855
sp|P0A7E9|PYRH_ECOLI	0.12	0.556
sp|P77754|SPY_ECOLI	0.855	5.11e-07
sp|P08244|PYRF_ECOLI	-0.304	0.03
sp|P77674|ABDH_ECOLI	3.893	0.0
sp|P76035|YCIW_ECOLI	0.528	0.027
sp|P0A917|OMPX_ECOLI	-0.109	0.242
sp|P00963|ASNA_ECOLI	-1.173	5.32e-12
sp|P52061|IXTPA_ECOLI	-0.221	0.128
sp|P0A6Q6|FABZ_ECOLI	0.255	0.011
sp|P43671|PQIB_ECOLI	0.02	0.889
sp|P28304|QOR1_ECOLI	1.854	0.0
sp|P77735|YAJO_ECOLI	1.132	0.0
sp|P0A7V8|RS4_ECOLI	-0.522	9.628e-08
sp|P45771|YRDD_ECOLI	1.042	0.0002563
sp|P00561|AK1H_ECOLI	-1.66	0.0
sp|P23894|HTPX_ECOLI	-0.398	0.171
sp|P25742|RFAQ_ECOLI	1.462	5.155e-06
sp|P42641|OBG_ECOLI	0.33	0.008
sp|P04994|EX7L_ECOLI	-0.146	0.688
sp|P0AAQ2|YAJD_ECOLI	-0.07	0.741
sp|P39356|YJHU_ECOLI	-0.35	0.182
sp|P42588|PAT_ECOLI	0.278	0.102
sp|P67095|YFCE_ECOLI	0.783	0.0003148
sp|P76569|YFGD_ECOLI	-0.011	0.892
sp|P0AG07|RPE_ECOLI	0.306	0.017
sp|P06610|BTUE_ECOLI	1.479	3.908e-14
sp|P76541|EUTL_ECOLI	0.799	0.386
sp|P30014|RNT_ECOLI	0.057	0.768
sp|P15042|DNLJ_ECOLI	-0.046	0.508
sp|P39160|UXUB_ECOLI	1.048	3.055e-06
sp|P0AG30|RHO_ECOLI	-0.275	0.0007353
sp|P0AAI9|FABD_ECOLI	-0.157	0.108
sp|P27127|RFAB_ECOLI	0.592	0.01
sp|P0ADV7|MLAC_ECOLI	0.88	7.338e-09
sp|P04951|KDSB_ECOLI	-0.232	0.019
sp|P77376|YDGJ_ECOLI	0.635	8.368e-05
sp|P0ABI8|CYOB_ECOLI	-1.065	6.573e-08
sp|P18390|YJJA_ECOLI	0.509	0.045
sp|P0AG90|SECD_ECOLI	-0.497	7.017e-07
sp|P21177|FADB_ECOLI	2.448	0.0
sp|P75797|GSIB_ECOLI	0.414	0.0006956
sp|P0A9J8|CMPDT_ECOLI	1.598	0.0
sp|P0ADS9|YGGN_ECOLI	0.864	0.0001126
sp|P0ADF8|ILVN_ECOLI	0.465	0.0009638
sp|P0A746|MSRB_ECOLI	0.595	0.0006336
sp|P69831|PTKC_ECOLI	-0.262	0.244
sp|P0ABS1|DKSA_ECOLI	0.231	0.042
sp|P29012|ALR2_ECOLI	-0.03	0.754
sp|P31802|NARP_ECOLI	0.469	0.012
sp|P13024|FDHE_ECOLI	0.906	1.045e-06
sp|P21507|SRMB_ECOLI	-0.023	0.605
sp|P11454|ENTF_ECOLI	0.045	0.611
sp|P00935|METB_ECOLI	0.192	0.016
sp|P0A9P4|TRXB_ECOLI	-0.328	0.0007921
