protein	log2FC	p-val
sp|P22564|RIHC_ECOLI	0.993	0.0001874
sp|P0A9B6|E4PD_ECOLI	-1.222	3.316e-06
sp|P75960|NPD_ECOLI	0.347	0.017
sp|P0ACG1|STPA_ECOLI	0.329	0.016
sp|P28903|NRDD_ECOLI	0.165	0.112
sp|P15042|DNLJ_ECOLI	-0.014	0.974
sp|P76503|FADI_ECOLI	0.274	0.048
sp|P0AE48|YTFP_ECOLI	0.136	0.553
sp|P04036|DAPB_ECOLI	-0.435	0.055
sp|P05041|PABB_ECOLI	-0.174	0.409
sp|P0AEZ9|MOAB_ECOLI	0.117	0.301
sp|P00887|AROH_ECOLI	0.126	0.237
sp|P29131|FTSN_ECOLI	-0.017	0.722
sp|P68919|RL25_ECOLI	0.227	0.028
sp|P15640|PUR2_ECOLI	0.187	0.043
sp|P0A6Y1|IHFB_ECOLI	0.626	0.0003851
sp|P0A9S3|GATD_ECOLI	0.882	6.863e-08
sp|P05020|PYRC_ECOLI	0.143	0.047
sp|P0A6A6|LEUC_ECOLI	0.557	7.829e-09
sp|P60716|LIPA_ECOLI	-0.115	0.318
sp|P0AE01|TRMJ_ECOLI	0.26	0.02
sp|Q46829|BGLA_ECOLI	0.146	0.387
sp|P0A991|ALF1_ECOLI	0.926	2.953e-12
sp|P0A953|FABB_ECOLI	0.278	0.0005588
sp|P0AAN5|YAIA_ECOLI	1.088	0.0005105
sp|P0A6R0|FABH_ECOLI	0.193	0.08
sp|P25738|MSYB_ECOLI	0.901	2.271e-05
sp|P0ACF0|DBHA_ECOLI	-0.024	0.929
sp|P64455|YDCY_ECOLI	-0.357	0.128
sp|P0A8I3|YAAA_ECOLI	0.2	0.104
sp|P77674|ABDH_ECOLI	2.411	0.0
sp|P0ABT5|DUSB_ECOLI	-0.54	0.207
sp|P0ACA1|YIBF_ECOLI	0.319	0.041
sp|P0A7Y0|RNC_ECOLI	-0.166	0.387
sp|P0A9W3|ETTA_ECOLI	-0.133	0.148
sp|P21169|DCOR_ECOLI	-0.301	0.305
sp|P31806|NNR_ECOLI	0.603	0.075
sp|P06610|BTUE_ECOLI	0.625	0.002
sp|P30847|BAES_ECOLI	0.131	0.595
sp|P26616|MAO1_ECOLI	0.15	0.042
sp|P10408|SECA_ECOLI	0.252	0.0004613
sp|P0ADV5|YHBW_ECOLI	0.176	0.71
sp|P30850|RNB_ECOLI	-0.58	3.318e-09
sp|P64534|RCNB_ECOLI	0.007	0.876
sp|P69441|KAD_ECOLI	0.05	0.318
sp|P0ABQ0|COABC_ECOLI	0.258	0.021
sp|P0A8W0|NANR_ECOLI	0.767	0.001
sp|P25553|ALDA_ECOLI	1.141	0.0
sp|P21156|CYSD_ECOLI	-0.456	0.0003179
sp|P00562|AK2H_ECOLI	-0.816	5.298e-12
sp|P0A9P6|DEAD_ECOLI	-0.499	4.16e-05
sp|P0AAF6|ARTP_ECOLI	-0.898	0.003
sp|P0AA47|PLAP_ECOLI	-0.509	0.151
sp|P0AGG8|TLDD_ECOLI	0.011	0.788
sp|P06999|PFKB_ECOLI	0.109	0.261
sp|P21889|SYD_ECOLI	-0.3	2.13e-05
sp|P76346|MTFA_ECOLI	0.705	0.0004598
sp|P27431|ROXA_ECOLI	-0.021	0.879
sp|P32144|CSQR_ECOLI	1.144	0.0006793
sp|P77293|GTRB_ECOLI	-0.04	0.977
sp|P24215|UXUA_ECOLI	0.803	4.097e-07
sp|P0AF93|RIDA_ECOLI	0.051	0.631
sp|P67603|YQFB_ECOLI	0.212	0.309
sp|P0A6F3|GLPK_ECOLI	0.06	0.809
sp|P27828|WECB_ECOLI	0.462	0.026
sp|P0A7X3|RS9_ECOLI	-0.148	0.578
sp|P02931|OMPF_ECOLI	0.405	1.107e-06
sp|P0A8G9|EX7S_ECOLI	-0.104	0.742
sp|P0AGI8|TRKA_ECOLI	0.449	0.043
sp|P0AC53|G6PD_ECOLI	-0.251	0.002
sp|P08956|T1RK_ECOLI	-0.195	0.338
sp|P75780|FIU_ECOLI	1.065	2.589e-13
sp|P0AFC3|NUOA_ECOLI	0.191	0.71
sp|P20099|BISC_ECOLI	-0.275	0.227
sp|Q46868|UBIK_ECOLI	0.224	0.116
sp|P0A8H6|YIHI_ECOLI	-0.053	0.695
sp|P52061|IXTPA_ECOLI	0.047	0.586
sp|P0AG48|RL21_ECOLI	-0.331	0.019
sp|P64483|YEAK_ECOLI	-0.133	0.389
sp|P0AFH6|OPPC_ECOLI	-0.603	0.025
sp|P37128|NUDK_ECOLI	-0.07	0.891
sp|P0AD33|YFCZ_ECOLI	1.101	2.96e-05
sp|P0A6T5|GCH1_ECOLI	-0.515	0.0004095
sp|P25745|MNMA_ECOLI	-0.022	0.635
sp|P0A988|DPO3B_ECOLI	-0.019	0.63
sp|P07012|RF2_ECOLI	-0.172	0.117
sp|P0AC19|FOLX_ECOLI	0.027	0.96
sp|P00861|DCDA_ECOLI	-0.319	0.319
sp|P0AFH2|OPPB_ECOLI	0.311	0.186
sp|P40191|PDXK_ECOLI	0.637	0.0008112
sp|P0ABJ9|CYDA_ECOLI	0.134	0.331
sp|P22729|LIVM_ECOLI	-0.508	0.059
sp|P0A8G3|UXAC_ECOLI	0.705	5.344e-06
sp|P0AF28|NARL_ECOLI	0.461	0.004
sp|P0A9T8|YBBA_ECOLI	-0.689	0.006
sp|P27838|CYAY_ECOLI	-0.73	0.353
sp|P0AFG6|ODO2_ECOLI	0.218	0.007
sp|P09148|GAL7_ECOLI	0.439	0.049
sp|P33136|OPGG_ECOLI	-0.233	0.013
sp|P69801|PTNC_ECOLI	1.226	0.0002238
sp|P43672|UUP_ECOLI	-0.368	0.003
sp|P21338|RNI_ECOLI	-0.208	0.568
sp|P76268|KDGR_ECOLI	0.282	0.016
sp|P0A9H1|MUG_ECOLI	0.689	0.065
sp|P0ACF4|DBHB_ECOLI	0.778	1.391e-05
sp|P0ADT5|YGIC_ECOLI	-0.933	2.323e-08
sp|P0AF70|YJEI_ECOLI	0.658	0.022
sp|P68187|MALK_ECOLI	0.876	0.0001962
sp|P33644|POLOX_ECOLI	0.176	0.265
sp|P0ADV1|LPTA_ECOLI	0.196	0.341
sp|P0ABS1|DKSA_ECOLI	0.129	0.331
sp|P0ACN4|ALLR_ECOLI	-0.373	0.259
sp|P0AB67|PNTB_ECOLI	-0.066	0.289
sp|P30177|YBIB_ECOLI	0.981	3.001e-09
sp|P77544|YFCF_ECOLI	0.173	0.427
sp|P0AG24|SPOT_ECOLI	0.107	0.386
sp|P36767|RDGC_ECOLI	0.167	0.101
sp|P32695|DUSA_ECOLI	0.54	0.008
sp|P45578|LUXS_ECOLI	-0.34	0.033
sp|P0A905|SLYB_ECOLI	-0.46	0.006
