protein	log2FC	p-val
sp|P06709|BIRA_ECOLI	0.116	0.763
sp|P0A9X9|CSPA_ECOLI	-0.225	0.162
sp|P75876|RLMI_ECOLI	-0.373	0.018
sp|P12994|YBHB_ECOLI	0.86	0.0001451
sp|P0ACP5|GNTR_ECOLI	0.207	0.122
sp|P45799|NUDE_ECOLI	0.242	0.034
sp|Q47622|SAPA_ECOLI	-0.378	0.235
sp|P0A6R0|FABH_ECOLI	-0.11	0.648
sp|P0A9F6|GCVA_ECOLI	0.228	0.422
sp|P0AAN9|IRAP_ECOLI	1.003	0.0008736
sp|P64540|YFCL_ECOLI	-0.081	0.823
sp|P0A738|MOAC_ECOLI	0.121	0.848
sp|P0C066|MLTC_ECOLI	0.724	0.012
sp|P08622|DNAJ_ECOLI	0.29	0.003
sp|P27431|ROXA_ECOLI	0.378	0.021
sp|P0ABS1|DKSA_ECOLI	0.168	0.049
sp|P0AE85|CPXP_ECOLI	0.988	1.833e-08
sp|P0AFK9|POTD_ECOLI	0.486	3.012e-08
sp|P11557|DAMX_ECOLI	0.058	0.517
sp|P0AA25|THIO_ECOLI	0.211	0.045
sp|P04805|SYE_ECOLI	-0.073	0.614
sp|P07623|METAS_ECOLI	-0.005	0.806
sp|P0ABS5|DNAG_ECOLI	1.026	0.002
sp|P76558|MAO2_ECOLI	0.72	0.0
sp|P0A9H1|MUG_ECOLI	0.514	0.128
sp|P00956|SYI_ECOLI	0.042	0.1
sp|P0AAI9|FABD_ECOLI	0.295	0.045
sp|P0AFM9|PSPB_ECOLI	0.361	0.035
sp|P76177|YDGH_ECOLI	0.059	0.172
sp|P67095|YFCE_ECOLI	-0.015	0.554
sp|P0A991|ALF1_ECOLI	1.172	0.0
sp|P62620|ISPG_ECOLI	-0.066	0.412
sp|P39406|RSMC_ECOLI	-0.012	0.752
sp|P31658|HCHA_ECOLI	0.716	3.909e-06
sp|P77754|SPY_ECOLI	0.213	0.131
sp|P15034|AMPP_ECOLI	0.609	5.448e-12
sp|P63386|MLAF_ECOLI	0.392	0.008
sp|P0AE06|ACRA_ECOLI	0.007	0.549
sp|P0AEZ3|MIND_ECOLI	0.539	6.667e-11
sp|P0AAG0|DPPD_ECOLI	0.157	0.184
sp|P39173|YEAD_ECOLI	-0.52	2.033e-05
sp|P22256|GABT_ECOLI	0.997	0.0
sp|P75849|GLO22_ECOLI	0.254	0.012
sp|P21156|CYSD_ECOLI	-0.618	5.276e-06
sp|P0AEM4|FLGM_ECOLI	0.581	0.007
sp|P0AB80|ILVE_ECOLI	-0.374	0.005
sp|P76541|EUTL_ECOLI	0.468	0.046
sp|P30843|BASR_ECOLI	0.404	0.013
sp|P0ACK2|AGAR_ECOLI	0.258	0.265
sp|P27829|WECC_ECOLI	-0.495	0.016
sp|P30958|MFD_ECOLI	-0.104	0.253
sp|P45470|YHBO_ECOLI	0.639	0.0001562
sp|P31473|RAVA_ECOLI	0.167	0.406
sp|P42593|FADH_ECOLI	1.567	0.0
sp|P43329|HRPA_ECOLI	-0.14	0.4
sp|P0AES6|GYRB_ECOLI	-0.014	0.963
sp|P00895|TRPE_ECOLI	-0.452	2.966e-08
sp|P0AGL7|RSME_ECOLI	-0.117	0.504
sp|P77781|MENI_ECOLI	-0.157	0.437
sp|P76403|YEGQ_ECOLI	-0.037	0.74
sp|P0A9D4|CYSE_ECOLI	0.304	0.094
sp|P0A6Q6|FABZ_ECOLI	-0.033	0.662
sp|P0AC19|FOLX_ECOLI	0.165	0.558
sp|P04335|FRSA_ECOLI	0.019	0.391
sp|P31808|YCIK_ECOLI	0.067	0.535
sp|P0A8E7|YAJQ_ECOLI	0.19	0.018
sp|P00968|CARB_ECOLI	-0.469	0.0
sp|P15723|DGTP_ECOLI	0.898	0.008
sp|P0A9W6|IBAG_ECOLI	0.834	0.022
sp|P0AEZ9|MOAB_ECOLI	0.275	0.0001021
sp|P23003|TRMA_ECOLI	-0.124	0.516
sp|P0A9M0|LON_ECOLI	0.014	0.612
sp|Q46851|GPR_ECOLI	1.622	0.0
sp|P22524|MUKE_ECOLI	0.474	0.0002392
sp|P0A9D2|GSTA_ECOLI	0.656	3.588e-05
sp|P0AGB6|RPOE_ECOLI	-0.184	0.281
sp|P0AFY6|SBMA_ECOLI	-0.59	0.135
sp|P31060|MODF_ECOLI	0.078	0.791
sp|P0A6T5|GCH1_ECOLI	-0.722	3.871e-08
sp|P0AGG0|THIL_ECOLI	0.162	0.193
sp|P0AFG6|ODO2_ECOLI	0.172	0.015
sp|P76491|5DNU_ECOLI	0.126	0.432
sp|P0AG07|RPE_ECOLI	0.11	0.189
sp|P0A7B1|PPK1_ECOLI	0.057	0.743
sp|P00579|RPOD_ECOLI	-0.201	0.109
sp|P23893|GSA_ECOLI	-0.031	0.966
sp|P22939|ISPA_ECOLI	0.205	0.35
sp|P75796|GSIA_ECOLI	0.1	0.884
sp|P76007|NHAP2_ECOLI	0.242	0.272
sp|P39377|IADA_ECOLI	-0.426	0.004
sp|P63417|YHBS_ECOLI	0.61	0.004
sp|P0AFB8|NTRC_ECOLI	-0.06	0.778
sp|P03841|MALM_ECOLI	1.268	0.0
sp|P0A940|BAMA_ECOLI	0.151	0.004
sp|P0AA16|OMPR_ECOLI	0.617	1.867e-08
sp|P06983|HEM3_ECOLI	0.496	0.008
sp|P0A6C1|END4_ECOLI	-0.064	0.41
sp|P0A6P9|ENO_ECOLI	-0.765	0.0
sp|P23908|ARGE_ECOLI	-0.305	0.029
sp|P06996|OMPC_ECOLI	0.111	0.029
sp|P76537|YFEY_ECOLI	0.252	0.11
sp|P0AG82|PSTS_ECOLI	0.308	0.009
sp|P0AFM6|PSPA_ECOLI	0.075	0.697
sp|P0A8L1|SYS_ECOLI	-0.022	0.851
sp|P0AEK4|FABI_ECOLI	-0.224	0.047
sp|P75957|LOLD_ECOLI	-0.112	0.414
sp|P64606|MLAE_ECOLI	0.013	0.613
sp|P0A998|FTNA_ECOLI	0.295	0.183
sp|P39265|ALSB_ECOLI	1.656	1.477e-10
sp|P08660|AK3_ECOLI	-0.47	2.999e-10
sp|P77293|GTRB_ECOLI	-0.177	0.316
sp|P02358|RS6_ECOLI	-0.161	0.44
sp|P0AG67|RS1_ECOLI	-0.22	5.351e-06
sp|P0ADS9|YGGN_ECOLI	0.234	0.275
sp|P0AFI2|PARC_ECOLI	-0.258	0.038
sp|P0A6K3|DEF_ECOLI	0.442	0.000847
sp|P37666|GHRB_ECOLI	0.123	0.205
sp|P22333|ADD_ECOLI	0.611	9.994e-06
sp|P76112|MNAT_ECOLI	0.356	0.112
sp|P76243|YEAO_ECOLI	0.267	0.222
sp|P21889|SYD_ECOLI	-0.021	0.839
sp|P0C037|PPNP_ECOLI	0.198	0.234
sp|P0A6A6|LEUC_ECOLI	0.151	0.007
sp|P06961|CCA_ECOLI	0.144	0.663
sp|P0A8C4|YGFB_ECOLI	0.822	0.0004248
sp|P0A9P4|TRXB_ECOLI	-0.123	0.458
sp|P0ABU0|MENB_ECOLI	0.412	0.0005054
sp|P31677|OTSA_ECOLI	0.967	2.922e-13
sp|P0A7Z4|RPOA_ECOLI	-0.032	0.256
sp|P39280|EPMB_ECOLI	-0.034	1.0
sp|P15373|PRLF_ECOLI	0.634	0.003
sp|P62623|ISPH_ECOLI	-0.033	0.551
sp|P0C0L2|OSMC_ECOLI	0.785	1.381e-07
sp|P0AG00|WZZE_ECOLI	-0.024	0.969
sp|P63284|CLPB_ECOLI	0.422	0.0
sp|P0ADX1|YHFA_ECOLI	-0.396	0.968
sp|P09169|OMPT_ECOLI	0.369	1.846e-06
sp|P0AB12|YCCF_ECOLI	-0.479	0.032
sp|P28304|QOR1_ECOLI	0.864	0.0
sp|P76113|CURA_ECOLI	0.746	1.49e-10
sp|P00452|RIR1_ECOLI	0.116	0.087
sp|P37689|GPMI_ECOLI	-1.325	0.0
sp|P22259|PCKA_ECOLI	1.617	0.0
sp|P32157|YIIM_ECOLI	0.917	2.592e-05
sp|P30178|HCXB_ECOLI	-0.232	0.012
sp|P0AEU0|HISJ_ECOLI	0.216	3.736e-05
sp|P77791|MAA_ECOLI	1.122	0.0002074
sp|P23827|ECOT_ECOLI	0.155	0.238
sp|P0A9X4|MREB_ECOLI	-0.296	0.0008217
sp|P0A698|UVRA_ECOLI	0.083	0.564
sp|P10384|FADL_ECOLI	2.242	0.0
sp|P0A8C1|YBJQ_ECOLI	1.309	6.901e-06
sp|P0A6L0|DEOC_ECOLI	0.42	0.002
sp|P0A9B2|G3P1_ECOLI	-0.839	0.0
sp|P0AD57|ISPB_ECOLI	0.953	0.0001919
sp|P0ABI8|CYOB_ECOLI	-0.341	0.008
sp|P0C0S1|MSCS_ECOLI	-0.731	3.653e-08
sp|P0AFG0|NUSG_ECOLI	0.085	0.439
sp|P23837|PHOQ_ECOLI	0.368	0.274
sp|P21829|YBHA_ECOLI	-0.1	0.521
sp|P36680|ZAPD_ECOLI	-0.067	0.785
sp|P0AEP3|GALU_ECOLI	0.04	0.784
sp|P0A8E1|YCFP_ECOLI	0.614	8.357e-06
sp|P60422|RL2_ECOLI	-0.548	4.721e-12
sp|P0AGG2|TESB_ECOLI	-0.175	0.155
sp|P78067|YNJE_ECOLI	0.942	8.952e-05
sp|P33218|YEBE_ECOLI	0.032	0.686
sp|P76038|PUUD_ECOLI	1.54	2.891e-06
sp|P33232|LLDD_ECOLI	0.61	1.917e-07
sp|P21179|CATE_ECOLI	1.195	0.0
sp|P0A9Q1|ARCA_ECOLI	0.704	1.412e-12
sp|P0ACA7|GSTB_ECOLI	0.247	0.003
sp|P21165|PEPQ_ECOLI	0.569	5.471e-13
sp|P0ADQ2|YIID_ECOLI	0.539	4.139e-07
sp|Q46857|DKGA_ECOLI	-0.266	0.01
sp|P0A8R7|YCJF_ECOLI	0.054	0.826
sp|P0A7F3|PYRI_ECOLI	0.13	0.321
sp|P0AB89|PUR8_ECOLI	-0.446	1.317e-09
sp|P0AE52|BCP_ECOLI	-0.195	0.092
sp|P0AEJ6|EUTB_ECOLI	0.525	0.044
sp|P0A9K7|PHOU_ECOLI	0.345	0.0009558
sp|P0AF98|LPTF_ECOLI	-0.251	0.435
sp|P0A9K3|PHOL_ECOLI	-0.11	0.166
sp|P0A749|MURA_ECOLI	-0.262	0.005
sp|P0AGA2|SECY_ECOLI	-0.358	0.033
sp|P0A7F6|SPED_ECOLI	-0.524	0.0001052
sp|P27306|STHA_ECOLI	0.822	8.171e-14
sp|P07604|TYRR_ECOLI	-0.031	0.973
sp|P0A7U7|RS20_ECOLI	-0.254	0.07
sp|P0AE82|CPXA_ECOLI	0.137	0.529
sp|P0AEZ1|METF_ECOLI	-0.513	2.281e-05
sp|P22564|RIHC_ECOLI	1.47	2.022e-09
sp|P63389|YHES_ECOLI	-0.228	0.162
sp|P0A8B2|YFCN_ECOLI	0.087	0.932
sp|P21170|SPEA_ECOLI	-0.199	0.08
sp|P0A9P6|DEAD_ECOLI	-0.6	2.819e-11
sp|P0AA43|RSUA_ECOLI	-0.127	0.183
sp|P76576|YFGM_ECOLI	0.195	0.016
sp|P08200|IDH_ECOLI	0.698	0.0
sp|P0A7I4|RF3_ECOLI	-0.085	0.426
sp|P0A8G6|NQOR_ECOLI	0.874	1.332e-15
sp|P0AGJ5|YFIF_ECOLI	0.106	0.097
sp|P15254|PUR4_ECOLI	-0.113	0.109
sp|P37177|PT1P_ECOLI	-0.057	0.321
sp|P05852|TSAD_ECOLI	-0.181	0.355
sp|P0A8A8|RIMP_ECOLI	-0.083	0.471
sp|P36979|RLMN_ECOLI	0.182	0.078
sp|P08373|MURB_ECOLI	-0.07	0.813
sp|P02918|PBPA_ECOLI	-0.303	0.095
sp|P0ACZ8|CUSR_ECOLI	0.218	0.065
sp|P26616|MAO1_ECOLI	0.139	0.072
sp|P12996|BIOB_ECOLI	-0.509	0.019
sp|P39286|RSGA_ECOLI	0.13	0.269
sp|P19934|TOLA_ECOLI	-0.272	0.361
sp|P08997|MASY_ECOLI	1.951	0.0
sp|P0A825|GLYA_ECOLI	-0.061	0.585
sp|P75830|MACA_ECOLI	-0.232	0.188
sp|P13024|FDHE_ECOLI	0.388	0.007
sp|P05194|AROD_ECOLI	-0.069	0.842
sp|P33030|YEIR_ECOLI	-0.099	0.428
sp|P0C054|IBPA_ECOLI	-0.152	0.575
sp|P08395|SPPA_ECOLI	-0.625	0.005
sp|P0C0L7|PROP_ECOLI	-0.804	4.397e-10
sp|P30859|ARTI_ECOLI	0.637	4.497e-10
sp|P39452|RIR3_ECOLI	0.158	0.418
sp|P0A6U5|RSMG_ECOLI	-0.309	0.031
sp|P0ADR6|RLMM_ECOLI	0.25	0.094
sp|P0A731|MGSA_ECOLI	-1.606	0.089
sp|P0AEX9|MALE_ECOLI	1.265	0.0
sp|P0AFJ1|YJDM_ECOLI	-0.546	0.101
sp|P0AGE0|SSB_ECOLI	0.5	2.558e-05
sp|P77611|RSXC_ECOLI	-0.229	0.303
sp|P0A8D6|YMDB_ECOLI	0.651	0.051
sp|P37773|MPL_ECOLI	-0.169	0.309
sp|P0A9P0|DLDH_ECOLI	0.214	1.296e-05
sp|P09158|SPEE_ECOLI	-0.085	0.537
sp|P0A7A2|GPMB_ECOLI	-0.025	0.864
sp|P0ADK8|YIBL_ECOLI	0.051	0.653
sp|P04949|FLIC_ECOLI	1.068	0.002
sp|P37760|RMLD_ECOLI	-0.176	0.316
sp|P24255|RP54_ECOLI	0.082	0.418
sp|P28861|FENR_ECOLI	-0.471	0.02
sp|P67910|HLDD_ECOLI	0.094	0.165
sp|P0AF12|MTNN_ECOLI	0.338	0.687
sp|P0AAT9|YBEL_ECOLI	0.676	9.345e-06
sp|P11454|ENTF_ECOLI	-0.047	0.832
sp|P24186|FOLD_ECOLI	-0.037	0.741
sp|P0AFC7|NUOB_ECOLI	0.599	4.612e-05
sp|P0ACR9|MPRA_ECOLI	-0.367	0.001
sp|P0A8Y5|YIDA_ECOLI	0.055	0.501
sp|P75914|YCDX_ECOLI	-0.077	0.459
sp|Q46868|UBIK_ECOLI	0.309	0.03
sp|P23857|PSPE_ECOLI	1.835	6.381e-11
sp|P27247|PLSX_ECOLI	0.416	0.081
sp|P0AAN5|YAIA_ECOLI	1.001	2.513e-05
sp|P0AFR4|YCIO_ECOLI	0.138	0.64
sp|P0ADV1|LPTA_ECOLI	0.297	0.017
sp|P0A7E5|PYRG_ECOLI	-0.334	2.361e-05
sp|P03018|UVRD_ECOLI	-0.257	0.081
sp|P02931|OMPF_ECOLI	0.436	3.529e-12
sp|P77376|YDGJ_ECOLI	-0.042	0.797
sp|P60723|RL4_ECOLI	-0.382	8.088e-06
sp|Q46948|YAJL_ECOLI	-0.127	0.742
sp|P68919|RL25_ECOLI	-0.205	0.188
sp|P0AB83|END3_ECOLI	0.294	0.268
sp|P69805|PTND_ECOLI	-0.071	0.563
sp|P63177|RLMB_ECOLI	-0.095	0.489
sp|P0A6V8|GLK_ECOLI	-0.286	0.028
sp|P12295|UNG_ECOLI	0.31	0.468
sp|P04825|AMPN_ECOLI	0.423	1.776e-15
sp|P0ACB2|HEM2_ECOLI	0.15	0.291
sp|P77739|YNIA_ECOLI	1.117	7.808e-09
sp|P16456|SELD_ECOLI	0.46	0.000178
sp|P0ABJ9|CYDA_ECOLI	-0.091	0.526
sp|P21513|RNE_ECOLI	0.015	0.589
sp|P07862|DDLB_ECOLI	0.328	0.013
sp|P46852|YHHW_ECOLI	0.693	2.134e-05
sp|P38521|YGGL_ECOLI	-0.012	0.985
sp|P40874|MTOX_ECOLI	0.08	0.247
sp|P0AC44|DHSD_ECOLI	0.446	0.042
sp|P13029|KATG_ECOLI	0.724	0.0
sp|P76550|YFFS_ECOLI	0.37	0.003
sp|P76341|HIUH_ECOLI	0.912	0.0005914
sp|P0ADF8|ILVN_ECOLI	0.741	1.985e-06
sp|P06149|DLD_ECOLI	0.328	8.782e-09
sp|P69411|RCSF_ECOLI	0.117	0.617
sp|P0AF36|ZAPB_ECOLI	-0.138	0.389
sp|P24188|YCEA_ECOLI	-0.547	0.243
sp|P0AC59|GLRX2_ECOLI	0.869	3.252e-11
sp|P77544|YFCF_ECOLI	0.303	0.067
sp|P32132|TYPA_ECOLI	-0.601	0.0
sp|P10378|ENTE_ECOLI	-0.135	0.671
sp|P0A8I5|TRMB_ECOLI	-0.247	0.356
sp|Q57261|TRUD_ECOLI	-0.001	0.482
sp|P07003|POXB_ECOLI	0.535	3.822e-06
sp|P31120|GLMM_ECOLI	-0.159	0.101
sp|P0AEX3|KGTP_ECOLI	0.569	0.0001464
sp|P69908|DCEA_ECOLI	0.684	0.01
sp|P0A6Z1|HSCA_ECOLI	-0.201	0.004
sp|P60472|UPPS_ECOLI	-0.281	0.101
sp|P76621|GLAH_ECOLI	1.514	2.353e-07
sp|P52108|RSTA_ECOLI	-0.211	0.095
sp|P21151|FADA_ECOLI	2.475	0.0
sp|P39838|RCSD_ECOLI	-0.053	0.479
sp|P0AG51|RL30_ECOLI	-0.342	0.029
sp|P62617|ISPF_ECOLI	-0.206	0.195
