protein	log2FC	p-val
sp|P0AE01|TRMJ_ECOLI	0.052	0.977
sp|P52074|GLCF_ECOLI	1.602	2.141e-06
sp|P75876|RLMI_ECOLI	-0.326	0.028
sp|P0A8P3|FETP_ECOLI	-0.135	0.287
sp|P51024|YAIL_ECOLI	-0.011	0.951
sp|P27242|WAAU_ECOLI	-0.067	0.284
sp|P04816|LIVK_ECOLI	-0.765	1.554e-15
sp|P0A917|OMPX_ECOLI	0.653	2.929e-10
sp|P0A8J8|RHLB_ECOLI	0.043	0.668
sp|P0AGE0|SSB_ECOLI	-0.482	0.000303
sp|P24232|HMP_ECOLI	-0.436	0.01
sp|P21362|YCIF_ECOLI	0.569	0.001
sp|P11557|DAMX_ECOLI	0.088	0.376
sp|P0AEK2|FABG_ECOLI	-0.006	0.829
sp|P0AD33|YFCZ_ECOLI	0.018	0.914
sp|P0AB12|YCCF_ECOLI	-0.219	0.452
sp|P77454|GLSA1_ECOLI	2.762	1.625e-09
sp|P08660|AK3_ECOLI	1.163	0.0
sp|P52095|DCLZ_ECOLI	-0.047	0.969
sp|Q47622|SAPA_ECOLI	-0.066	0.766
sp|P0AGK8|ISCR_ECOLI	-0.021	0.143
sp|P37626|YHII_ECOLI	0.531	1.654e-05
sp|P0AFQ7|YCFH_ECOLI	0.183	0.311
sp|P33362|YEHZ_ECOLI	-0.369	0.0006538
sp|P0AEY5|MDAB_ECOLI	0.106	0.403
sp|P77544|YFCF_ECOLI	0.173	0.297
sp|P0A6W5|GREA_ECOLI	0.131	0.038
sp|P68688|GLRX1_ECOLI	0.347	0.217
sp|P10371|HIS4_ECOLI	-0.402	0.0001107
sp|P08244|PYRF_ECOLI	-0.367	0.0003356
sp|P13009|METH_ECOLI	-0.159	0.0007864
sp|P25437|FRMA_ECOLI	-0.069	0.545
sp|Q47150|DINJ_ECOLI	-0.051	0.614
sp|P0AAC8|ISCA_ECOLI	-0.178	0.21
sp|P0AGJ5|YFIF_ECOLI	0.167	0.187
sp|P0A6Z1|HSCA_ECOLI	0.025	0.976
sp|P37313|DPPF_ECOLI	-0.493	3.215e-06
sp|P64554|QUEE_ECOLI	0.39	0.042
sp|P0AAB6|GALF_ECOLI	0.172	0.058
sp|P77302|DGCM_ECOLI	0.253	0.107
sp|P36548|AMIA_ECOLI	-0.605	0.0005466
sp|P0A6Z3|HTPG_ECOLI	-0.116	0.02
sp|P62615|ISPE_ECOLI	0.128	0.495
sp|P0A6P9|ENO_ECOLI	-0.002	0.96
sp|P13857|RIML_ECOLI	0.61	0.016
sp|P0AG78|SUBI_ECOLI	2.115	0.0
sp|P25738|MSYB_ECOLI	0.659	5.427e-06
sp|P0AGG4|THIO2_ECOLI	0.046	1.0
sp|P0AGJ2|TRMH_ECOLI	-0.374	0.117
sp|P0AD10|YECJ_ECOLI	-0.028	0.886
sp|P0A6J5|DADA_ECOLI	1.02	8.882e-16
sp|P77625|HXPA_ECOLI	0.313	0.027
sp|P52060|YGGU_ECOLI	0.122	0.733
sp|P37757|YDDE_ECOLI	-0.264	0.219
sp|P28861|FENR_ECOLI	0.168	0.478
sp|P0ADV5|YHBW_ECOLI	0.148	0.432
sp|P06986|HIS8_ECOLI	-0.225	0.026
sp|P0DMC7|RCSB_ECOLI	-0.232	0.039
sp|P10907|UGPC_ECOLI	-0.703	0.005
sp|P0AEZ1|METF_ECOLI	0.479	1.109e-05
sp|P10100|RLPA_ECOLI	0.062	0.898
sp|P76329|MPGP_ECOLI	0.752	0.0003055
sp|P00960|SYGA_ECOLI	-0.109	0.152
sp|P75864|RLMKL_ECOLI	0.058	0.82
sp|P0AG00|WZZE_ECOLI	-0.216	0.086
sp|P0A6F9|CH10_ECOLI	0.033	0.821
sp|P07762|GLGB_ECOLI	0.339	0.001
sp|P00550|PTM3C_ECOLI	-0.215	0.003
sp|P75791|YBIU_ECOLI	-0.164	0.181
sp|P08957|T1MK_ECOLI	-0.643	3.395e-11
sp|P0A9W0|ULAR_ECOLI	-0.102	0.461
sp|P0A937|BAME_ECOLI	0.097	0.679
sp|P0AFJ5|PHOB_ECOLI	-0.236	0.473
sp|P06961|CCA_ECOLI	0.29	0.079
sp|P15770|AROE_ECOLI	0.433	0.244
sp|P75867|LONH_ECOLI	0.128	0.398
sp|P24228|DACB_ECOLI	-0.272	0.329
sp|P0ACB2|HEM2_ECOLI	0.368	0.04
sp|P0AF96|TABA_ECOLI	0.494	1.394e-09
sp|P77202|DSBG_ECOLI	-0.048	0.894
sp|P76576|YFGM_ECOLI	-0.016	0.548
sp|P0A738|MOAC_ECOLI	0.298	0.037
sp|P12995|BIOA_ECOLI	0.462	0.006
sp|P0A8G6|NQOR_ECOLI	0.606	2.377e-10
sp|P0AAD6|SDAC_ECOLI	-0.711	0.012
sp|P64461|LSRG_ECOLI	-0.502	0.059
sp|P25535|UBII_ECOLI	-0.185	0.154
sp|P0ABV6|TOLR_ECOLI	-0.651	0.023
sp|P0A7A2|GPMB_ECOLI	-0.151	0.165
sp|P0A8J4|YBED_ECOLI	-0.229	0.248
sp|P77695|GNSB_ECOLI	0.079	0.395
sp|P24555|PTRB_ECOLI	-0.361	0.124
sp|P00861|DCDA_ECOLI	-0.313	0.019
sp|P69797|PTNAB_ECOLI	0.407	2.758e-06
sp|P0ADG4|SUHB_ECOLI	-0.236	0.05
sp|P26281|HPPK_ECOLI	-0.291	0.302
sp|P0AFF6|NUSA_ECOLI	-0.142	0.036
sp|P32173|MOBA_ECOLI	0.244	0.142
sp|P0A8W8|YFBU_ECOLI	-0.003	0.923
sp|P06610|BTUE_ECOLI	0.336	0.047
sp|P63284|CLPB_ECOLI	0.356	4.441e-15
