protein	log2FC	p-val
sp|P23305|YIGA_ECOLI	-0.108	0.791
sp|P32144|CSQR_ECOLI	-0.215	0.303
sp|P0ABF6|CDD_ECOLI	0.403	0.02
sp|P0A6I3|COAA_ECOLI	0.129	0.544
sp|P05852|TSAD_ECOLI	-0.371	0.214
sp|P77795|YDCT_ECOLI	0.857	0.004
sp|P0ADZ7|YAJC_ECOLI	0.47	0.22
sp|P0A759|NAGB_ECOLI	1.887	0.0
sp|P0A7U7|RS20_ECOLI	-0.279	0.104
sp|P16926|MREC_ECOLI	0.207	0.449
sp|P0AAB4|UBID_ECOLI	0.279	0.101
sp|P0AB80|ILVE_ECOLI	-0.374	0.002
sp|P0AFV4|MEPS_ECOLI	2.695	1.332e-15
sp|P23886|CYDC_ECOLI	-0.047	0.783
sp|P0A8G0|UVRC_ECOLI	0.078	1.0
sp|P64506|YEBY_ECOLI	0.098	0.913
sp|P0AEX9|MALE_ECOLI	-0.097	0.06
sp|Q46893|ISPD_ECOLI	0.446	0.036
sp|P0A734|MINE_ECOLI	-0.029	0.841
sp|P0A8Y5|YIDA_ECOLI	-0.571	4.45e-06
sp|P08312|SYFA_ECOLI	0.506	3.371e-06
sp|P07639|AROB_ECOLI	0.266	0.253
sp|P0AFP6|GCH1L_ECOLI	0.668	2.956e-05
sp|P0A722|LPXA_ECOLI	0.235	0.125
sp|P52643|LDHD_ECOLI	0.358	0.03
sp|P17952|MURC_ECOLI	0.204	0.113
sp|P28903|NRDD_ECOLI	0.196	0.287
sp|P0A6U8|GLGA_ECOLI	-0.17	0.251
sp|P0A959|ALAA_ECOLI	0.073	0.773
sp|P21367|YCAC_ECOLI	1.555	1.554e-15
sp|P0ACP5|GNTR_ECOLI	0.246	0.137
sp|P0A8W5|YQGE_ECOLI	-0.471	0.011
sp|P24171|DCP_ECOLI	0.26	0.005
sp|P23857|PSPE_ECOLI	-0.646	0.007
sp|P76256|TSAB_ECOLI	-0.285	0.098
sp|P39310|YTFB_ECOLI	-0.402	0.424
sp|P69811|PTFAH_ECOLI	-0.573	3.803e-07
sp|P0A6N4|EFP_ECOLI	-0.304	0.01
sp|P07003|POXB_ECOLI	0.753	2.693e-09
sp|P0A717|KPRS_ECOLI	-0.026	0.136
sp|P69228|BAER_ECOLI	0.617	0.006
sp|P09029|PURK_ECOLI	0.015	0.872
sp|P0A761|NANE_ECOLI	0.225	0.253
sp|P42593|FADH_ECOLI	0.852	1.32e-10
sp|P0A6P5|DER_ECOLI	-0.201	0.122
sp|P0A7M9|RL31_ECOLI	-0.251	0.481
sp|P76658|HLDE_ECOLI	0.179	0.153
sp|P23837|PHOQ_ECOLI	0.081	0.967
sp|P0AEI4|RIMO_ECOLI	-0.329	0.06
sp|P45395|KDSD_ECOLI	0.167	0.98
sp|P0A8A4|PSRP_ECOLI	0.95	7.105e-05
sp|P31663|PANC_ECOLI	0.498	0.0003869
sp|P0A7T3|RS16_ECOLI	0.016	0.875
sp|P16676|CYSA_ECOLI	-0.375	0.002
