protein	log2FC	p-val
sp|P0A7J0|RIBB_ECOLI	0.17	0.561
sp|P0A746|MSRB_ECOLI	0.959	8.751e-07
sp|P0A7B8|HSLV_ECOLI	-0.017	0.383
sp|P0A6X3|HFQ_ECOLI	0.421	0.05
sp|P0AD57|ISPB_ECOLI	-0.558	0.011
sp|P0A8G0|UVRC_ECOLI	0.395	0.054
sp|P0ACB0|DNAB_ECOLI	0.112	0.141
sp|P0AG44|RL17_ECOLI	-0.76	6.372e-11
sp|P0AF12|MTNN_ECOLI	-0.064	0.226
sp|P37760|RMLD_ECOLI	-0.802	1.324e-09
sp|P0ADG4|SUHB_ECOLI	-0.595	3.466e-06
sp|P77791|MAA_ECOLI	1.397	3.14e-05
sp|P30843|BASR_ECOLI	1.148	6.52e-05
sp|P0A879|TRPB_ECOLI	-0.138	0.002
sp|P0ABI4|CORA_ECOLI	0.302	0.119
sp|P0ABT2|DPS_ECOLI	0.803	1.177e-13
sp|P0AAP3|FRMR_ECOLI	0.077	0.702
sp|P0ABS5|DNAG_ECOLI	1.549	3.905e-05
sp|P68206|YJBJ_ECOLI	2.575	2.578e-06
sp|P0A9Q5|ACCD_ECOLI	0.055	0.228
sp|P0AFI7|PDXH_ECOLI	0.616	0.015
sp|P12996|BIOB_ECOLI	-0.79	8.708e-06
sp|P46118|HEXR_ECOLI	1.929	3.577e-11
sp|P0A7E9|PYRH_ECOLI	0.14	0.341
sp|P0C960|EMTA_ECOLI	-0.924	0.0006207
sp|P61517|CAN_ECOLI	-0.056	0.201
sp|Q47690|MMUM_ECOLI	0.013	0.97
sp|P77781|MENI_ECOLI	-0.188	0.136
sp|P27431|ROXA_ECOLI	0.497	0.0007082
sp|P30177|YBIB_ECOLI	0.285	0.014
sp|P0A8C4|YGFB_ECOLI	0.215	0.927
sp|P69411|RCSF_ECOLI	0.414	0.002
sp|P0AGE9|SUCD_ECOLI	0.74	8.793e-13
sp|P60785|LEPA_ECOLI	-0.117	0.08
sp|P0AFJ1|YJDM_ECOLI	1.342	0.006
sp|P0AEB2|DACA_ECOLI	-0.662	4.562e-11
sp|P0ABC7|HFLK_ECOLI	0.045	0.738
sp|P25522|MNME_ECOLI	0.367	0.007
sp|P76034|YCIT_ECOLI	0.871	0.002
sp|P55734|YGAP_ECOLI	1.901	1.838e-08
sp|P76172|YNFD_ECOLI	0.673	0.107
sp|P0C018|RL18_ECOLI	-0.599	3.108e-07
sp|P0ADZ7|YAJC_ECOLI	0.414	0.102
sp|P75838|YCAO_ECOLI	-2.066	6.348e-11
sp|P24203|YJIA_ECOLI	0.771	4.479e-05
sp|P0AGG8|TLDD_ECOLI	0.163	0.618
sp|P38521|YGGL_ECOLI	1.504	7.107e-06
sp|P00888|AROF_ECOLI	-0.361	9.15e-05
sp|P0A9L5|PPIC_ECOLI	0.366	0.856
sp|P77552|YDHQ_ECOLI	-0.033	0.916
sp|P36929|RSMB_ECOLI	0.757	0.653
sp|P0ADN6|YIFL_ECOLI	0.062	0.679
sp|P76403|YEGQ_ECOLI	-0.841	1.412e-08
sp|P75867|LONH_ECOLI	0.668	0.04
