protein	log2FC	p-val
sp|P0AAC8|ISCA_ECOLI	-0.415	0.226
sp|P0A8I3|YAAA_ECOLI	-0.25	0.074
sp|P00861|DCDA_ECOLI	0.044	0.904
sp|P30177|YBIB_ECOLI	-0.641	0.001
sp|P77739|YNIA_ECOLI	0.492	0.004
sp|P27434|RODZ_ECOLI	0.141	0.232
sp|P26365|AMIB_ECOLI	-0.217	0.41
sp|P0A9V1|LPTB_ECOLI	-0.152	0.005
sp|P0ABN5|DCUA_ECOLI	0.004	0.445
sp|P76507|YFDI_ECOLI	-1.077	0.008
sp|P46852|YHHW_ECOLI	0.206	0.344
sp|P0AEG6|DSBC_ECOLI	-0.723	3.185e-05
sp|P0AEW9|K1PF_ECOLI	-0.078	0.435
sp|P0A912|PAL_ECOLI	0.322	0.0002927
sp|P0AC86|PHSG_ECOLI	0.577	0.007
sp|P15977|MALQ_ECOLI	-0.036	0.998
sp|P0A6U3|MNMG_ECOLI	0.213	0.426
sp|P10902|NADB_ECOLI	-0.445	0.0005405
sp|P04968|ILVA_ECOLI	-0.172	0.025
sp|P0A9S7|LIVG_ECOLI	0.75	7.729e-08
sp|P0A7B1|PPK1_ECOLI	0.387	0.0001085
sp|P0AAI5|FABF_ECOLI	0.349	0.197
sp|P0ADP9|YIHD_ECOLI	-0.104	0.518
sp|P0A9J0|RNG_ECOLI	0.192	0.027
sp|P0ACR9|MPRA_ECOLI	0.713	0.0006302
sp|P0AED0|USPA_ECOLI	0.035	0.287
sp|P0A825|GLYA_ECOLI	-0.293	2.892e-09
sp|P05791|ILVD_ECOLI	-0.509	8.343e-11
sp|P0A7V8|RS4_ECOLI	-0.07	0.32
sp|P0AF90|RRAB_ECOLI	-0.576	0.146
sp|P0A6Y1|IHFB_ECOLI	-0.338	0.004
sp|P75694|YAHO_ECOLI	0.685	1.021e-05
sp|P31802|NARP_ECOLI	1.242	3.797e-05
sp|P10371|HIS4_ECOLI	-0.48	2.751e-06
sp|P32695|DUSA_ECOLI	-0.685	0.0002449
sp|P0A7L8|RL27_ECOLI	0.012	0.939
sp|P00888|AROF_ECOLI	-0.559	3.926e-08
sp|P80668|FEAB_ECOLI	2.417	0.0002487
sp|P16703|CYSM_ECOLI	-0.1	0.171
sp|P21513|RNE_ECOLI	-0.017	0.111
sp|P39176|ERFK_ECOLI	0.369	0.13
sp|P0AAR3|YBAK_ECOLI	-0.613	0.002
sp|P0A855|TOLB_ECOLI	-0.35	3.101e-06
sp|P0A8V6|FADR_ECOLI	0.159	0.559
sp|P0A6L4|NANA_ECOLI	1.596	5.881e-08
sp|P69829|PTSN_ECOLI	0.166	0.038
sp|P0AGA2|SECY_ECOLI	0.577	0.017
sp|P21888|SYC_ECOLI	0.026	0.667
sp|P0A6K3|DEF_ECOLI	-0.664	3.943e-05
sp|P76402|YEGP_ECOLI	0.811	4.887e-05
sp|P37595|IAAA_ECOLI	0.292	0.148
sp|P0ACE3|HHA_ECOLI	-0.275	0.011
sp|P0AD05|YECA_ECOLI	-0.173	0.551
sp|P60293|MUKF_ECOLI	0.614	0.0001689
sp|P69451|LCFA_ECOLI	2.752	0.0
sp|P76002|PLIG_ECOLI	0.135	0.2
sp|P0A6S7|GPDA_ECOLI	0.758	4.587e-08
sp|P31547|METI_ECOLI	-0.563	0.11
sp|P0A6X1|HEM1_ECOLI	0.481	0.09
sp|P0ABU5|ELBB_ECOLI	0.777	2.099e-08
sp|P37648|YHJJ_ECOLI	-0.448	0.002
sp|P0A796|PFKA_ECOLI	-0.741	3.214e-10
sp|P0A7E1|PYRD_ECOLI	0.073	0.158
sp|P30847|BAES_ECOLI	0.18	0.785
sp|P0AG30|RHO_ECOLI	-0.057	0.848
sp|P26612|AMY2_ECOLI	0.438	0.013
sp|P0A8B5|YBAB_ECOLI	-0.5	2.491e-05
sp|P77257|LSRA_ECOLI	1.631	0.005
sp|P76116|YNCE_ECOLI	0.26	4.54e-05
sp|P0AG24|SPOT_ECOLI	0.307	0.078
sp|P0A8V2|RPOB_ECOLI	-0.051	0.139
sp|P12995|BIOA_ECOLI	-0.065	0.494
sp|P0A6Z3|HTPG_ECOLI	0.415	1.436e-11
sp|P62615|ISPE_ECOLI	0.529	0.003
sp|P25526|GABD_ECOLI	0.611	6.862e-11
sp|P02925|RBSB_ECOLI	2.349	0.0
sp|P0AG59|RS14_ECOLI	-0.134	0.644
sp|P0AA31|YEDF_ECOLI	2.42	7.387e-08
sp|P77718|THII_ECOLI	0.164	0.243
sp|P21889|SYD_ECOLI	-0.088	0.054
sp|P77689|SUFD_ECOLI	0.26	0.089
sp|P0ABP8|DEOD_ECOLI	0.598	5.7e-07
sp|P00561|AK1H_ECOLI	-0.454	0.0
sp|P0AD49|YFIA_ECOLI	0.582	0.0005626
sp|P33219|YEBF_ECOLI	0.395	0.033
sp|P77239|CUSB_ECOLI	0.375	3.896e-05
sp|P77721|YDJF_ECOLI	0.861	0.033
sp|P20083|PARE_ECOLI	0.298	0.133
sp|P77214|CUSF_ECOLI	0.407	0.001
sp|Q46868|UBIK_ECOLI	0.151	0.019
sp|P0A8M6|YEEX_ECOLI	-0.836	6.21e-09
sp|P0AAF6|ARTP_ECOLI	0.157	0.239
sp|P76330|DGCQ_ECOLI	0.878	0.002
sp|P13445|RPOS_ECOLI	-0.317	0.731
sp|P29745|PEPT_ECOLI	0.029	0.153
sp|Q46948|YAJL_ECOLI	-0.119	0.243
sp|P0AC38|ASPA_ECOLI	4.786	0.0
sp|P76193|YNHG_ECOLI	-0.718	0.0009275
sp|P0AAS0|YLAC_ECOLI	0.264	0.751
sp|P0A8R7|YCJF_ECOLI	1.013	0.0008338
sp|P0ACB0|DNAB_ECOLI	-0.044	0.814
sp|P0AEU7|SKP_ECOLI	0.044	0.448
sp|P04816|LIVK_ECOLI	0.488	8.863e-08
sp|P37689|GPMI_ECOLI	-1.944	0.0
sp|P77475|YQAB_ECOLI	-0.129	0.544
sp|P24202|MRR_ECOLI	0.543	0.0003006
sp|P0ABA4|ATPD_ECOLI	0.38	5.818e-06
sp|P63386|MLAF_ECOLI	0.239	0.215
sp|P75914|YCDX_ECOLI	-0.105	0.835
sp|P35340|AHPF_ECOLI	0.055	0.265
sp|P0A862|TPX_ECOLI	0.477	6.433e-05
sp|P0C0S1|MSCS_ECOLI	-0.552	0.0001135
sp|P69425|TATB_ECOLI	0.088	0.419
