protein	log2FC	p-val
sp|P77150|PDXY_ECOLI	0.874	0.000346
sp|P22939|ISPA_ECOLI	0.235	0.275
sp|P0ABJ1|CYOA_ECOLI	0.36	5.933e-05
sp|P0AA04|PTHP_ECOLI	-0.136	0.427
sp|P75954|YCFS_ECOLI	-0.769	0.032
sp|P0A8P3|FETP_ECOLI	-0.224	0.015
sp|P09053|AVTA_ECOLI	0.295	0.013
sp|P0AEM0|FKBX_ECOLI	-0.329	0.617
sp|P0AFT2|YECS_ECOLI	0.113	0.833
sp|P0A7W1|RS5_ECOLI	-0.344	4.917e-05
sp|P0A8F0|UPP_ECOLI	-0.564	2.531e-11
sp|P26648|FTSP_ECOLI	0.042	0.967
sp|P31658|HCHA_ECOLI	1.21	9.083e-12
sp|P06721|METC_ECOLI	-0.169	0.844
sp|P76491|5DNU_ECOLI	0.187	0.261
sp|P0A9J8|CMPDT_ECOLI	0.066	0.444
sp|P02931|OMPF_ECOLI	-0.274	5.343e-05
sp|P15082|SRLR_ECOLI	0.492	0.051
sp|P24203|YJIA_ECOLI	-0.217	0.068
sp|P77434|ALAC_ECOLI	0.368	0.063
sp|P0ACG1|STPA_ECOLI	0.186	0.504
sp|P0AFZ1|SSEB_ECOLI	0.331	0.262
sp|P0ACA3|SSPA_ECOLI	0.172	0.14
sp|P0AD05|YECA_ECOLI	0.66	0.0001681
sp|P0AD12|YEEZ_ECOLI	0.073	0.599
sp|P0ADY1|PPID_ECOLI	-0.169	0.0005694
sp|P0A9M5|XGPT_ECOLI	0.295	0.103
sp|P23869|PPIB_ECOLI	-0.133	0.058
sp|P15047|ENTA_ECOLI	-0.144	0.092
sp|P78055|FSAA_ECOLI	-0.208	0.341
sp|P0AGA6|UHPA_ECOLI	0.163	0.884
sp|P21888|SYC_ECOLI	-0.24	0.103
sp|P65367|YQCA_ECOLI	0.474	0.008
sp|P77258|NEMA_ECOLI	-0.155	0.403
sp|P0ADP0|YIGB_ECOLI	-0.076	0.619
sp|P0C0K3|SRKA_ECOLI	-0.036	0.852
sp|P0A921|PA1_ECOLI	-0.048	0.781
sp|P08368|CREB_ECOLI	0.462	0.053
sp|P23538|PPSA_ECOLI	1.129	0.0
sp|P75780|FIU_ECOLI	-0.193	0.168
sp|P0ADK8|YIBL_ECOLI	-1.115	0.0001752
sp|P0A7W7|RS8_ECOLI	-0.415	8.414e-08
sp|P0AB80|ILVE_ECOLI	-0.178	0.421
sp|P0A6I0|KCY_ECOLI	0.036	0.989
sp|P0AEM4|FLGM_ECOLI	-0.994	0.0002787
sp|P77689|SUFD_ECOLI	0.139	0.563
sp|P77717|YBAY_ECOLI	0.713	5.651e-05
sp|P61517|CAN_ECOLI	0.561	2.306e-06
sp|P0CG19|RNPH_ECOLI	-1.187	0.0002598
sp|P11454|ENTF_ECOLI	-0.589	0.003
sp|P76034|YCIT_ECOLI	0.191	0.346
sp|P08506|DACC_ECOLI	-0.298	0.0002921
sp|P0AG80|UGPB_ECOLI	0.463	5.846e-06
sp|P0A7J3|RL10_ECOLI	-0.337	0.0003879
sp|P0A9K9|SLYD_ECOLI	0.133	0.89
sp|P28248|DCD_ECOLI	0.331	0.066
sp|P0ADS6|YGGE_ECOLI	-0.102	0.473
sp|P0A9I3|GCVR_ECOLI	0.416	0.003
sp|P75820|AMID_ECOLI	-0.618	0.043
sp|P0A8W5|YQGE_ECOLI	-0.006	0.564
sp|P64596|YRAP_ECOLI	-0.188	0.185
sp|P37665|YIAD_ECOLI	-0.68	0.011
sp|P02924|ARAF_ECOLI	0.786	4.815e-07
sp|P24186|FOLD_ECOLI	0.1	0.682
sp|P0A8Y5|YIDA_ECOLI	-0.728	3.8e-09
sp|P0AAB4|UBID_ECOLI	0.035	0.407
sp|P0A991|ALF1_ECOLI	1.025	0.0
sp|P15038|HELD_ECOLI	0.177	0.432
sp|P0C0L7|PROP_ECOLI	0.115	0.516
sp|P0AFF6|NUSA_ECOLI	-0.101	0.088
sp|P04983|RBSA_ECOLI	0.205	0.033
sp|P60240|RAPA_ECOLI	-0.01	0.781
sp|P23857|PSPE_ECOLI	-0.078	0.528
sp|P05042|FUMC_ECOLI	1.002	0.0
sp|P0AEE1|DCRB_ECOLI	-0.076	0.509
sp|P0AFD6|NUOI_ECOLI	-0.337	0.005
sp|P0A7I4|RF3_ECOLI	0.086	0.361
sp|P30749|MOAE_ECOLI	0.038	0.606
sp|P67603|YQFB_ECOLI	-0.398	0.008
sp|P09169|OMPT_ECOLI	0.307	1.547e-06
sp|P00957|SYA_ECOLI	-0.119	0.009
sp|P56258|WECF_ECOLI	-0.244	0.276
sp|P0AC44|DHSD_ECOLI	1.545	1.673e-07
sp|P31806|NNR_ECOLI	0.085	0.751
sp|P76235|YEAH_ECOLI	0.462	0.03
sp|P21499|RNR_ECOLI	0.183	0.013
sp|P78061|PUUA_ECOLI	0.086	0.908
sp|P0AFR4|YCIO_ECOLI	0.604	6.249e-05
sp|P0AF03|MOG_ECOLI	0.156	0.857
sp|P0A8R0|RRAA_ECOLI	-0.142	0.302
sp|P0A729|NTPPB_ECOLI	0.43	0.007
sp|P0AC69|GLRX4_ECOLI	0.074	0.132
sp|P37685|ALDB_ECOLI	1.226	0.0
sp|P25536|NTPPA_ECOLI	-0.113	0.591
sp|P0AFZ3|SSPB_ECOLI	0.313	0.079
sp|P0A8J8|RHLB_ECOLI	0.073	0.531
sp|P0AE28|AROM_ECOLI	1.051	2.175e-06
sp|P0A9S5|GLDA_ECOLI	0.793	0.0002265
sp|P0A705|IF2_ECOLI	-0.111	0.014
sp|P00946|MANA_ECOLI	0.299	0.002
sp|P77522|SUFB_ECOLI	-0.063	0.783
sp|P0ACL9|PDHR_ECOLI	0.245	0.269
sp|P31680|DJLA_ECOLI	0.169	0.362
sp|P00550|PTM3C_ECOLI	-0.172	0.027
sp|P31460|DGOR_ECOLI	-0.121	0.461
sp|P77748|YDIJ_ECOLI	0.079	0.693
sp|P0ACJ8|CRP_ECOLI	0.275	0.007
sp|P62617|ISPF_ECOLI	0.132	0.931
sp|P06992|RSMA_ECOLI	0.455	0.454
sp|P0AAP3|FRMR_ECOLI	-0.783	0.04
sp|P0A937|BAME_ECOLI	0.035	0.759
sp|P76113|CURA_ECOLI	0.343	0.029
sp|P09832|GLTD_ECOLI	-0.462	5.3e-09
sp|P0ADN6|YIFL_ECOLI	-0.15	0.381
