protein	log2FC	p-val
sp|P37665|YIAD_ECOLI	-0.755	0.016
sp|P29013|YCGB_ECOLI	-0.298	0.528
sp|P0A951|ATDA_ECOLI	0.525	0.617
sp|P0ACX5|FUMD_ECOLI	-0.975	0.017
sp|P76143|LSRF_ECOLI	1.704	2.923e-06
sp|P00393|DHNA_ECOLI	-0.252	0.027
sp|P0AEM0|FKBX_ECOLI	-0.776	0.002
sp|P37177|PT1P_ECOLI	-0.106	0.622
sp|P0ACK2|AGAR_ECOLI	-0.577	0.006
sp|P04391|OTC1_ECOLI	-0.064	0.485
sp|P30860|ARTJ_ECOLI	-0.155	0.037
sp|P0AE67|CHEY_ECOLI	-0.353	0.313
sp|P05637|APAH_ECOLI	-0.03	0.516
sp|P0AD27|YEJM_ECOLI	0.604	0.01
sp|P75791|YBIU_ECOLI	-0.195	0.215
sp|P64448|YNBE_ECOLI	0.072	0.654
sp|P36979|RLMN_ECOLI	-0.36	0.0002652
sp|P25536|NTPPA_ECOLI	0.522	0.633
sp|P25737|LYSP_ECOLI	0.712	0.036
sp|P00562|AK2H_ECOLI	-0.014	0.761
sp|P26365|AMIB_ECOLI	0.43	0.065
sp|P0AFJ7|PITA_ECOLI	-0.283	0.116
sp|P0ABC3|HFLC_ECOLI	-0.325	0.012
sp|P05194|AROD_ECOLI	0.0002202	0.625
sp|P0A830|DCTA_ECOLI	-0.072	0.829
sp|P0A9M2|HPRT_ECOLI	0.525	0.056
sp|P23522|GARL_ECOLI	0.432	0.045
sp|Q46948|YAJL_ECOLI	0.651	0.003
sp|P00936|CYAA_ECOLI	0.618	0.031
sp|P08192|FOLC_ECOLI	0.06	0.074
sp|P61714|RISB_ECOLI	0.855	5.394e-05
sp|P0ABP8|DEOD_ECOLI	0.529	0.0001911
sp|P16659|SYP_ECOLI	-0.262	0.001
sp|P63389|YHES_ECOLI	-0.614	4.467e-05
sp|P62615|ISPE_ECOLI	0.243	0.465
sp|P04825|AMPN_ECOLI	0.075	0.307
sp|P27306|STHA_ECOLI	0.488	0.0001513
sp|P0A7C6|PEPE_ECOLI	0.579	0.000726
sp|P30748|MOAD_ECOLI	-0.077	0.628
sp|P0A9L5|PPIC_ECOLI	0.386	0.282
sp|P76128|DDPA_ECOLI	-0.312	0.042
sp|P05459|PDXB_ECOLI	0.07	0.134
sp|P08178|PUR5_ECOLI	-0.661	2.432e-06
sp|P23839|YICC_ECOLI	0.026	0.713
sp|P27828|WECB_ECOLI	0.05	0.934
sp|P0A8E1|YCFP_ECOLI	-0.004	0.345
sp|P0ADT8|YGIM_ECOLI	-0.356	0.019
sp|P77689|SUFD_ECOLI	-0.159	0.553
sp|P0ACF4|DBHB_ECOLI	-0.519	2.068e-05
sp|P0ADA5|YAJG_ECOLI	-0.506	0.001
sp|P45395|KDSD_ECOLI	0.039	0.342
sp|P15639|PUR9_ECOLI	-0.379	1.121e-07
sp|P0A8A0|YEBC_ECOLI	-0.389	0.003
sp|P39315|QOR2_ECOLI	0.596	0.003
sp|P0AEP9|GLCD_ECOLI	1.659	1.823e-06
sp|P00887|AROH_ECOLI	-0.073	0.756
sp|P33363|BGLX_ECOLI	0.101	0.057
sp|P69441|KAD_ECOLI	0.528	5.254e-09
sp|P22188|MURE_ECOLI	0.789	1.006e-05
sp|P0AD49|YFIA_ECOLI	-0.309	0.007
sp|P23837|PHOQ_ECOLI	-0.833	0.0009021
sp|P21169|DCOR_ECOLI	-0.356	0.031
sp|P06149|DLD_ECOLI	0.341	3.427e-08
sp|P00934|THRC_ECOLI	-0.351	4.445e-07
sp|P0A786|PYRB_ECOLI	0.08	0.786
sp|P0A6Q3|FABA_ECOLI	-1.061	1.896e-13
sp|P21151|FADA_ECOLI	-0.305	0.0008383
sp|P0AEP3|GALU_ECOLI	0.195	0.219
sp|P13035|GLPD_ECOLI	-0.653	0.0001896
sp|P0AEA8|CYSG_ECOLI	-0.132	0.271
sp|P52647|NIFJ_ECOLI	-0.408	0.003
sp|P75874|YCCU_ECOLI	0.257	0.018
sp|P52007|YECM_ECOLI	-0.391	0.009
sp|P76290|CMOA_ECOLI	0.273	0.02
sp|P76578|A2MG_ECOLI	0.047	0.475
sp|P11446|ARGC_ECOLI	0.38	0.719
sp|P75691|YAHK_ECOLI	0.922	0.0
sp|P0A8D0|NRDR_ECOLI	0.425	0.118
sp|P0AGJ5|YFIF_ECOLI	-0.048	0.153
sp|P0A6I9|COAE_ECOLI	-0.026	0.939
sp|P45579|HCXA_ECOLI	-0.052	0.234
sp|P77399|FADJ_ECOLI	0.245	0.062
sp|P77526|YFCG_ECOLI	0.049	0.538
sp|P76270|MSRC_ECOLI	0.091	0.318
sp|P0A6R0|FABH_ECOLI	0.53	1.93e-05
sp|P45531|TUSC_ECOLI	0.344	0.158
sp|P32705|ACTP_ECOLI	-0.407	0.009
sp|P32099|LPLA_ECOLI	-0.253	0.091
sp|P69423|TATC_ECOLI	-0.612	0.033
sp|P00363|FRDA_ECOLI	0.605	9.341e-08
sp|P0A8R0|RRAA_ECOLI	-0.137	0.939
sp|P0A9W3|ETTA_ECOLI	-0.429	3.646e-12
sp|P39160|UXUB_ECOLI	-0.897	5.977e-07
sp|P0ADU2|YGIN_ECOLI	0.939	2.201e-12
sp|P0AE28|AROM_ECOLI	1.468	7.235e-05
sp|P0A7R9|RS11_ECOLI	0.414	0.008
sp|P0AG18|PURE_ECOLI	0.436	0.098
sp|P0A9H1|MUG_ECOLI	-0.303	0.45
sp|P0A9X9|CSPA_ECOLI	0.115	0.802
sp|P0ABA6|ATPG_ECOLI	0.088	0.986
sp|P39334|BDCR_ECOLI	0.16	0.422
sp|P24215|UXUA_ECOLI	-0.739	8.269e-12
sp|P06968|DUT_ECOLI	-0.366	0.031
sp|P33644|POLOX_ECOLI	0.084	0.436
sp|P0A715|KDSA_ECOLI	0.062	0.449
sp|P0A840|SURE_ECOLI	0.174	0.361
sp|P0AFM2|PROX_ECOLI	-0.992	1.816e-08
sp|P0ADA3|NLPD_ECOLI	-0.218	0.066
sp|P37626|YHII_ECOLI	0.486	0.0001891
sp|P16676|CYSA_ECOLI	0.267	0.057
sp|P0A9M8|PTA_ECOLI	-0.054	0.025
sp|P76316|DCYD_ECOLI	0.341	0.0005313
sp|P0A7I0|RF1_ECOLI	-0.519	0.008
sp|P0A7G6|RECA_ECOLI	-0.753	2.536e-08
sp|P0AET8|HDHA_ECOLI	1.239	0.0
sp|P55734|YGAP_ECOLI	0.783	0.002
sp|P39177|USPG_ECOLI	0.265	0.016
sp|P0A8X2|YCEI_ECOLI	0.134	0.304
sp|P0A7F9|QUEA_ECOLI	0.417	0.09
sp|P33030|YEIR_ECOLI	-0.035	0.093
sp|P22564|RIHC_ECOLI	-0.123	0.124
sp|P39411|NCPP_ECOLI	-0.047	0.774
sp|P0ACB7|HEMY_ECOLI	-0.388	0.0007369
sp|P60472|UPPS_ECOLI	0.4	0.092
sp|P69853|DMSD_ECOLI	0.254	0.317
sp|P0ACJ0|LRP_ECOLI	-0.061	0.686
sp|P39280|EPMB_ECOLI	-0.244	0.583
sp|P0ACE3|HHA_ECOLI	-0.411	0.055
sp|P0AAE0|CYCA_ECOLI	0.132	0.437
sp|P0ADV1|LPTA_ECOLI	0.039	0.297
sp|P0A9F3|CYSB_ECOLI	0.19	0.787
sp|P23894|HTPX_ECOLI	-0.445	0.004
sp|P0A729|NTPPB_ECOLI	0.822	1.209e-06
sp|P0ADY3|RL14_ECOLI	0.056	0.854
sp|P29131|FTSN_ECOLI	0.126	0.414
sp|P76113|CURA_ECOLI	0.39	3.65e-05
sp|P64554|QUEE_ECOLI	-0.027	0.183
sp|P0ACF0|DBHA_ECOLI	-0.537	5.792e-06
sp|P18392|RSTB_ECOLI	0.663	0.011
sp|P37339|LHGD_ECOLI	-0.764	0.0001624
sp|P0AGA6|UHPA_ECOLI	0.235	0.434
sp|P76536|YFEX_ECOLI	0.172	0.087
sp|P28249|ASMA_ECOLI	0.041	0.39
sp|P0A9B2|G3P1_ECOLI	0.052	0.928
sp|P23843|OPPA_ECOLI	-0.539	3.639e-13
sp|P37330|MASZ_ECOLI	1.409	0.0
sp|P75914|YCDX_ECOLI	0.149	0.848
sp|P39099|DEGQ_ECOLI	-0.533	3.318e-08
sp|P0AB61|YCIN_ECOLI	-0.558	0.803
sp|P68767|AMPA_ECOLI	-0.525	3.273e-09
sp|P0AAI5|FABF_ECOLI	0.215	0.181
sp|P0AEW9|K1PF_ECOLI	-2.372	7.804e-08
sp|P00350|6PGD_ECOLI	-0.003	0.89
sp|P77625|HXPA_ECOLI	0.253	0.33
sp|P0A7D7|PUR7_ECOLI	-0.051	0.222
sp|P0AEE3|DEGS_ECOLI	-0.198	0.478
sp|P52108|RSTA_ECOLI	0.845	4.813e-06
sp|P0AB24|EFEO_ECOLI	0.044	0.715
sp|P33219|YEBF_ECOLI	-0.0008511	0.95
sp|P25714|YIDC_ECOLI	-0.512	0.005
sp|P00490|PHSM_ECOLI	-0.737	4.441e-16
sp|P0AB52|YCHN_ECOLI	1.065	5.543e-08
sp|P69425|TATB_ECOLI	-0.515	0.0001126
sp|P26646|ACUI_ECOLI	0.138	0.019
sp|P0AFB8|NTRC_ECOLI	-0.242	0.02
sp|P75818|YBJP_ECOLI	0.45	0.02
sp|P52061|IXTPA_ECOLI	0.199	0.122
sp|P27302|TKT1_ECOLI	0.092	0.989
sp|P0ADQ7|YGAM_ECOLI	0.714	0.012
sp|P0A761|NANE_ECOLI	-0.458	0.006
sp|P0C0S1|MSCS_ECOLI	-0.101	0.061
sp|P23003|TRMA_ECOLI	-0.048	0.522
sp|P76235|YEAH_ECOLI	-0.236	0.216
sp|P0A6N8|EFPL_ECOLI	-0.023	0.275
sp|P0AGE6|CHRR_ECOLI	0.334	0.057
sp|P09424|MTLD_ECOLI	0.694	3.704e-12
sp|P0A8I5|TRMB_ECOLI	0.141	0.483
sp|P0A7B8|HSLV_ECOLI	-0.373	0.141
sp|P0A6P5|DER_ECOLI	-0.095	0.042
sp|P31120|GLMM_ECOLI	-0.397	2.819e-06
sp|P12758|UDP_ECOLI	0.222	0.009
sp|P0AE91|CREA_ECOLI	-0.496	0.073
sp|P30871|3PASE_ECOLI	-0.219	0.127
sp|P61889|MDH_ECOLI	0.535	1.072e-10
sp|P46837|YHGF_ECOLI	-0.381	8.824e-06
sp|P60595|HIS5_ECOLI	-1.174	6.084e-14
sp|P76004|YCGM_ECOLI	-0.269	0.716
sp|P00448|SODM_ECOLI	-0.003	0.701
sp|P0AB10|PQIC_ECOLI	0.31	0.19
sp|P0AE88|CPXR_ECOLI	0.174	0.123
sp|P0AFI2|PARC_ECOLI	-0.335	0.004
sp|P0A6L9|HSCB_ECOLI	0.124	0.763
