protein	log2FC	p-val
sp|P0ADG4|SUHB_ECOLI	-0.286	0.217
sp|P0A8Z0|YCIA_ECOLI	0.008	0.91
sp|P0AF98|LPTF_ECOLI	0.375	0.325
sp|P08192|FOLC_ECOLI	-0.731	0.003
sp|P30870|GLNE_ECOLI	0.623	0.05
sp|P0AAP3|FRMR_ECOLI	0.261	0.405
sp|P0AGL7|RSME_ECOLI	0.025	1.0
sp|P0AFW4|RNK_ECOLI	-0.72	0.005
sp|P66948|BEPA_ECOLI	0.036	0.864
sp|P04335|FRSA_ECOLI	0.212	0.035
sp|P43672|UUP_ECOLI	0.021	0.795
sp|P0AAN9|IRAP_ECOLI	-0.427	0.222
sp|P23857|PSPE_ECOLI	-0.929	0.0002132
sp|P69776|LPP_ECOLI	0.041	0.606
sp|Q46851|GPR_ECOLI	0.383	0.008
sp|P67087|RSMI_ECOLI	-0.164	0.7
sp|P77804|YDGA_ECOLI	0.503	9.876e-08
sp|P10441|LPXB_ECOLI	0.649	0.021
sp|P0A6R0|FABH_ECOLI	-0.157	0.151
sp|P21599|KPYK2_ECOLI	-0.073	0.753
sp|P0AD59|IVY_ECOLI	0.372	0.099
sp|P0AEL6|FEPB_ECOLI	-0.151	0.536
sp|P0AG16|PUR1_ECOLI	-0.733	2.716e-09
sp|P0ACB0|DNAB_ECOLI	-0.349	0.005
sp|P27550|ACSA_ECOLI	1.039	0.0
sp|P76002|PLIG_ECOLI	0.282	0.291
sp|P0A9J6|RBSK_ECOLI	-0.885	9.338e-09
sp|P0AAG0|DPPD_ECOLI	-0.742	4.501e-07
sp|P07639|AROB_ECOLI	-0.075	0.184
sp|P69425|TATB_ECOLI	-0.008	0.858
sp|P0AEH3|ELAA_ECOLI	-0.176	0.382
sp|P0A940|BAMA_ECOLI	-0.342	1.155e-05
sp|P62623|ISPH_ECOLI	-0.576	0.0009752
sp|P0AB80|ILVE_ECOLI	-0.314	0.013
sp|P18133|PNCB_ECOLI	-0.277	0.004
sp|P69783|PTGA_ECOLI	0.353	0.001
sp|P08956|T1RK_ECOLI	0.195	0.93
sp|P0AG86|SECB_ECOLI	0.119	0.348
sp|P0A8K1|PSD_ECOLI	-0.195	0.018
sp|P37327|YFDC_ECOLI	0.587	0.059
sp|P0C0L7|PROP_ECOLI	0.971	1.497e-05
sp|P37760|RMLD_ECOLI	-0.263	0.015
sp|P06989|HIS2_ECOLI	0.21	0.519
sp|P0A6X3|HFQ_ECOLI	0.103	0.603
sp|P15034|AMPP_ECOLI	0.58	6.939e-07
sp|P10121|FTSY_ECOLI	-0.239	0.032
sp|P0AA91|YEAY_ECOLI	0.625	0.0004781
sp|P30863|DKGB_ECOLI	0.416	0.083
sp|P0AG55|RL6_ECOLI	-0.236	3.946e-05
sp|P09030|EX3_ECOLI	-0.292	0.0007509
sp|P32695|DUSA_ECOLI	-0.664	0.005
sp|P60757|HIS1_ECOLI	0.293	0.026
sp|P0AED0|USPA_ECOLI	0.057	0.273
sp|P76402|YEGP_ECOLI	2.05	1.465e-07
sp|P27250|AHR_ECOLI	1.103	7.686e-07
sp|P0A9L5|PPIC_ECOLI	-0.36	0.024
sp|P77399|FADJ_ECOLI	-0.429	0.013
sp|P08244|PYRF_ECOLI	-0.343	0.002
sp|P0A7W7|RS8_ECOLI	-0.167	0.293
sp|P0A6T5|GCH1_ECOLI	-0.409	0.0004163
sp|P37685|ALDB_ECOLI	1.472	0.0
sp|P0ACA7|GSTB_ECOLI	0.122	0.525
sp|P0ADX1|YHFA_ECOLI	0.799	0.000339
sp|P06968|DUT_ECOLI	-0.603	0.004
sp|P77529|YDJN_ECOLI	-0.266	0.065
sp|P10902|NADB_ECOLI	-0.959	0.009
sp|P0AD05|YECA_ECOLI	-0.451	0.054
sp|P75682|YAGE_ECOLI	0.537	0.007
sp|P09551|ARGT_ECOLI	1.046	0.0
sp|P00960|SYGA_ECOLI	0.1	0.322
sp|P0A6T3|GAL1_ECOLI	3.422	0.0
sp|P0AG24|SPOT_ECOLI	-0.033	0.525
sp|P0AE12|AMN_ECOLI	0.076	0.495
sp|P0AC41|SDHA_ECOLI	-0.705	0.0
sp|P39172|ZNUA_ECOLI	0.04	0.929
sp|P0AC53|G6PD_ECOLI	0.315	0.001
sp|P0A7A7|PLSB_ECOLI	-0.291	0.017
sp|P0A6X7|IHFA_ECOLI	0.613	2.42e-06
sp|P0A6E1|AROL_ECOLI	-0.046	0.402
sp|P04951|KDSB_ECOLI	-0.48	7.199e-05
sp|P0AEW4|CPDA_ECOLI	0.187	0.617
sp|P76177|YDGH_ECOLI	0.185	0.098
sp|P60546|KGUA_ECOLI	0.133	0.441
sp|P0ADY3|RL14_ECOLI	-0.095	0.291
sp|P0AAI3|FTSH_ECOLI	-0.142	0.426
sp|P0A9L3|FKBB_ECOLI	-0.581	4.355e-05
sp|P64624|YHEO_ECOLI	-0.22	0.071
sp|P77395|CNOX_ECOLI	-0.19	0.167
sp|P0AEP3|GALU_ECOLI	0.197	0.355
sp|P37903|USPF_ECOLI	0.524	0.007
sp|P77748|YDIJ_ECOLI	-0.382	0.000211
sp|P69411|RCSF_ECOLI	-0.551	0.036
sp|P00861|DCDA_ECOLI	-0.089	0.151
sp|P0AEI1|MIAB_ECOLI	-0.33	0.0002451
sp|P0AEU0|HISJ_ECOLI	-0.093	0.948
sp|P0ADA5|YAJG_ECOLI	-0.302	0.257
sp|P31142|THTM_ECOLI	-0.188	0.061
sp|P76346|MTFA_ECOLI	0.538	0.009
sp|P0A955|ALKH_ECOLI	0.1	0.515
sp|P0ACA3|SSPA_ECOLI	-0.041	0.445
sp|P63389|YHES_ECOLI	-0.216	0.161
sp|P77171|YDCI_ECOLI	-0.239	0.136
sp|P0ADT8|YGIM_ECOLI	-0.211	0.042
sp|P06983|HEM3_ECOLI	0.216	0.04
sp|P31658|HCHA_ECOLI	1.354	1.957e-08
sp|P0A7A2|GPMB_ECOLI	-0.12	0.137
sp|P0A7V3|RS3_ECOLI	-0.688	8.422e-11
sp|P33602|NUOG_ECOLI	-0.218	0.145
sp|P60752|MSBA_ECOLI	-0.348	0.019
sp|P75960|NPD_ECOLI	-0.519	0.005
sp|P39325|YTFQ_ECOLI	3.008	0.0
sp|P0ACK2|AGAR_ECOLI	0.409	0.06
sp|P39831|YDFG_ECOLI	0.043	0.374
sp|P0AGK8|ISCR_ECOLI	-0.439	0.015
sp|P76578|A2MG_ECOLI	0.099	0.931
sp|P0ADY1|PPID_ECOLI	-0.018	0.876
sp|Q46871|YQJH_ECOLI	-0.091	0.622
sp|P0A6P9|ENO_ECOLI	0.342	0.0005546
sp|P37643|YHJE_ECOLI	0.993	0.003
sp|P0AGD3|SODF_ECOLI	-0.169	0.151
sp|P0C0V0|DEGP_ECOLI	-1.364	0.0
sp|P75796|GSIA_ECOLI	0.098	0.929
sp|P75863|YCBX_ECOLI	0.219	0.181
sp|P77182|MNMC_ECOLI	0.126	0.687
sp|P43329|HRPA_ECOLI	0.066	0.565
sp|P0ACD4|ISCU_ECOLI	0.004	0.647
sp|P0C8J8|GATZ_ECOLI	0.639	7.708e-08
sp|P18843|NADE_ECOLI	0.623	8.684e-09
sp|P0ADZ4|RS15_ECOLI	0.27	0.138
sp|P11880|MURF_ECOLI	-0.376	0.001
sp|P04036|DAPB_ECOLI	-0.253	0.154
sp|P0A8B2|YFCN_ECOLI	0.214	0.443
sp|P37005|LAST_ECOLI	0.348	0.043
sp|P76097|YDCJ_ECOLI	1.954	7.105e-15
sp|P15042|DNLJ_ECOLI	0.223	0.038
sp|P24215|UXUA_ECOLI	0.999	1.066e-06
sp|P00561|AK1H_ECOLI	-1.952	0.0
sp|P15078|CSTA_ECOLI	0.094	0.829
sp|P00547|KHSE_ECOLI	-1.212	3.297e-10
sp|P0AG00|WZZE_ECOLI	-1.028	0.0001167
sp|P0A8I8|RLMH_ECOLI	-0.446	0.053
sp|P08331|CPDB_ECOLI	0.126	0.114
sp|P0A6Z3|HTPG_ECOLI	-0.17	0.003
sp|P77522|SUFB_ECOLI	-0.088	0.638
sp|P17169|GLMS_ECOLI	-0.262	7.796e-05
sp|P0A7G2|RBFA_ECOLI	-0.053	0.38
