protein	log2FC	p-val
sp|P0A9H7|CFA_ECOLI	-0.466	0.011
sp|P69811|PTFAH_ECOLI	-1.368	3.618e-11
sp|P0AAC8|ISCA_ECOLI	-0.831	3.02e-07
sp|P0AEH3|ELAA_ECOLI	0.151	0.162
sp|P0A6U8|GLGA_ECOLI	0.442	0.0009079
sp|P0AE52|BCP_ECOLI	-0.652	1.21e-09
sp|P0A991|ALF1_ECOLI	1.657	0.0
sp|P0ABH7|CISY_ECOLI	1.516	0.0
sp|P0A8W5|YQGE_ECOLI	-0.011	0.413
sp|P10902|NADB_ECOLI	-0.453	0.025
sp|P77667|SUFA_ECOLI	-0.57	0.009
sp|P0ABD8|BCCP_ECOLI	0.525	0.004
sp|P0A8B5|YBAB_ECOLI	0.17	0.322
sp|P37902|GLTI_ECOLI	1.122	2.22e-16
sp|P0AFW8|ROF_ECOLI	0.109	0.731
sp|P06960|OTC2_ECOLI	0.007	0.786
sp|P0C0R7|RLME_ECOLI	-0.279	0.077
sp|P60472|UPPS_ECOLI	-0.387	0.027
sp|P0A9J0|RNG_ECOLI	0.317	0.004
sp|P76034|YCIT_ECOLI	0.402	0.364
sp|P25894|LOIP_ECOLI	0.172	0.852
sp|P15723|DGTP_ECOLI	0.896	0.005
sp|P0A8D6|YMDB_ECOLI	1.543	3.932e-07
sp|P0A7A5|PIMT_ECOLI	0.005	0.998
sp|P37440|UCPA_ECOLI	1.288	6.506e-14
sp|P0A9D8|DAPD_ECOLI	-0.55	4.983e-12
sp|P0AD49|YFIA_ECOLI	0.982	5.23e-07
sp|P0A7G2|RBFA_ECOLI	-0.085	0.005
sp|P0A8N5|SYK2_ECOLI	-0.092	0.186
sp|P0AFX9|RSEB_ECOLI	0.223	0.887
sp|P0A6L0|DEOC_ECOLI	-0.457	0.0001123
sp|P13024|FDHE_ECOLI	0.237	0.017
sp|P0AEU0|HISJ_ECOLI	0.317	0.0008701
sp|P27302|TKT1_ECOLI	-0.116	0.004
sp|P0AGF2|CSDE_ECOLI	-0.077	0.536
sp|P0AC19|FOLX_ECOLI	-0.442	0.011
sp|P16700|CYSP_ECOLI	1.086	0.0
sp|P65870|QUED_ECOLI	-0.886	0.0007198
sp|P0A6L9|HSCB_ECOLI	-0.388	0.007
sp|P15067|GLGX_ECOLI	0.532	0.0008842
sp|P0A847|TGT_ECOLI	-0.274	0.028
sp|P0ADA1|TESA_ECOLI	0.271	0.976
sp|P0A6F9|CH10_ECOLI	-0.171	0.032
sp|P0A968|CSPD_ECOLI	1.178	9.852e-06
sp|P37128|NUDK_ECOLI	-1.096	9.215e-06
sp|P36680|ZAPD_ECOLI	-0.083	0.287
sp|P0A9C5|GLN1B_ECOLI	-0.49	5.618e-14
sp|P25665|METE_ECOLI	-0.056	0.02
