protein	log2FC	p-val
sp|P0A951|ATDA_ECOLI	0.039	0.94
sp|P0A8A2|YEEN_ECOLI	-0.481	0.0002894
sp|P27837|YIFK_ECOLI	0.238	0.295
sp|P64612|ZAPE_ECOLI	-0.291	0.397
sp|P75931|YCEM_ECOLI	0.769	0.003
sp|P07650|TYPH_ECOLI	-0.747	2.117e-09
sp|P13000|BIOD1_ECOLI	-0.418	0.006
sp|P0A8R0|RRAA_ECOLI	0.093	0.58
sp|P06721|METC_ECOLI	-0.405	0.0006218
sp|P0A9J6|RBSK_ECOLI	1.721	0.0
sp|P75798|GSIC_ECOLI	-0.186	0.765
sp|P08142|ILVB_ECOLI	0.264	0.041
sp|P0A847|TGT_ECOLI	0.112	0.301
sp|P0AAG0|DPPD_ECOLI	1.114	2.285e-09
sp|P39830|YBAL_ECOLI	-0.276	0.15
sp|P15993|AROP_ECOLI	1.01	7.227e-05
sp|P69776|LPP_ECOLI	0.038	0.215
sp|P0A6X3|HFQ_ECOLI	-0.013	0.93
sp|P0A905|SLYB_ECOLI	0.184	0.174
sp|P02943|LAMB_ECOLI	3.204	3.376e-12
sp|P0AEQ3|GLNH_ECOLI	2.078	0.0
sp|P0A9A9|FUR_ECOLI	0.561	4.448e-06
sp|P0AB24|EFEO_ECOLI	-1.464	0.0
sp|P75780|FIU_ECOLI	-2.57	0.0
sp|P21156|CYSD_ECOLI	-0.049	0.798
sp|P0ABB4|ATPB_ECOLI	0.445	4.241e-14
sp|P19934|TOLA_ECOLI	-0.602	0.016
sp|P13857|RIML_ECOLI	0.806	0.000102
sp|P69805|PTND_ECOLI	-0.127	0.145
sp|P39180|AG43_ECOLI	-0.451	0.004
sp|P23909|MUTS_ECOLI	-0.191	0.192
sp|P10121|FTSY_ECOLI	0.305	4.255e-08
sp|P0AA99|YAFK_ECOLI	-0.382	0.339
sp|P0A9G8|MODE_ECOLI	0.045	0.811
sp|P0ACX3|YDHR_ECOLI	-0.195	0.201
sp|P0AFD1|NUOE_ECOLI	1.619	8.882e-16
sp|P31433|YICH_ECOLI	-0.037	0.817
sp|P0AAX8|YBIS_ECOLI	-0.198	0.052
sp|P31979|NUOF_ECOLI	1.613	0.0
sp|P0ABJ9|CYDA_ECOLI	-0.322	0.019
sp|P0AEY5|MDAB_ECOLI	-0.325	0.412
sp|P08312|SYFA_ECOLI	0.199	0.291
sp|P17169|GLMS_ECOLI	-0.008	0.672
sp|P25397|TEHB_ECOLI	-1.506	8.896e-10
sp|P0AGD3|SODF_ECOLI	0.887	1.338e-11
sp|P0ACR9|MPRA_ECOLI	-0.921	3.794e-08
sp|P60293|MUKF_ECOLI	0.436	0.026
sp|P25526|GABD_ECOLI	1.062	0.0
sp|P39411|NCPP_ECOLI	-0.184	0.973
sp|P0A6G7|CLPP_ECOLI	0.23	0.329
sp|P0ABA4|ATPD_ECOLI	0.816	6.227e-05
sp|P0A862|TPX_ECOLI	-0.403	0.0009418
sp|P0A6V8|GLK_ECOLI	0.341	0.0001114
sp|P0A796|PFKA_ECOLI	-0.329	2.943e-05
sp|P0ABD5|ACCA_ECOLI	0.348	3.863e-07
sp|P31473|RAVA_ECOLI	0.168	0.134
sp|P77552|YDHQ_ECOLI	-0.741	0.0002779
sp|P27306|STHA_ECOLI	1.503	0.0
sp|P76537|YFEY_ECOLI	0.232	0.222
sp|P0ADK0|YIAF_ECOLI	0.08	0.244
sp|P0A7T3|RS16_ECOLI	-0.235	0.095
sp|P31057|PANB_ECOLI	0.234	0.502
sp|P07813|SYL_ECOLI	0.015	0.868
sp|P0ABU5|ELBB_ECOLI	0.183	0.294
sp|P68739|NFI_ECOLI	-0.089	0.731
sp|P0DMC7|RCSB_ECOLI	0.314	0.015
