protein	log2FC	p-val
sp|P0A7I0|RF1_ECOLI	0.134	0.842
sp|P32144|CSQR_ECOLI	0.914	0.0002698
sp|P0A6I3|COAA_ECOLI	0.516	0.005
sp|P0A759|NAGB_ECOLI	3.221	0.0
sp|P04036|DAPB_ECOLI	-0.281	0.002
sp|P0A6K3|DEF_ECOLI	-0.156	0.252
sp|P77285|RSXG_ECOLI	-0.147	0.591
sp|P78061|PUUA_ECOLI	-0.03	0.99
sp|P0A7E5|PYRG_ECOLI	-0.11	0.068
sp|P76008|LDCA_ECOLI	-0.096	0.733
sp|P0A8G3|UXAC_ECOLI	1.462	4.348e-11
sp|P0A825|GLYA_ECOLI	-0.138	0.001
sp|P0ABP8|DEOD_ECOLI	0.584	3.338e-07
sp|P33030|YEIR_ECOLI	-0.086	0.451
sp|P09169|OMPT_ECOLI	-0.034	0.518
sp|P0AEJ2|ENTC_ECOLI	-2.372	1.734e-12
sp|P0ACA1|YIBF_ECOLI	0.907	2.739e-09
sp|P61320|LOLB_ECOLI	0.192	0.629
sp|P0ADU2|YGIN_ECOLI	-0.286	0.056
sp|P31057|PANB_ECOLI	0.292	0.063
sp|P37689|GPMI_ECOLI	-0.844	5.156e-10
sp|P0AEE3|DEGS_ECOLI	-0.115	0.466
sp|P0A7R9|RS11_ECOLI	-0.409	0.001
sp|P64429|YPFJ_ECOLI	0.477	0.0009388
sp|P0A6D3|AROA_ECOLI	-0.55	5.35e-07
sp|P17169|GLMS_ECOLI	-0.384	2.236e-09
sp|P68919|RL25_ECOLI	-0.288	0.001
sp|P0A8I3|YAAA_ECOLI	-0.125	0.213
sp|P03817|MIOC_ECOLI	0.611	0.009
sp|P0A9U3|YBIT_ECOLI	-0.284	0.013
sp|Q46920|QUEF_ECOLI	0.151	0.477
sp|P0ADG7|IMDH_ECOLI	-0.659	2.22e-16
sp|P76270|MSRC_ECOLI	-0.111	0.258
sp|P77804|YDGA_ECOLI	0.149	0.247
sp|P0A9S3|GATD_ECOLI	1.915	0.0
sp|P09373|PFLB_ECOLI	0.428	7.411e-10
sp|P0ABT2|DPS_ECOLI	2.456	0.0
sp|P76014|DHAL_ECOLI	-0.097	0.613
sp|P66817|DIAA_ECOLI	0.096	0.667
sp|P17115|GUTQ_ECOLI	-0.034	0.303
sp|P76539|YPEA_ECOLI	-0.339	0.093
sp|P0ACW6|YDCH_ECOLI	0.074	0.204
sp|P12758|UDP_ECOLI	0.997	0.0
sp|P0AGD1|SODC_ECOLI	2.435	8.642e-13
sp|P0A6N8|EFPL_ECOLI	-0.1	0.394
sp|P0AB80|ILVE_ECOLI	-1.235	0.0
sp|P25516|ACNA_ECOLI	2.045	0.0
sp|P29012|ALR2_ECOLI	-0.52	5.614e-05
sp|P37177|PT1P_ECOLI	-0.27	0.033
sp|P76578|A2MG_ECOLI	0.112	0.356
sp|P0A8B2|YFCN_ECOLI	-0.14	0.41
sp|P22731|LIVF_ECOLI	1.159	2.647e-08
sp|P17445|BETB_ECOLI	-0.764	0.0003384
sp|P0A6T3|GAL1_ECOLI	4.618	0.0
sp|P0AF96|TABA_ECOLI	-0.036	0.498
sp|P08179|PUR3_ECOLI	-0.058	0.869
sp|P21365|YCIC_ECOLI	0.794	0.026
sp|P0A8M0|SYN_ECOLI	-0.028	0.464
sp|P0A7F9|QUEA_ECOLI	-0.405	0.044
sp|P00946|MANA_ECOLI	-0.413	1.027e-06
sp|P16456|SELD_ECOLI	-0.371	0.0002834
sp|P11458|NADA_ECOLI	-0.35	0.03
sp|P77485|CUSS_ECOLI	1.566	0.0
sp|P0A9D8|DAPD_ECOLI	-0.767	0.0
sp|P06959|ODP2_ECOLI	-0.819	0.0
sp|P0AB28|YCED_ECOLI	-0.223	0.159
sp|P02918|PBPA_ECOLI	-0.167	0.491
sp|P09546|PUTA_ECOLI	-1.061	1.172e-08
sp|P0A862|TPX_ECOLI	0.213	0.006
sp|P31142|THTM_ECOLI	0.995	0.0
sp|P0AGA2|SECY_ECOLI	-0.332	0.02
sp|P08660|AK3_ECOLI	-0.807	0.0
sp|P75691|YAHK_ECOLI	2.034	0.0
sp|P0A8V2|RPOB_ECOLI	-0.21	1.97e-08
sp|P33920|NDPA_ECOLI	0.242	0.031
sp|P0AA31|YEDF_ECOLI	0.794	0.019
sp|P0AGI8|TRKA_ECOLI	0.777	0.0009329
sp|P0ADW3|YHCB_ECOLI	0.303	0.004
sp|P34209|YDCF_ECOLI	1.473	7.55e-15
sp|P24183|FDNG_ECOLI	-0.146	0.507
sp|P00954|SYW_ECOLI	-0.075	0.103
sp|P16384|MIAA_ECOLI	-0.438	0.054
sp|P10441|LPXB_ECOLI	0.775	0.009
sp|P76034|YCIT_ECOLI	0.673	0.003
sp|P15254|PUR4_ECOLI	0.247	1.66e-07
sp|P0A7J7|RL11_ECOLI	-0.539	8.306e-07
sp|P0A9R7|FTSE_ECOLI	-0.145	0.445
sp|P0AG48|RL21_ECOLI	-0.415	0.0005983
