protein	log2FC	p-val
sp|P0ACY1|YDJA_ECOLI	0.106	0.017
sp|P0A9T4|TAS_ECOLI	-0.243	0.517
sp|Q47690|MMUM_ECOLI	-0.464	0.038
sp|P0ACB7|HEMY_ECOLI	0.579	0.0005135
sp|P23305|YIGA_ECOLI	0.19	0.346
sp|P0AG07|RPE_ECOLI	0.087	0.442
sp|P15723|DGTP_ECOLI	-0.207	0.746
sp|P33363|BGLX_ECOLI	-0.04	0.31
sp|P24171|DCP_ECOLI	0.101	0.26
sp|P0AD96|LIVJ_ECOLI	1.174	0.0
sp|P69829|PTSN_ECOLI	0.24	0.275
sp|P64602|MLAB_ECOLI	-0.222	0.469
sp|P0A6N4|EFP_ECOLI	0.418	0.004
sp|P07762|GLGB_ECOLI	0.243	0.195
sp|P0A7R9|RS11_ECOLI	-0.109	0.443
sp|P75960|NPD_ECOLI	-0.062	0.899
sp|P0A6E6|ATPE_ECOLI	0.354	0.008
sp|P76537|YFEY_ECOLI	0.25	0.238
sp|P33362|YEHZ_ECOLI	0.819	7.595e-06
sp|P0A7P5|RL34_ECOLI	1.066	0.0004638
sp|P06992|RSMA_ECOLI	0.272	0.34
sp|P0AEW6|INGK_ECOLI	-0.134	0.773
sp|P0AFM6|PSPA_ECOLI	0.122	0.45
sp|P0ADY7|RL16_ECOLI	0.04	0.764
sp|P15877|DHG_ECOLI	-1.389	0.0001036
sp|P76014|DHAL_ECOLI	-0.527	0.064
sp|P06149|DLD_ECOLI	0.089	0.035
sp|P21338|RNI_ECOLI	-0.186	0.253
sp|P0ADX1|YHFA_ECOLI	-0.317	0.173
sp|P64429|YPFJ_ECOLI	-0.127	0.4
sp|P0A7I4|RF3_ECOLI	0.168	0.042
sp|P77554|YAHJ_ECOLI	-0.276	0.22
sp|P37665|YIAD_ECOLI	-0.861	0.0004281
sp|P0A6R3|FIS_ECOLI	0.843	0.003
sp|P60906|SYH_ECOLI	-0.034	0.332
sp|P0AF08|APBC_ECOLI	0.052	0.666
