protein	z-value
fucU	1.9090637271040216
cbpA	5.835603159412664
lysA	-5.534528831816383
yhhX	-1.9553315856110591
ispF	2.9384111976291623
hemY	3.123003215488215
thyA	-2.6419434827889794
lhgD	-1.8380819841275389
ynfB	3.4149640151918828
bisC	-0.22799275934460111
thiI	-7.230051162562742
ade	3.6559231090804545
ydjA	0.5490660737022574
ymjA	2.0485084901391235
fumC	7.3487
pta	0.31909054161528766
atpH	2.627328801043464
gntR	4.243150532515798
znuA	-4.825882460154257
degQ	4.669181783269506
pstS	5.136298570133787
cydC	-2.1121902651671154
acnA	7.3487
treA	7.3487
glcB	7.3487
yqfB	2.5859493077160685
malP	-1.7016341819193113
nagC	3.791967121113704
hslO	0.5803756766016351
gpmI	-7.3487
dgt	5.183619051465176
secB	2.1028174618193427
rsxC	-2.7713844049378307
artJ	-2.1408498807411083
rpmH	-3.5674819141273733
rpsJ	-5.23783646101792
carA	-7.285776372196438
ispA	0.7783200981337122
gsk	-4.556362330869159
ydcF	7.171285826703203
hisJ	-1.1041637555249306
glnS	-0.5793435428122201
nuoC	5.013550179380038
ilvB	0.9999290450147172
pyrI	5.0444549170716995
ptrA	0.8882977943777837
ydhF	6.509087150602488
fusA	-4.038564175669296
ybjQ	5.174104760324079
aldB	7.3487
proC	4.46974921770006
cstA	7.161166212518629
rpsS	-5.324486976917061
truB	-1.6118272703278218
mtlA	7.3487
rpsU	-5.564967606553878
asd	-4.493932021049622
hisQ	1.2647339498182169
hdhA	7.3487
glyS	-3.246763017705878
yahO	7.3487
seqA	-0.3442916111150075
srkA	-1.150777855314065
yiaJ	-0.068740450920975
metK	-7.3487
ompF	4.466441968276851
hcxA	2.4970892214252927
uxaC	7.3487
feaB	3.5066074155768896
entA	-4.551841616273753
btuR	1.9474130217173682
ydhR	5.465040783537286
mepS	3.7657374616943766
pspB	1.9031434363717572
rapA	-3.4634617086818937
mnmG	-3.3992183542203014
glgP	5.9214098506576605
der	0.32678058504404534
ihfB	4.241983396258866
sohB	-2.7785351875189246
ssb	2.9504269228564666
rne	-4.309247963406992
rplK	-6.612694625129933
hemG	0.2646179913053867
rpsP	-4.0941453581683955
rof	0.08314065630788162
ydeN	6.711567164143247
hldD	3.991864427338788
ubiF	3.0701269444188406
poxB	7.3487
hisG	-7.176680355515562
era	-1.5249074725160403
cmoA	0.7780738870676669
ydfG	4.899236004354446
cpdB	7.3487
rsmG	-1.7624079839692781
ydcT	2.088798304304926
alaS	-7.3487
epd	-1.608485388855099
aroF	-0.47547699328904175
secY	-0.538248792816819
rodZ	2.0724400518125954
infB	-5.991695668894417
rpsE	-4.5485775549496825
gmk	-1.7665851100914707
pgk	0.05734202101513496
ffh	-2.2722073686219026
psd	0.2342979625810724
yghA	7.3487
rbn	-0.7271900806514496
yniB	-0.0944473285837099
infA	-1.8169142796382582
ribE	-0.7137443582062605
dnaB	-0.23165965260683524
rplF	-6.8382109655975
pepP	7.3487
yhfA	3.6743156366535237
mog	5.289153763846688
nuoA	-0.4955627362848517
metI	-2.2079321751056744
crl	-6.969933089419048
oppA	-3.2649831980894914
mlaB	-0.013587034214993642
baeR	0.933393507361665
cusS	7.3487
yhbO	7.3487
osmE	7.3487
yrdD	3.9955639606382074
dapD	-7.3487
rcnB	2.2093377826879927
ravA	3.77926158715644
yhbW	1.4113599993807686
mtlD	7.3487
hemD	3.3102657272560396
ilvA	-7.34864980286182
grxB	5.187428148210987
amiD	3.24121753003559
mdoD	1.3139676470779895
slyA	2.2759713302146944
spoT	2.491149093710688
slt	7.3487
oppF	-1.7523200208082168
yceD	-3.001460761350587
ycaO	-7.3487
sstT	0.12622501507768072
gcvR	1.4302872048475626
mscK	-1.4435168007601613
ubiG	2.0611170607955076
aroD	-0.2056207046574222
emrA	-2.992135850394139
flu	3.611567191714944
yggE	5.586628560550479
ycdY	-2.5970730457623734
rluD	-0.7032743356053686
sad	1.0682587565363437
loiP	6.116461189674789
gcvP	-0.5686082281226786
rsmD	0.10636493097581137
mppA	7.3487
ihfA	4.974195278254483
artI	7.3487
tehB	-2.982349329269041
aas	0.7810651665576356
mltG	2.3404240603515367
yegP	7.3487
csrA	1.5670600410283606
mug	2.3967156896003625
yggS	-1.5054701692067827
bamC	-0.8733080971391831
ribD	-0.12368927233260363
ycfP	4.369000145479383
argT	7.3487
mraZ	5.024910482334176
ahr	5.366844416769388
rnk	4.503865567652307
nupC	-3.3415761193649534
pliG	3.4001259445602825
fepA	-6.455182631932273
qmcA	4.959780650496128
rdgC	-1.1464281175397688
yfaY	0.4165716689532274
puuD	-2.8293023335444216
fadJ	7.241194436221456
fadA	7.3487
rplP	-4.068000359691784
rsmC	0.1670076615397707
phoB	2.604320981428188
pnp	-1.0803563586753007
potG	2.0377026638203053
ahpC	4.838874289015169
dnaX	-0.07791334247075983
sufE	2.996302412495716
sseB	-1.926577968609683
cobB	2.6550248794105773
tsaC	1.19481130877356
fbaA	-3.635969753952833
folD	0.32391718051777096
nemA	-4.035351967455254
lacI	1.0070259171071816
aceF	-7.3487
lexA	2.7019238467401006
rsmE	-1.9836908695512978
malM	5.336464816960252
purR	1.696981625707854
stpA	-3.8806256096488054
ynhG	2.7574588796133344
glnB	-0.4097072064310834
rpsH	-5.177469830953211
rna	0.19417976331206965
