protein	log2FC	p-val
sp|P77781|MENI_ECOLI	-0.154	0.435
sp|P0ABS5|DNAG_ECOLI	-0.034	0.65
sp|P76506|MLAA_ECOLI	0.171	0.416
sp|P39160|UXUB_ECOLI	1.067	1.406e-06
sp|P09029|PURK_ECOLI	-0.234	0.015
sp|P36879|YADG_ECOLI	0.251	0.222
sp|P40120|OPGD_ECOLI	0.426	0.001
sp|P31057|PANB_ECOLI	0.213	0.182
sp|P61949|FLAV_ECOLI	0.025	0.783
sp|P31134|POTG_ECOLI	0.128	0.64
sp|P0AEH1|RSEP_ECOLI	0.373	0.02
sp|P0AGK4|YHBY_ECOLI	0.242	0.174
sp|P17117|NFSA_ECOLI	0.121	0.314
sp|P03813|YGEA_ECOLI	0.59	0.134
sp|P31473|RAVA_ECOLI	0.251	0.136
sp|P10443|DPO3A_ECOLI	0.197	0.563
sp|P0A8J8|RHLB_ECOLI	-0.033	0.657
sp|P75960|NPD_ECOLI	-0.061	0.737
sp|P39337|YJGM_ECOLI	0.522	0.038
sp|P21165|PEPQ_ECOLI	0.309	0.003
sp|P76535|MURQ_ECOLI	0.164	0.483
sp|P0AAZ4|RARA_ECOLI	0.272	0.176
sp|P0ACC3|ERPA_ECOLI	-0.62	0.004
sp|P78055|FSAA_ECOLI	0.306	0.238
sp|P23837|PHOQ_ECOLI	0.746	0.002
sp|P18335|ARGD_ECOLI	0.309	0.0002511
sp|P0A7V8|RS4_ECOLI	-0.384	2.476e-06
sp|P23367|MUTL_ECOLI	0.706	0.0002818
sp|P76536|YFEX_ECOLI	0.143	0.387
sp|P17115|GUTQ_ECOLI	0.104	0.487
sp|P0A6J8|DDLA_ECOLI	-0.584	0.0002038
sp|P25526|GABD_ECOLI	0.527	3.319e-12
sp|P0AG51|RL30_ECOLI	-0.409	0.005
sp|P61175|RL22_ECOLI	-0.554	6.654e-07
sp|Q46893|ISPD_ECOLI	0.049	0.653
sp|P0ADP7|UBIJ_ECOLI	0.557	0.016
sp|P03018|UVRD_ECOLI	0.288	0.53
sp|P0ABC7|HFLK_ECOLI	0.231	0.003
sp|P21889|SYD_ECOLI	-0.057	0.317
sp|P39451|ADHP_ECOLI	0.279	0.38
sp|Q46920|QUEF_ECOLI	-0.074	0.523
sp|P67080|PLPHP_ECOLI	-0.03	0.997
sp|P05704|MCP3_ECOLI	0.491	0.105
sp|P21338|RNI_ECOLI	0.163	0.375
sp|P0AG44|RL17_ECOLI	-0.681	6.099e-07
sp|P64483|YEAK_ECOLI	0.051	0.675
sp|P0ACE0|MBHM_ECOLI	0.942	0.01
sp|Q46939|YQEF_ECOLI	0.394	0.03
sp|P25535|UBII_ECOLI	0.344	0.147
sp|P0ACA1|YIBF_ECOLI	0.549	0.0002501
sp|P0AEW4|CPDA_ECOLI	0.64	0.019
sp|P76014|DHAL_ECOLI	0.102	0.916
sp|P30843|BASR_ECOLI	0.448	0.194
sp|P0A6P5|DER_ECOLI	0.016	0.608
sp|P22333|ADD_ECOLI	1.54	0.0
sp|P77434|ALAC_ECOLI	0.4	0.01
sp|P0AD65|MRDA_ECOLI	-0.195	0.554
sp|P0AAI5|FABF_ECOLI	-0.303	0.002
sp|P42588|PAT_ECOLI	-0.016	0.988
sp|P07650|TYPH_ECOLI	0.711	2.215e-09
sp|P0AA25|THIO_ECOLI	0.122	0.455
sp|P06993|MALT_ECOLI	0.16	0.061
sp|P40874|MTOX_ECOLI	0.143	0.113
sp|P0ABH9|CLPA_ECOLI	0.032	0.821
sp|P0AB67|PNTB_ECOLI	-0.331	0.0008804
sp|P68699|ATPL_ECOLI	0.731	0.015
sp|P25745|MNMA_ECOLI	-0.019	0.99
sp|P0A7R5|RS10_ECOLI	-0.275	0.014
sp|P0ABU2|YCHF_ECOLI	-0.319	0.0002987
sp|P0AF90|RRAB_ECOLI	-0.228	0.194
sp|P0AGI1|RBSC_ECOLI	1.242	0.0001169
sp|P33362|YEHZ_ECOLI	1.015	1.562e-10
sp|P42904|PTPB2_ECOLI	1.081	1.092e-06
sp|P50456|MLC_ECOLI	0.804	0.0002107
sp|P0AC69|GLRX4_ECOLI	-0.165	0.177
sp|P62517|OPGH_ECOLI	0.04	0.9
sp|P76071|INSH5_ECOLI	-0.096	0.751
sp|P77212|RCLA_ECOLI	0.791	5.211e-06
sp|P02918|PBPA_ECOLI	0.01	0.931
sp|P00579|RPOD_ECOLI	0.175	0.044
sp|P0ACP5|GNTR_ECOLI	-0.113	0.283
sp|P37648|YHJJ_ECOLI	0.811	1.078e-05
sp|P77258|NEMA_ECOLI	-0.7	5.284e-06
sp|P0AFY8|SEQA_ECOLI	0.168	0.425
sp|P27302|TKT1_ECOLI	-0.554	8.216e-15
