protein	z-value
tmk	-0.6121630977599409
lrhA	3.3168491921399936
ftsP	1.1780112313746336
queC	1.0531052692692047
tatA	0.6413571559012105
srlR	1.2800772252932409
rpmB	-3.4344848245957067
sodB	-0.22881930042740026
amiB	0.2688239025380069
damX	3.2827830197759167
barA	0.5157183242009614
hybC	0.5494480655146456
mglC	0.10661257586228597
yheS	-1.651853557297471
secE	-0.7299247984441909
clpA	-0.9813190610470949
selA	-1.29552627041554
mrdA	-0.5508790673146585
purH	-7.3487
rlmB	-0.7756744450338059
hfq	1.9975368899576602
glaH	-6.1631738529546185
speB	2.8530965168629456
frlR	-0.32469500652023436
moaE	-1.9374580166514586
glgA	3.073727769004743
yjcE	1.4723761746996915
yciK	2.9347080849683382
yhbY	1.4470847626965901
aroM	4.416461780839737
gph	-1.651566873184448
pka	7.3487
rplD	-4.509225225389098
ypdB	2.1867045797734583
rluF	-1.5607557535079433
nusG	-2.167279232610624
garL	2.0001035083706706
glnH	2.678127738445143
sodA	0.008910021106973316
folE	-7.3487
tusC	-0.2885461102217023
rluB	0.15018577139917835
poxB	7.3487
ackA	3.209215926839432
appA	0.7083694407741234
bamD	-3.0474230645698377
ydcL	6.591419578703442
hflX	1.9363888512579892
gstB	1.9965561458165533
add	6.907335342290477
prpD	0.6628297437920567
prlF	0.2972091501912925
mak	4.886388775537999
yicH	3.3180289037044433
mprA	-3.2748958859051798
ispE	0.8553683641348699
znuA	-0.20984384551652316
yfcH	6.9324588857403615
minE	1.658209430993659
hemE	-0.14080418429273536
yceM	2.301703405778312
adhE	2.921325999943713
rpoZ	-0.5679030451308148
yciO	5.61297981342122
cspC	-1.8785931434086829
hexR	0.29733341631995486
pgm	4.213777365677682
ydbK	6.681789062176003
grxC	2.233263381967301
dksA	-1.9201299732852228
eptC	-3.1750010143463214
nagE	5.193355012888001
pepN	3.263626154495258
rpoE	1.3998758388619659
macA	3.9083610111937195
bepA	4.26661814374968
adk	-0.032893961098397456
yhfA	1.2867163889680517
aceK	5.352646863990354
argG	-3.2562594266800877
tolB	-2.519478292926264
deoB	5.801665489395099
alaC	0.47729149415868927
ytfB	2.480068222366923
glpK	6.7739072994267575
rplO	-3.3200967092132716
rodZ	3.8357299425532276
fumC	7.3487
clsA	1.232212578807924
yniA	7.094195015340092
agp	7.3487
rfbC	-1.513535720123764
ihfA	4.8129046867597145
cobT	0.24422428177893918
hinT	-1.0158006660805234
era	-3.2367466875360438
yfeX	-1.3432482696365375
ftsI	-2.1729917624126696
mscK	-0.0021635896971354744
paaY	-0.7378285588529239
pdxK	-2.170870515159383
yjeI	2.281793940508169
acrB	2.9205066302252938
lpxC	3.5721773451366654
cbpA	4.837872338124424
tolC	2.73656805933251
hicB	-0.010069682769125808
raiA	0.0642199670316642
degQ	2.0208273249519246
yihD	1.3601282761408853
oppB	-1.4057671332871229
hscB	-2.662963843156026
hldD	-1.2437778998147329
hns	-0.32370601186913045
lrp	2.0977086073606257
gatB	0.534431538411705
deoC	5.834768558277636
gpmI	-5.006034757729778
yiaF	1.9927253412004948
roxA	0.8804004134213005
rsmH	0.14500368387600535
fadL	6.131069957764986
yieP	-0.8442060552380772
asmA	3.9842755423699687
lpdA	-2.421033564723302
yeaO	2.622778773286913
mrr	-3.0666865388265445
uspD	2.77053346653062
yedP	5.99481836544229
serA	-6.895416948195534
sppA	-2.955057426204644
tatC	-2.069332391034403
lptD	4.363441337927737
hflC	-0.5719659056046945
yohF	5.892697736419288
hisD	-1.175031286838083
yjaG	-2.3327470659930434
thrA	-7.3487
gltA	2.6346220986558753
fliY	-3.0936901984530607
ahpF	-1.70614065425529
pntB	-3.223639992664711
cusS	1.8287874616213071
folX	-1.6907299246510579
azoR	-7.3487
fruA	5.236603048273771
bamB	0.09073347769048891
argE	0.9960356744177792
thrS	2.506768577304193
rpsI	-4.624476969176627
frr	-1.931103235596728
garR	4.791882033148096
yheO	0.40182656742954376
ybiB	2.8653172002499514
gatC	-0.1854618471765107
ydjF	1.2045663376329043
mglA	4.817140704705112
yfcN	-0.67935256832957
yqhD	-1.7324021405842476
chrR	2.3996096389007397
ubiX	2.036465032411906
allR	-1.029497317790051
gabT	4.707598406215595
srmB	3.275694457446683
trxB	-4.354352831677087
pmbA	-0.17377803782615772
