protein	log2FC	p-val
sp|P38105|RSPB_ECOLI	0.422	0.555
sp|P00936|CYAA_ECOLI	0.076	0.86
sp|P68688|GLRX1_ECOLI	-0.483	0.276
sp|P0AEN1|FRE_ECOLI	-0.303	0.07
sp|P0A6E1|AROL_ECOLI	2.799	0.0
sp|P0AFX0|HPF_ECOLI	0.567	0.005
sp|P00562|AK2H_ECOLI	2.017	0.0
sp|P33570|TKT2_ECOLI	1.429	0.0
sp|Q46893|ISPD_ECOLI	-0.332	0.192
sp|P0AB98|ATP6_ECOLI	-0.715	0.0009819
sp|P06996|OMPC_ECOLI	0.954	0.0
sp|P0AEB0|CYSW_ECOLI	1.474	0.0004745
sp|P69776|LPP_ECOLI	-0.148	0.331
sp|P0ACX3|YDHR_ECOLI	0.898	1.433e-07
sp|P30750|METN_ECOLI	1.433	7.541e-11
sp|P37773|MPL_ECOLI	0.061	0.283
sp|P0A988|DPO3B_ECOLI	-0.349	0.062
sp|P37647|KDGK_ECOLI	-0.718	3.249e-06
sp|P37765|RLUB_ECOLI	-0.473	0.038
sp|P29208|MENC_ECOLI	-0.163	0.48
sp|P0A6I9|COAE_ECOLI	0.121	0.774
sp|P0ACL2|EXUR_ECOLI	-0.831	4.835e-05
sp|P00887|AROH_ECOLI	2.124	2.598e-14
sp|P27243|RFAL_ECOLI	-1.799	4.922e-07
sp|P00550|PTM3C_ECOLI	-1.452	0.0
sp|P39838|RCSD_ECOLI	-0.191	0.057
sp|P0AE88|CPXR_ECOLI	0.561	0.0004247
sp|P0A6I0|KCY_ECOLI	0.301	0.01
sp|P77739|YNIA_ECOLI	0.929	3.573e-05
sp|P00895|TRPE_ECOLI	-2.419	6.214e-08
sp|P10100|RLPA_ECOLI	0.366	0.003
sp|P0AFI5|PBP7_ECOLI	-1.536	5.155e-05
sp|P05020|PYRC_ECOLI	2.066	0.0
sp|P30847|BAES_ECOLI	0.758	0.357
sp|P22188|MURE_ECOLI	0.205	0.01
sp|P0A8I3|YAAA_ECOLI	0.009	0.857
sp|P0AE12|AMN_ECOLI	0.79	5.058e-13
sp|P00803|LEP_ECOLI	0.107	0.374
sp|P78055|FSAA_ECOLI	0.68	0.004
sp|P0A6J8|DDLA_ECOLI	-1.771	0.0
sp|P00946|MANA_ECOLI	-0.745	3.235e-11
sp|P0AGG2|TESB_ECOLI	0.773	5.604e-07
sp|P0A9B2|G3P1_ECOLI	0.3	3.285e-07
sp|P0A7A9|IPYR_ECOLI	-0.153	0.319
sp|P17445|BETB_ECOLI	0.303	0.009
sp|P15254|PUR4_ECOLI	0.66	0.0
sp|P0AFM4|PSIF_ECOLI	0.586	0.109
sp|P69054|DHSC_ECOLI	-0.967	1.154e-05
sp|P0AC30|FTSX_ECOLI	-0.274	0.189
sp|P31979|NUOF_ECOLI	-1.383	0.0
sp|P0AET8|HDHA_ECOLI	0.623	3.427e-05
sp|P0AGD7|SRP54_ECOLI	-0.065	0.578
sp|P25553|ALDA_ECOLI	-1.455	0.0
sp|P0ADU2|YGIN_ECOLI	0.122	0.898
sp|P21507|SRMB_ECOLI	-0.104	0.455
sp|P09030|EX3_ECOLI	0.038	0.982
sp|P00811|AMPC_ECOLI	-0.973	9.706e-05
sp|P0A6H5|HSLU_ECOLI	-0.57	9.459e-14
sp|P27127|RFAB_ECOLI	-0.046	0.795
sp|P76008|LDCA_ECOLI	0.649	0.001
sp|P75797|GSIB_ECOLI	0.45	8.81e-05
sp|P0ABZ4|KDSC_ECOLI	-0.099	0.638
sp|P77615|YCJW_ECOLI	-0.046	0.727
sp|P46852|YHHW_ECOLI	0.812	3.411e-06
sp|P76403|YEGQ_ECOLI	0.416	0.0003184
sp|P0A8Y5|YIDA_ECOLI	0.403	0.0001851
sp|P0A9F1|MNTR_ECOLI	-0.564	0.028
sp|P69425|TATB_ECOLI	-0.12	0.844
sp|P25397|TEHB_ECOLI	0.302	0.025
sp|P0A7I4|RF3_ECOLI	-0.563	4.699e-11
sp|P0AB80|ILVE_ECOLI	1.769	0.0
sp|P04825|AMPN_ECOLI	-0.192	0.001
sp|P08244|PYRF_ECOLI	1.008	1.11e-15
sp|P32157|YIIM_ECOLI	0.13	0.446
sp|P0A858|TPIS_ECOLI	0.109	0.094
sp|P31133|POTF_ECOLI	1.445	0.0
sp|P0A6L9|HSCB_ECOLI	0.227	0.099
sp|P77434|ALAC_ECOLI	0.204	0.14
sp|P0ABZ6|SURA_ECOLI	0.12	0.191
sp|P0AEW4|CPDA_ECOLI	-0.289	0.367
sp|P76340|HPRR_ECOLI	-1.097	0.008
sp|P45468|YRAQ_ECOLI	0.633	0.015
sp|P75779|YBIX_ECOLI	0.398	0.394
sp|P22106|ASNB_ECOLI	-2.145	0.0
