protein	z-value
rspB	0.5902843943869684
cyaA	1.1092557085724795
grxA	0.4485703953594527
fre	-0.381952590354531
aroL	7.054539252742387
hpf	4.473652637759239
metL	7.054539252742387
tktB	7.054539252742387
ispD	-0.989034604004029
atpB	-2.316126167239482
ompC	3.2385329305555373
cysW	3.494753368581593
lpp	2.2013693198943756
ydhR	6.564690157658846
metN	7.054539252742387
mpl	0.4548155151150236
dnaN	-1.1741953834114047
kdgK	-4.348935878707563
rluB	-4.725187565802541
menC	-2.307570468987552
coaE	0.9848443204052202
exuR	-3.7368294663645947
aroH	7.054539252742387
rfaL	-5.029328699475638
mtlA	-6.516874490720628
rcsD	-0.9255378377602975
cpxR	5.561990317326837
cmk	0.9971085201923299
yniA	4.353985624711346
trpE	-5.78136286231157
rlpA	4.672908028823792
pbpG	-4.0484860776671345
pyrC	7.054539252742387
baeS	0.9210965908035641
murE	3.728024771209932
yaaA	1.6352084694803621
amn	7.054539252742387
lepB	0.05067883128471245
fsaA	3.7308738534651855
ddlA	-7.054539252742387
manA	-3.6173604551616445
tesB	4.901487262517708
gapA	6.475402601151828
ppa	0.628878261637067
betB	0.6666273284744343
purL	7.054539252742387
psiF	1.6027040905517573
sdhC	-5.763102526214265
ftsX	-1.2022530788965493
nuoF	-7.054539252742387
hdhA	4.4429505397226885
ffh	-2.6775979298506805
aldA	-7.054539252742387
ygiN	1.605182737048619
srmB	-3.2668499762615193
xthA	0.7030881221879083
ampC	-2.9585473940551905
hslU	-7.054539252742387
rfaB	-1.181510817503988
ldcA	4.269781253557007
gsiB	5.791189859994226
kdsC	1.1623633189903007
ycjW	-0.6028733141740432
yhhW	6.208703402800966
yegQ	-1.4488948823987138
yidA	5.685710463605823
mntR	-3.0527503348648737
tatB	0.22977745505158056
tehB	4.800206423452568
prfC	-4.071350855674552
ilvE	7.054539252742387
pepN	-2.8725875001019294
pyrF	7.054539252742387
yiiM	1.6853854590856114
tpiA	4.494137850851803
potF	7.009526038976049
hscB	3.150706420753659
alaC	0.0063975172827991245
surA	3.398079071902085
cpdA	0.21254028050955298
hprR	-3.5533471349341137
yraQ	2.4323790585844463
ybiX	0.852385797957575
asnB	0.0
yeeX	6.867016769970872
rplX	-0.6714866088206104
ydbL	-1.0980179426080137
yibT	1.8126851103437678
ptsG	7.054539252742387
galK	-7.054539252742387
rpoC	-6.119215709005892
manY	2.3642598094373017
aroB	5.014425368161677
radA	1.9160845871011063
pdxB	6.598841155631861
glyQ	-3.126106150977336
wecE	0.8865513329815721
gyrB	-5.6275418950994185
plsC	-1.6489038647865513
dut	-0.9194202108364385
bcsG	-0.7900714296299083
hemB	-0.6401203639024456
deoA	-1.9408373038102837
ettA	-4.059064991021278
ubiB	-3.976047218263435
tyrR	-1.7049891428339279
glyS	-4.285644101881283
ribF	1.6334579783831542
yhjG	2.6869071337273835
rpsO	-0.012593535162286727
infB	-6.046338383731625
mltC	2.967737925341783
udk	-1.798648743948743
ahpF	-6.044383250630844
msyB	6.301671925234901
cmoB	-2.9176407345274575
yraP	-1.0225011824246748
lolB	3.77047306180299
evgA	-1.3655253644679275
polA	-3.6187720594186468
yhiI	-5.184986076505208
fldB	2.17933624804342
gabD	-3.7349977081308503
bioH	0.8806469579753499
psd	3.388572577146029
yrfF	-2.8857314156119935
rpsS	-4.424485841206182
mukF	-1.646772441499519
cdh	-3.2070740243385747
envC	2.4926278418143437
alr	-1.2265257632490292
hisB	6.325999831259762
oppB	-6.6459932267398045
pdeL	-5.708288692803198
fumD	-0.9163661864516925
rpsG	-3.7712800875370496
puuD	5.997634762511476
rplO	-7.050040490962261
pfkB	7.054539252742387
uspA	4.858280213198631
thiL	0.9430069324528353
yeiR	-1.9948149909118607
rpoS	-7.054539252742387
nrdE	-0.569524867039805
crr	6.452876125867728
kgtP	-1.5173635217172876
atpH	-2.2049251155481833
pdeA	-1.1601198829975194
glgB	4.901909356629152
ytfL	-1.2562253570139075
cysN	7.054539252742387
ompA	3.0638778386160626
yigA	-0.13762847273377846
yeiE	-2.434908506077544
aroP	4.556687631933278
glnL	3.7221938501405427
tyrB	7.054539252742387
lysA	6.1094102048693975
rplF	-3.7839969931219555
lipB	-2.74518226982291
plaP	-1.5764348548320102
ynfD	4.158531549173511
udp	-4.977656830345037
yfhM	-1.2150655330379283
aroF	7.054539252742387
fadJ	-4.291347674849455
gyrA	-3.9802953839474022
yfeY	3.783314473412969
yciN	-2.728195239976238
bamC	6.436035836560575
qmcA	-4.456019949293894
yeiP	-0.8372776646798644
