protein	z-value
rplN	-1.5865582192838708
pspA	-4.93360320577029
ssb	-0.36075583293990315
sapA	2.235060386992667
livG	-1.7438018232301329
gpmB	-7.009526038976049
trpE	-6.941604723187368
pntA	-4.540127621563253
sucC	-7.054539252742387
ydeJ	6.9002708140764435
glyQ	-5.858666777157045
rpsO	0.22091075320198902
xseA	2.4216457359534904
secB	-1.0576562078836742
gapA	-2.540264951401315
ubiD	6.582944462459424
efp	-5.576355613638514
prfA	-2.2089661440432686
gntR	4.60655769005776
btuE	4.67835755873385
kgtP	4.6263179311892895
yeaG	7.054539252742387
yggN	3.2323019520980303
ytfQ	6.964512825209711
zapA	-1.2039467915412867
rsmG	1.4384997603061325
yghU	7.054539252742387
yehZ	4.814850138205866
gloC	-3.729802972103535
nnr	4.816998549113746
cpxA	2.5292404157569166
ubiK	-4.7558184262843515
yffS	2.076137951442879
ptsH	-0.8906535700984051
amiD	3.7652665938497054
yfeY	3.0269456910242187
fkpA	-2.8914904460354225
rpsC	3.11736546538574
gatY	-7.054539252742387
glk	-5.826053290723076
yhcB	-1.7705338596812594
crr	3.006598760286965
mrcB	7.054539252742387
gstB	-5.11055164921997
argC	-6.525002694160196
pykF	4.5593149609284085
pta	7.054539252742387
proC	-1.5413078553495063
fabF	0.9611979821481262
lysA	-6.048610828293806
mglB	7.054539252742387
malE	-0.3981190503182451
fhuE	7.054539252742387
yiiS	5.784617942689565
ptsN	4.324585499753486
ycfH	4.914376893533845
fklB	-6.2898820739583625
yhdE	1.0899823085506553
zntA	3.556310179461908
panB	-2.3167840154946484
rapA	7.054539252742387
adhE	7.054539252742387
treA	7.054539252742387
ansA	-2.728866231164596
bamD	-3.8419329153301818
dnaA	-2.5121443279304616
degS	2.164053049110918
mrcA	0.38134333325905845
purM	-6.419875562541014
nmpC	2.573297520456434
pepD	6.17222716890867
entA	6.944695325343371
nagC	4.7334487959759795
yibT	6.521091087455291
dnaX	0.48446542808839976
fabD	-4.859759635171239
rpsG	-5.028510100788828
deoB	7.054539252742387
pdeK	2.76210231599326
rbsK	1.9839750657741972
rpmC	-3.270448050060823
yaeH	7.054539252742387
slt	1.0700012503075695
coaA	-2.8700231497807174
nudK	1.986300204129427
prfB	-1.633445927827227
nagA	5.240693916451534
lptA	3.392866596489641
hisA	-7.054539252742387
rpsQ	3.224542914827074
nuoA	-2.5758293035489
ispD	4.339942076159987
wbbI	-6.710972765798493
argD	-7.054539252742387
stpA	-4.336550873163551
yeiP	-7.054539252742387
bamC	0.4902506586100917
fabB	-4.313959740405347
rfaQ	-0.27102859378496896
ilvN	-7.054539252742387
mtlA	7.054539252742387
hemC	2.5505738649977525
folX	-3.582140007231843
iadA	1.2125377231350773
yegQ	-7.054539252742387
btuB	0.9289054178127606
hscB	-4.832206470282601
ilvI	-2.786787496818698
minC	0.016026150881136948
cydD	2.4797409995319346
yifL	2.8459942008342463
yajL	3.0459397479758654
rne	5.920119558801112
sufE	6.409640150169819
rpoZ	-0.5417954666528932
hcxA	-6.3187609618560545
rpsP	-4.814011660630357
ompR	1.412150514908658
gdhA	-7.054539252742387
dnaG	3.1177589943252784
ligA	-4.502909569568987
ptsP	1.2976785310104701
ybjP	7.054539252742387
uxuA	-0.37084911755278355
mdoD	-2.5870290929494297
trmJ	-3.836431399886619
gcvT	-6.9843268530722025
gltI	7.054539252742387
hns	4.11859483409343
aspA	7.054539252742387
nfi	5.575002962806909
yfbR	-0.9913551969431709
valS	-7.054539252742387
proB	-6.048494859917567
glnB	1.060630856936666
serA	3.6062813432822733
yagU	6.964512825209711
yceH	7.054539252742387
dut	-3.642898765047106
sthA	2.1019331885437786
exbD	-4.9290983090989196
cobB	-0.1743674033970145
speG	0.6756557559083571
xerC	4.65064130007063
manX	5.936164310231569
chrR	7.054539252742387
mreB	-4.2237289444232795
ynfB	0.6692197981832251
yecC	1.0191940671446513
rnc	-0.4574115033293132
pgi	1.69716184570756
glcB	7.054539252742387
ybaB	-1.0881972495937968
alr	3.1850904584908886
ybaL	3.5702045869864336
trmL	1.0364333894937894
hchA	7.054539252742387
rplV	-5.366523968301007
malP	-1.3027367480089873
ysgA	1.7523100731368502
icd	0.5098792110216384
purC	2.6242044341719
lpoA	-7.054539252742387
iaaA	5.895819655280829
murC	2.56178769460912
cysH	-6.945284027842781
fadA	7.054539252742387
ihfA	7.054539252742387
ispB	-4.583069346419889
ndk	-7.054539252742387
ahr	7.054539252742387
dadA	7.054539252742387
proP	6.206786746351967
ydjA	0.8805851187479298
talB	4.271710975942466
zapB	-0.9393646470028519
lsrA	1.85318713125805
rbfA	0.5853157157226156
borD	-2.89715958802494
pyrH	-0.9575332588768252
aroH	-0.6999894152078313
cysC	-6.906610374664103
cysA	-7.054539252742387
selA	-0.2171629521200315
ybbA	-1.6595749061702598
ispG	-2.365618126864292
modE	0.5182410327255206
yeaD	-6.961921347162076
msrA	4.4602627363513925
cysI	-7.054539252742387
fadB	7.054539252742387
fabG	-3.823973348110695
pstB	-3.5292114236592194
ydhR	3.24128340355533
dxs	-6.197105451775927
bolA	6.914853936448313
ycdY	-6.086463838997426
dcp	4.200629189942551
mdh	-3.2920738676593313
pabB	-0.5105371556238864
agp	7.054539252742387
pepP	4.161615761350686
tatB	1.1277975839816194
glgA	7.054539252742387
yncE	7.054539252742387
map	5.923084698935697
ybhG	7.054539252742387
yecS	0.9638037982515366
potA	0.10081292970260808
lpp	7.054539252742387
gltL	-2.4517555840309204
bioA	5.326528198424142
ubiE	-7.054539252742387
arcA	7.054539252742387
wzzE	-0.7880474949557223
yeeN	-1.9151720094345732
yccJ	7.054539252742387
groS	7.054539252742387
yhhW	6.468586505145455
rpmH	-2.9070939614306086
tktA	-7.054539252742387
sdhC	-6.476104707615837
parC	-1.9523937781139205
rplY	-5.116203667040511
argG	-7.054539252742387
arcB	2.8118870410240957
rpsR	-4.418580018804466
hisB	-7.054539252742387
