protein	log2FC	p-val
sp|P33018|SFGH2_ECOLI	-1.669	7.511e-12
sp|P42588|PAT_ECOLI	0.092	0.578
sp|P77243|PRPD_ECOLI	0.497	0.037
sp|P0AA57|YOBA_ECOLI	0.418	0.006
sp|P46852|YHHW_ECOLI	-0.805	4.92e-05
sp|P24183|FDNG_ECOLI	0.227	0.92
sp|P0A8K1|PSD_ECOLI	0.32	0.034
sp|P31069|KCH_ECOLI	-0.74	0.002
sp|P69054|DHSC_ECOLI	1.486	1.075e-05
sp|P77475|YQAB_ECOLI	0.545	0.13
sp|P37666|GHRB_ECOLI	-0.532	7.144e-07
sp|P0A7Z0|RPIA_ECOLI	-0.65	0.0001389
sp|P0A7A2|GPMB_ECOLI	0.45	0.021
sp|P39310|YTFB_ECOLI	-0.124	0.604
sp|P64467|CNU_ECOLI	-0.336	0.388
sp|P10902|NADB_ECOLI	-0.283	0.031
sp|P30871|3PASE_ECOLI	0.362	0.014
sp|P0ABU0|MENB_ECOLI	0.425	0.013
sp|P21156|CYSD_ECOLI	1.21	9.95e-13
sp|P32684|RLUF_ECOLI	-0.691	0.204
sp|P64602|MLAB_ECOLI	-0.656	0.027
sp|P0A858|TPIS_ECOLI	-0.712	5.103e-08
sp|P77739|YNIA_ECOLI	-0.802	9.147e-05
sp|P43329|HRPA_ECOLI	-0.123	0.529
sp|P76290|CMOA_ECOLI	-0.47	0.031
sp|P43672|UUP_ECOLI	0.011	0.048
sp|P75914|YCDX_ECOLI	-0.546	0.062
sp|P23893|GSA_ECOLI	0.008	0.985
sp|P37773|MPL_ECOLI	0.536	0.003
sp|P0ABT2|DPS_ECOLI	1.015	3.308e-14
sp|P0AGE6|CHRR_ECOLI	-1.214	2.531e-14
sp|P0A7V8|RS4_ECOLI	0.517	2.005e-09
sp|P0A940|BAMA_ECOLI	-0.038	0.949
sp|P32177|FDHD_ECOLI	-1.133	0.01
sp|P25745|MNMA_ECOLI	-0.275	0.296
sp|P0AFF2|NUPC_ECOLI	1.24	8.469e-06
sp|P30958|MFD_ECOLI	-0.307	0.004
sp|P00895|TRPE_ECOLI	0.75	5.772e-11
sp|P21888|SYC_ECOLI	-0.475	6.883e-05
sp|P0A870|TALB_ECOLI	-0.482	5.039e-07
sp|P77212|RCLA_ECOLI	-1.56	1.358e-08
sp|P00803|LEP_ECOLI	0.305	0.162
sp|P0ADG4|SUHB_ECOLI	0.281	0.026
sp|P07623|METAS_ECOLI	1.046	1.372e-13
sp|P23839|YICC_ECOLI	0.017	0.614
sp|P0AAV6|YBGS_ECOLI	-2.247	1.865e-08
sp|P0ACY1|YDJA_ECOLI	-0.065	0.916
sp|P39286|RSGA_ECOLI	0.034	0.401
sp|P0AD05|YECA_ECOLI	0.046	0.869
sp|P0AB89|PUR8_ECOLI	0.403	3.35e-05
sp|P0AB52|YCHN_ECOLI	-0.825	0.001
sp|P0A8U6|METJ_ECOLI	-0.16	0.604
sp|P14081|SELB_ECOLI	0.652	5.018e-06
