protein	log2FC	p-val
sp|P0AGI8|TRKA_ECOLI	0.704	0.013
sp|P76187|YDHF_ECOLI	0.546	0.0008996
sp|P0ACU7|YJDC_ECOLI	1.155	7.336e-13
sp|P75818|YBJP_ECOLI	1.3	2.487e-14
sp|P0AGB0|SERB_ECOLI	-0.671	0.007
sp|P06987|HIS7_ECOLI	-1.152	0.0
sp|P75820|AMID_ECOLI	0.297	0.124
sp|P0A6V8|GLK_ECOLI	-0.148	0.048
sp|P0A8W8|YFBU_ECOLI	0.692	1.808e-08
sp|P0A6X7|IHFA_ECOLI	0.759	8.274e-09
sp|P0AGD3|SODF_ECOLI	-0.34	0.002
sp|P0AEK4|FABI_ECOLI	0.125	0.787
sp|P0ACV8|YMJA_ECOLI	0.828	0.011
sp|P0ADI7|YECD_ECOLI	1.249	2.872e-07
sp|P0A6L9|HSCB_ECOLI	-0.111	0.557
sp|P0AF50|YJBR_ECOLI	1.518	4.463e-14
sp|P07012|RF2_ECOLI	0.077	0.415
sp|P69908|DCEA_ECOLI	4.676	0.0
sp|P0AE01|TRMJ_ECOLI	-0.293	0.001
sp|P43672|UUP_ECOLI	-0.19	0.013
sp|P0AED0|USPA_ECOLI	-0.196	0.032
sp|P0A972|CSPE_ECOLI	-0.257	0.455
sp|P0AAT9|YBEL_ECOLI	0.249	0.072
sp|P0A6D7|AROK_ECOLI	-0.372	3.615e-05
sp|P0AFM4|PSIF_ECOLI	1.927	3.332e-05
sp|P0ABA6|ATPG_ECOLI	-0.749	1.519e-12
sp|P0A7Z4|RPOA_ECOLI	0.067	0.018
sp|P31134|POTG_ECOLI	-0.311	0.14
sp|P0A9M5|XGPT_ECOLI	0.387	0.004
sp|P37595|IAAA_ECOLI	1.143	3.318e-12
sp|P75914|YCDX_ECOLI	0.632	1.782e-07
sp|P61320|LOLB_ECOLI	0.032	0.3
sp|P10384|FADL_ECOLI	-0.823	0.0001188
sp|P39838|RCSD_ECOLI	1.117	4.441e-16
sp|P0A6R3|FIS_ECOLI	-1.523	7.897e-06
sp|P0A9L5|PPIC_ECOLI	0.376	0.729
sp|P0A8I3|YAAA_ECOLI	-0.322	0.003
